onset	duration	trial_type_a	trial_type_b
0.5	3	FA	FpF
4.0	3	Miss	MpH
7.5	3	Hit	HpH
11.0	3	Hit	HpF
14.5	3	FA	FpF
18.0	3	CR	CpH
21.5	3	Hit	HpH
25.0	3	FA	FpF
28.5	3	FA	FpH
32.0	3	CR	CpF
35.5	3	FA	FpF
39.0	3	Hit	HpF
42.5	3	Hit	HpH
46.0	3	NR	NRpX
49.5	3	CR	CpH
53.0	3	Hit	HpH
56.5	3	Hit	HpF
60.0	3	FA	FpH
63.5	3	FA	FpH
67.0	3	NR	NRpX
70.5	3	NR	NRpX
74.0	3	Hit	HpF
77.5	3	FA	FpF
81.0	3	Hit	HpH
84.5	3	FA	FpF
88.0	3	CR	CpH
91.5	3	FA	FpF
95.0	3	CR	CpF
98.5	3	Miss	MpF
102.0	3	CR	CpH
105.5	3	FA	FpF
109.0	3	Hit	HpH
112.5	3	FA	FpH
116.0	3	Hit	HpH
119.5	3	FA	FpF
123.0	3	Hit	HpF
126.5	3	FA	FpF
130.0	3	Hit	HpH
133.5	3	Hit	HpH
137.0	3	Hit	HpH
140.5	3	NR	NRpX
144.0	3	CR	CpH
147.5	3	Hit	HpH
151.0	3	CR	CpF
154.5	3	Hit	HpF
158.0	3	Hit	HpF
161.5	3	Hit	HpH
165.0	3	Hit	HpH
168.5	3	FA	FpF
172.0	3	Miss	MpH
175.5	3	Hit	HpH
179.0	3	Hit	HpH
182.5	3	Hit	HpH
186.0	3	FA	FpH
189.5	3	FA	FpF
193.0	3	NR	NRpX
196.5	3	FA	FpF
200.0	3	FA	FpH
203.5	3	NR	NRpX
207.0	3	FA	FpH
210.5	3	Hit	HpH
214.0	3	CR	CpF
217.5	3	CR	CpH
221.0	3	FA	FpH
224.5	3	Hit	HpF
228.0	3	FA	FpF
231.5	3	Hit	HpF
235.0	3	FA	FpF
238.5	3	FA	FpF
242.0	3	FA	FpF
245.5	3	Hit	HpH
249.0	3	FA	FpH
252.5	3	FA	FpH
256.0	3	FA	FpF
259.5	3	Hit	HpH
263.0	3	Hit	HpH
266.5	3	Hit	HpH
270.0	3	NR	NRpX
273.5	3	FA	FpF
277.0	3	CR	CpF
280.5	3	FA	FpH
284.0	3	Miss	MpF
287.5	3	CR	CpH
291.0	3	FA	FpF
294.5	3	Hit	HpH
298.0	3	Hit	HpH
301.5	3	Hit	HpH
305.0	3	CR	CpF
308.5	3	FA	FpH
312.0	3	Hit	HpH
315.5	3	FA	FpF
319.0	3	Hit	HpH
322.5	3	Hit	HpF
326.0	3	Miss	MpH
329.5	3	Miss	MpH
333.0	3	FA	FpF
336.5	3	Miss	MpF
340.0	3	Miss	MpH
343.5	3	Hit	HpH
347.0	3	Hit	HpH
350.5	3	NR	NRpX
354.0	3	CR	CpF
357.5	3	Hit	HpF
361.0	3	Hit	HpH
364.5	3	FA	FpH
368.0	3	FA	FpF
371.5	3	FA	FpF
375.0	3	FA	FpH
