onset	duration	trial_type_a	trial_type_b
0.5	4.5	FA	FfF
5.5	4.5	Hit	HfH
10.5	4.5	NR	NRfX
15.5	4.5	Hit	HfC
20.5	4.5	Hit	HfH
25.5	4.5	Hit	HfC
30.5	4.5	Hit	HfM
35.5	4.5	FA	FfH
40.5	4.5	Hit	HfF
45.5	4.5	FA	FfC
50.5	4.5	Hit	HfH
55.5	4.5	Hit	HfM
60.5	4.5	FA	FfC
65.5	4.5	Hit	HfH
70.5	4.5	FA	FfC
75.5	4.5	FA	FfM
80.5	4.5	Hit	HfH
85.5	4.5	FA	FfH
90.5	4.5	Hit	HfH
95.5	4.5	Hit	HfF
100.5	4.5	Hit	HfC
105.5	4.5	FA	FfF
110.5	4.5	FA	FfF
115.5	4.5	FA	FfC
120.5	4.5	Hit	HfM
125.5	4.5	Hit	HfF
130.5	4.5	FA	FfF
135.5	4.5	Hit	HfH
140.5	4.5	NR	NRfX
145.5	4.5	Hit	HfF
150.5	4.5	Hit	HfH
155.5	4.5	Hit	HfH
160.5	4.5	FA	FfF
165.5	4.5	FA	FfF
170.5	4.5	FA	FfM
175.5	4.5	Hit	HfH
180.5	4.5	NR	NRfX
185.5	4.5	FA	FfF
190.5	4.5	FA	FfM
195.5	4.5	FA	FfC
200.5	4.5	Hit	HfH
205.5	4.5	Hit	HfH
210.5	4.5	Hit	HfH
215.5	4.5	Hit	HfH
220.5	4.5	FA	FfH
225.5	4.5	Hit	HfC
230.5	4.5	FA	FfH
235.5	4.5	NR	NRfX
240.5	4.5	FA	FfH
245.5	4.5	FA	FfC
250.5	4.5	Hit	HfH
255.5	4.5	Hit	HfH
260.5	4.5	Hit	HfM
265.5	4.5	Hit	HfH
