onset	duration	trial_type_a	trial_type_b
0.5	4.5	FA	FfF
5.5	4.5	NR	NRfX
10.5	4.5	Hit	HfC
15.5	4.5	FA	FfH
20.5	4.5	Hit	HfF
25.5	4.5	FA	FfC
30.5	4.5	Hit	HfH
35.5	4.5	FA	FfH
40.5	4.5	FA	FfM
45.5	4.5	Hit	HfC
50.5	4.5	FA	FfC
55.5	4.5	Hit	HfF
60.5	4.5	Hit	HfM
65.5	4.5	FA	FfF
70.5	4.5	Hit	HfF
75.5	4.5	Hit	HfC
80.5	4.5	FA	FfC
85.5	4.5	FA	FfF
90.5	4.5	Hit	HfH
95.5	4.5	Hit	HfH
100.5	4.5	Hit	HfH
105.5	4.5	Hit	HfF
110.5	4.5	Hit	HfH
115.5	4.5	FA	FfF
120.5	4.5	Hit	HfH
125.5	4.5	NR	NRfX
130.5	4.5	FA	FfH
135.5	4.5	Hit	HfH
140.5	4.5	NR	NRfX
145.5	4.5	Hit	HfF
150.5	4.5	FA	FfM
155.5	4.5	NR	NRfX
160.5	4.5	FA	FfF
165.5	4.5	FA	FfH
170.5	4.5	Hit	HfM
175.5	4.5	Hit	HfF
180.5	4.5	FA	FfH
185.5	4.5	Hit	HfC
190.5	4.5	Hit	HfC
195.5	4.5	Hit	HfM
200.5	4.5	FA	FfH
205.5	4.5	FA	FfH
210.5	4.5	FA	FfF
215.5	4.5	FA	FfF
220.5	4.5	FA	FfH
225.5	4.5	Hit	HfH
230.5	4.5	FA	FfF
235.5	4.5	FA	FfF
240.5	4.5	Hit	HfH
245.5	4.5	FA	FfF
250.5	4.5	Hit	HfF
255.5	4.5	Hit	HfH
260.5	4.5	FA	FfH
265.5	4.5	FA	FfF
