onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.011	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.011	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.028	5.008	LEXICAL_DECISION	PSEUDOWORD	LOKYD	n/a	n/a
12.48	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.061	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.078	5.008	LEXICAL_DECISION	PSEUDOWORD	SAKMY	n/a	n/a
20.52	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
23.111	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.128	5.008	LEXICAL_DECISION	WORD	KASA	n/a	n/a
26.8	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
31.161	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.178	5.008	LEXICAL_DECISION	WORD	KŁA	n/a	n/a
35.944	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
39.211	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.236	5.008	LEXICAL_DECISION	WORD	KOMU	n/a	n/a
45.784	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
49.278	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.278	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.295	5.008	6_DOT_DETECTION	NO_6-DOT	DMSTY	n/a	n/a
59.16	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.328	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.345	5.008	6_DOT_DETECTION	NO_6-DOT	TMIA	n/a	n/a
65.664	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.378	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.395	5.008	6_DOT_DETECTION	6-DOT	##Ł	n/a	n/a
73.024	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.428	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.445	5.008	6_DOT_DETECTION	6-DOT	#U#	n/a	n/a
81.504	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	MISS
86.478	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.495	5.008	6_DOT_DETECTION	6-DOT	A#L#O	n/a	n/a
90.064	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
95.536	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
