onset	duration	trial_type	braille_stimulus	targets	response_count
2.015	2.008	CUE_6_DOT	n/a	n/a	n/a
7.016	1.008	FIXCROSS	n/a	n/a	n/a
8.032	5.008	6_DOT_DETECTION	ŁKTMO	0	n/a
13.066	1.008	FIXCROSS	n/a	n/a	n/a
14.082	5.008	6_DOT_DETECTION	CKBPD	0	n/a
19.116	1.008	FIXCROSS	n/a	n/a	n/a
20.132	5.008	6_DOT_DETECTION	#TAK#	2	n/a
21.864	n/a	RESPONSE	n/a	n/a	1/2
23.88	n/a	RESPONSE	n/a	n/a	2/2
25.166	1.008	FIXCROSS	n/a	n/a	n/a
26.182	5.008	6_DOT_DETECTION	DBA#Y	1	n/a
28.664	n/a	RESPONSE	n/a	n/a	1/1
31.216	1.008	FIXCROSS	n/a	n/a	n/a
32.232	5.008	6_DOT_DETECTION	LDEAC	0	n/a
37.266	1.008	FIXCROSS	n/a	n/a	n/a
38.282	5.008	6_DOT_DETECTION	ŁMLSI	0	n/a
43.316	1.008	FIXCROSS	n/a	n/a	n/a
44.332	5.008	6_DOT_DETECTION	ULI#Ł	1	n/a
47.664	n/a	RESPONSE	n/a	n/a	1/1
49.366	1.008	FIXCROSS	n/a	n/a	n/a
50.382	5.008	6_DOT_DETECTION	K#SET	1	n/a
51.76	n/a	RESPONSE	n/a	n/a	1/1
57.424	2.008	CUE_REST	n/a	n/a	n/a
62.424	1.008	FIXCROSS	n/a	n/a	n/a
68.474	1.008	FIXCROSS	n/a	n/a	n/a
75.532	2.008	CUE_6_DOT	n/a	n/a	n/a
80.532	1.008	FIXCROSS	n/a	n/a	n/a
81.549	5.008	6_DOT_DETECTION	DLPOO	0	n/a
86.582	1.008	FIXCROSS	n/a	n/a	n/a
87.599	5.008	6_DOT_DETECTION	LDABD	0	n/a
92.632	1.008	FIXCROSS	n/a	n/a	n/a
93.649	5.008	6_DOT_DETECTION	OSA#U	1	n/a
95.72	n/a	RESPONSE	n/a	n/a	1/1
98.682	1.008	FIXCROSS	n/a	n/a	n/a
99.699	5.008	6_DOT_DETECTION	LEK##	2	n/a
102.4	n/a	RESPONSE	n/a	n/a	1/2
103.464	n/a	RESPONSE	n/a	n/a	2/2
104.732	1.008	FIXCROSS	n/a	n/a	n/a
105.749	5.008	6_DOT_DETECTION	#TAM#	2	n/a
106.664	n/a	RESPONSE	n/a	n/a	1/2
108.904	n/a	RESPONSE	n/a	n/a	2/2
110.782	1.008	FIXCROSS	n/a	n/a	n/a
111.799	5.008	6_DOT_DETECTION	ISUEP	0	n/a
116.832	1.008	FIXCROSS	n/a	n/a	n/a
117.849	5.008	6_DOT_DETECTION	K#MYL	1	n/a
119.424	n/a	RESPONSE	n/a	n/a	1/1
122.36	n/a	RESPONSE	n/a	n/a	2/1
122.882	1.008	FIXCROSS	n/a	n/a	n/a
123.899	5.008	6_DOT_DETECTION	ADA#K	1	n/a
126.424	n/a	RESPONSE	n/a	n/a	1/1
130.441	2.008	CUE_REST	n/a	n/a	n/a
136.941	1.008	FIXCROSS	n/a	n/a	n/a
142.991	1.008	FIXCROSS	n/a	n/a	n/a
150.549	2.008	CUE_6_DOT	n/a	n/a	n/a
157.049	1.008	FIXCROSS	n/a	n/a	n/a
158.066	5.008	6_DOT_DETECTION	##BIŁ	2	n/a
160.144	n/a	RESPONSE	n/a	n/a	1/2
163.108	1.008	FIXCROSS	n/a	n/a	n/a
164.124	5.008	6_DOT_DETECTION	K#BUD	1	n/a
165.624	n/a	RESPONSE	n/a	n/a	1/1
169.158	1.008	FIXCROSS	n/a	n/a	n/a
170.174	5.008	6_DOT_DETECTION	SMPMY	0	n/a
173.48	n/a	RESPONSE	n/a	n/a	1/0
175.208	1.008	FIXCROSS	n/a	n/a	n/a
176.224	5.008	6_DOT_DETECTION	#DOBK	1	n/a
177.36	n/a	RESPONSE	n/a	n/a	1/1
181.258	1.008	FIXCROSS	n/a	n/a	n/a
182.274	5.008	6_DOT_DETECTION	TUAIU	0	n/a
187.308	1.008	FIXCROSS	n/a	n/a	n/a
188.324	5.008	6_DOT_DETECTION	P#LOK	1	n/a
190.064	n/a	RESPONSE	n/a	n/a	1/1
193.358	1.008	FIXCROSS	n/a	n/a	n/a
194.374	5.008	6_DOT_DETECTION	#LAT#	2	n/a
195.08	n/a	RESPONSE	n/a	n/a	1/2
197.2	n/a	RESPONSE	n/a	n/a	2/2
199.408	1.008	FIXCROSS	n/a	n/a	n/a
200.424	5.008	6_DOT_DETECTION	IPUTI	0	n/a
206.966	2.008	CUE_REST	n/a	n/a	n/a
211.466	1.008	FIXCROSS	n/a	n/a	n/a
217.516	1.008	FIXCROSS	n/a	n/a	n/a
225.574	2.008	CUE_6_DOT	n/a	n/a	n/a
231.574	1.008	FIXCROSS	n/a	n/a	n/a
232.591	5.008	6_DOT_DETECTION	EBC##	2	n/a
234.72	n/a	RESPONSE	n/a	n/a	1/2
236.0	n/a	RESPONSE	n/a	n/a	2/2
237.624	1.008	FIXCROSS	n/a	n/a	n/a
238.641	5.008	6_DOT_DETECTION	KOYUA	0	n/a
243.674	1.008	FIXCROSS	n/a	n/a	n/a
244.691	5.008	6_DOT_DETECTION	C#PYK	1	n/a
246.664	n/a	RESPONSE	n/a	n/a	1/1
249.724	1.008	FIXCROSS	n/a	n/a	n/a
250.741	5.008	6_DOT_DETECTION	TUB##	2	n/a
252.84	n/a	RESPONSE	n/a	n/a	1/2
253.76	n/a	RESPONSE	n/a	n/a	2/2
255.774	1.008	FIXCROSS	n/a	n/a	n/a
256.791	5.008	6_DOT_DETECTION	TCBMA	0	n/a
261.824	1.008	FIXCROSS	n/a	n/a	n/a
