onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	2	0	730	22
16.0	0.5	3	1	1	1	424	17
22.0	0.5	2	1	2	0	837	9
31.0	0.5	6	2	2	1	691	22
38.0	0.5	3	1	1	1	681	25
43.0	0.5	1	1	1	1	563	1
49.0	0.5	3	1	1	1	812	26
56.0	0.5	5	2	2	1	612	9
62.0	0.5	2	1	1	1	549	10
67.0	0.5	3	1	1	1	643	24
73.0	0.5	6	2	2	1	543	17
79.0	0.5	6	2	2	1	624	25
86.0	0.5	1	1	1	1	731	2
93.0	0.5	4	2	2	1	636	1
101.0	0.5	3	1	1	1	653	21
109.0	0.5	6	2	2	1	682	26
120.0	0.5	3	1	1	1	511	32
132.0	0.5	3	1	1	1	637	27
141.0	0.5	3	1	1	1	646	23
151.0	0.5	5	2	2	1	607	10
162.0	0.5	4	2	2	1	610	2
172.0	0.5	1	1	1	1	702	4
180.0	0.5	6	2	2	1	575	24
185.0	0.5	1	1	1	1	548	7
195.0	0.5	6	2	2	1	687	21
204.0	0.5	2	1	1	1	691	13
216.0	0.5	3	1	1	1	711	28
228.0	0.5	6	2	2	1	641	23
238.0	0.5	6	2	2	1	753	32
243.0	0.5	1	1	1	1	454	5
248.0	0.5	6	2	2	1	643	27
260.0	0.5	4	2	2	1	519	4
267.0	0.5	2	1	1	1	583	16
278.0	0.5	4	2	2	1	930	7
284.0	0.5	1	1	1	1	627	8
296.0	0.5	5	2	2	1	584	13
303.0	0.5	3	1	1	1	878	30
311.0	0.5	3	1	1	1	1026	31
318.0	0.5	2	1	1	1	834	14
325.0	0.5	6	2	2	1	729	28
335.0	0.5	4	2	2	1	707	5
344.0	0.5	6	2	2	1	657	30
352.0	0.5	3	1	1	1	659	18
361.0	0.5	4	2	2	1	641	8
373.0	0.5	2	1	1	1	606	15
381.0	0.5	5	2	2	1	665	16
389.0	0.5	5	2	2	1	811	14
394.0	0.5	6	2	2	1	555	31
403.0	0.5	1	1	1	1	692	6
412.0	0.5	3	1	1	1	630	29
423.0	0.5	3	1	1	1	827	20
428.0	0.5	5	2	2	1	627	15
438.0	0.5	3	1	1	1	821	19
448.0	0.5	6	2	2	1	694	20
459.0	0.5	2	1	1	1	610	12
469.0	0.5	6	2	2	1	571	29
477.0	0.5	2	1	1	1	557	11
483.0	0.5	6	2	2	1	579	19
495.0	0.5	4	2	2	1	737	6
500.0	0.5	5	2	2	1	788	12
512.0	0.5	1	1	1	1	1102	3
523.0	0.5	5	2	2	1	591	11
532.0	0.5	6	2	2	1	495	18
538.0	0.5	4	2	2	1	439	3
