onset	duration	condition	target	response	acc	rt	stimuli
5.0	0.5	3	1	-1	0	0	17
16.0	0.5	1	1	1	1	822	2
23.0	0.5	3	1	1	1	558	22
33.0	0.5	6	2	1	0	402	17
41.0	0.5	3	1	1	1	576	25
49.0	0.5	3	1	1	1	540	26
61.0	0.5	6	2	2	1	628	22
68.0	0.5	1	1	1	1	468	1
76.0	0.5	3	2	2	1	1168	24
88.0	0.5	2	1	2	0	686	9
93.0	0.5	4	2	2	1	739	2
100.0	0.5	6	2	2	1	1255	25
108.0	0.5	3	1	1	1	760	32
114.0	0.5	6	2	2	1	817	26
123.0	0.5	2	1	1	1	1051	10
129.0	0.5	6	2	2	1	941	32
135.0	0.5	4	2	2	1	790	1
143.0	0.5	1	1	1	1	903	4
154.0	0.5	3	1	1	1	705	23
160.0	0.5	6	2	2	1	754	24
166.0	0.5	3	1	1	1	574	21
177.0	0.5	5	2	2	1	607	9
182.0	0.5	2	1	1	1	769	13
193.0	0.5	3	1	1	1	713	27
201.0	0.5	1	1	1	1	562	7
206.0	0.5	5	2	2	1	667	10
215.0	0.5	3	1	1	1	825	28
220.0	0.5	6	2	2	1	638	23
229.0	0.5	2	1	1	1	554	16
238.0	0.5	4	2	2	1	619	4
247.0	0.5	6	2	2	1	626	27
259.0	0.5	6	2	2	1	651	21
266.0	0.5	1	1	1	1	799	5
278.0	0.5	5	2	2	1	547	13
285.0	0.5	4	2	2	1	604	7
290.0	0.5	3	1	1	1	765	30
297.0	0.5	3	1	1	1	711	31
306.0	0.5	5	2	2	1	626	16
317.0	0.5	2	1	1	1	555	14
327.0	0.5	6	2	2	1	677	28
332.0	0.5	1	1	1	1	662	8
342.0	0.5	6	2	2	1	603	30
352.0	0.5	2	1	1	1	507	15
364.0	0.5	4	2	2	1	598	8
374.0	0.5	6	2	2	1	649	31
386.0	0.5	4	2	2	1	611	5
392.0	0.5	3	1	1	1	572	20
402.0	0.5	5	2	2	1	517	14
412.0	0.5	3	1	1	1	1170	29
421.0	0.5	1	1	1	1	673	6
427.0	0.5	5	2	2	1	617	15
435.0	0.5	2	1	1	1	669	12
443.0	0.5	3	1	1	1	695	18
450.0	0.5	3	1	1	1	530	19
455.0	0.5	6	2	2	1	374	20
460.0	0.5	6	2	2	1	564	29
471.0	0.5	1	1	1	1	653	3
480.0	0.5	6	2	2	1	919	19
490.0	0.5	4	2	2	1	711	6
501.0	0.5	6	2	2	1	725	18
512.0	0.5	2	1	1	1	614	11
519.0	0.5	5	2	2	1	588	12
525.0	0.5	4	2	2	1	549	3
537.0	0.5	5	2	2	1	682	11
