onset	duration	sample	trial_type	value
0	0.002	1	New Segment	n/a
0	0.002	1	Scanner	Scan Start
2	0.002	1001	Scanner	Scan Start
4	0.002	2001	Scanner	Scan Start
6	0.002	3001	Scanner	Scan Start
7.094	0.002	3548	Stimulus	S 20
8	0.002	4001	Scanner	Scan Start
8.484	0.002	4243	Response	FA
8.686	0.002	4344	Stimulus	S160
10	0.002	5001	Scanner	Scan Start
12	0.002	6001	Scanner	Scan Start
14	0.002	7001	Scanner	Scan Start
15.038	0.002	7520	Stimulus	S 10
16	0.002	8001	Scanner	Scan Start
16.202	0.002	8102	Response	Hit
16.404	0.002	8203	Stimulus	S130
18	0.002	9001	Scanner	Scan Start
20	0.002	10001	Scanner	Scan Start
22	0.002	11001	Scanner	Scan Start
24	0.002	12001	Scanner	Scan Start
25.056	0.002	12529	Stimulus	S 30
26	0.002	13001	Scanner	Scan Start
26.198	0.002	13100	Response	CR
26.4	0.002	13201	Stimulus	S140
28	0.002	14001	Scanner	Scan Start
30	0.002	15001	Scanner	Scan Start
32	0.002	16001	Scanner	Scan Start
33.018	0.002	16510	Stimulus	S 40
34	0.002	17001	Scanner	Scan Start
34.172	0.002	17087	Response	FA
34.374	0.002	17188	Stimulus	S170
36	0.002	18001	Scanner	Scan Start
38	0.002	19001	Scanner	Scan Start
40	0.002	20001	Scanner	Scan Start
41.018	0.002	20510	Stimulus	S 40
42	0.002	21001	Scanner	Scan Start
43.05	0.002	21526	Stimulus	S190
44	0.002	22001	Scanner	Scan Start
46	0.002	23001	Scanner	Scan Start
48	0.002	24001	Scanner	Scan Start
49.094	0.002	24548	Stimulus	S 20
50	0.002	25001	Scanner	Scan Start
50.04	0.002	25021	Response	CR
50.24	0.002	25121	Stimulus	S130
52	0.002	26001	Scanner	Scan Start
54	0.002	27001	Scanner	Scan Start
56	0.002	28001	Scanner	Scan Start
58	0.002	29001	Scanner	Scan Start
59.056	0.002	29529	Stimulus	S 40
60	0.002	30001	Scanner	Scan Start
60.126	0.002	30064	Response	CR
60.328	0.002	30165	Stimulus	S110
62	0.002	31001	Scanner	Scan Start
64	0.002	32001	Scanner	Scan Start
66	0.002	33001	Scanner	Scan Start
68	0.002	34001	Scanner	Scan Start
69.076	0.002	34539	Stimulus	S 30
70	0.002	35001	Scanner	Scan Start
70.076	0.002	35039	Response	FA
71.778	0.002	35890	Stimulus	S151
72	0.002	36001	Scanner	Scan Start
74	0.002	37001	Scanner	Scan Start
76	0.002	38001	Scanner	Scan Start
77.076	0.002	38539	Stimulus	S 10
78	0.002	39001	Scanner	Scan Start
78.084	0.002	39043	Response	Hit
78.286	0.002	39144	Stimulus	S120
80	0.002	40001	Scanner	Scan Start
82	0.002	41001	Scanner	Scan Start
84	0.002	42001	Scanner	Scan Start
86	0.002	43001	Scanner	Scan Start
87.056	0.002	43529	Stimulus	S 30
