onset	duration	condition	trial_type	braille_stimulus	response_val	response_type
2.013	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
7.013	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
8.03	5.008	LEXICAL_DECISION	PSEUDOWORD	SEMA	n/a	n/a
12.52	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
15.063	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
16.08	5.008	LEXICAL_DECISION	WORD	TYPU	n/a	n/a
21.92	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
23.113	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
24.13	5.008	LEXICAL_DECISION	WORD	STEK	n/a	n/a
29.944	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
31.163	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
32.179	5.008	LEXICAL_DECISION	PSEUDOWORD	LIŁCU	n/a	n/a
38.384	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
39.213	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
40.23	5.008	LEXICAL_DECISION	WORD	TOPI	n/a	n/a
45.04	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
49.271	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
54.271	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
55.288	5.008	6_DOT_DETECTION	NO_6-DOT	KŁMLK	n/a	n/a
58.104	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
62.321	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
63.338	5.008	6_DOT_DETECTION	NO_6-DOT	PŁKL	n/a	n/a
65.36	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
70.371	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
71.388	5.008	6_DOT_DETECTION	6-DOT	#M#ŁS	n/a	n/a
73.824	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
78.421	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
79.438	5.008	6_DOT_DETECTION	6-DOT	KB##	n/a	n/a
82.184	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
86.471	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
87.488	5.008	6_DOT_DETECTION	NO_6-DOT	TKLKŁ	n/a	n/a
90.264	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
95.53	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
100.53	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
101.546	5.008	LEXICAL_DECISION	PSEUDOWORD	BYLU	n/a	n/a
104.6	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
108.579	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
109.596	5.008	LEXICAL_DECISION	PSEUDOWORD	OKCY	n/a	n/a
115.4	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
116.63	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
117.646	5.008	LEXICAL_DECISION	PSEUDOWORD	DOAST	n/a	n/a
124.464	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	FALSE_ALARM
124.679	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
125.696	5.008	LEXICAL_DECISION	WORD	SMOK	n/a	n/a
132.52	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
132.729	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
133.746	5.008	LEXICAL_DECISION	WORD	AKT	n/a	n/a
136.824	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
142.288	2.008	6_DOT_DETECTION	CUE	n/a	n/a	n/a
146.788	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
147.804	5.009	6_DOT_DETECTION	6-DOT	DK##L	n/a	n/a
150.544	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
154.838	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
155.855	5.008	6_DOT_DETECTION	NO_6-DOT	KDTLŁ	n/a	n/a
158.8	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
162.888	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
163.905	5.008	6_DOT_DETECTION	6-DOT	P#T#	n/a	n/a
168.68	n/a	6_DOT_DETECTION	RESPONSE	n/a	YES	HIT
170.938	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
171.955	5.008	6_DOT_DETECTION	NO_6-DOT	SSŁKM	n/a	n/a
174.44	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
178.988	1.008	6_DOT_DETECTION	FIXCROSS	n/a	n/a	n/a
180.005	5.008	6_DOT_DETECTION	NO_6-DOT	DDŁ	n/a	n/a
182.04	n/a	6_DOT_DETECTION	RESPONSE	n/a	NO	CORRECT_REJECTION
188.546	2.008	LEXICAL_DECISION	CUE	n/a	n/a	n/a
195.046	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
196.063	5.008	LEXICAL_DECISION	WORD	DOKI	n/a	n/a
202.424	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
202.76	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	MISS
203.096	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
204.113	5.008	LEXICAL_DECISION	PSEUDOWORD	DASY	n/a	n/a
208.184	n/a	LEXICAL_DECISION	RESPONSE	n/a	NO	CORRECT_REJECTION
211.146	1.008	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
212.163	5.008	LEXICAL_DECISION	WORD	ŁAPY	n/a	n/a
215.92	n/a	LEXICAL_DECISION	RESPONSE	n/a	YES	HIT
219.196	1.009	LEXICAL_DECISION	FIXCROSS	n/a	n/a	n/a
