onset	duration	trial_type	braille_stimulus	targets	response_count
2.015	2.009	CUE_6_DOT	n/a	n/a	n/a
7.016	1.008	FIXCROSS	n/a	n/a	n/a
8.033	5.008	6_DOT_DETECTION	ALCSD	0	n/a
13.066	1.008	FIXCROSS	n/a	n/a	n/a
14.083	5.008	6_DOT_DETECTION	TBLTL	0	n/a
19.116	1.008	FIXCROSS	n/a	n/a	n/a
20.133	5.008	6_DOT_DETECTION	Ł#AUT	1	n/a
25.166	1.008	FIXCROSS	n/a	n/a	n/a
26.183	5.008	6_DOT_DETECTION	T#BYŁ	1	n/a
27.664	n/a	RESPONSE	n/a	n/a	1/1
29.824	n/a	RESPONSE	n/a	n/a	2/1
31.216	1.008	FIXCROSS	n/a	n/a	n/a
32.232	5.009	6_DOT_DETECTION	YUUIC	0	n/a
37.266	1.008	FIXCROSS	n/a	n/a	n/a
38.283	5.008	6_DOT_DETECTION	OLPDT	0	n/a
43.316	1.008	FIXCROSS	n/a	n/a	n/a
44.333	5.008	6_DOT_DETECTION	LUB#L	1	n/a
46.76	n/a	RESPONSE	n/a	n/a	1/1
49.366	1.008	FIXCROSS	n/a	n/a	n/a
50.383	5.008	6_DOT_DETECTION	##BUS	2	n/a
51.264	n/a	RESPONSE	n/a	n/a	1/2
57.424	2.008	CUE_REST	n/a	n/a	n/a
62.424	1.008	FIXCROSS	n/a	n/a	n/a
68.474	1.008	FIXCROSS	n/a	n/a	n/a
75.533	2.008	CUE_6_DOT	n/a	n/a	n/a
80.533	1.008	FIXCROSS	n/a	n/a	n/a
81.549	5.008	6_DOT_DETECTION	PLDYŁ	0	n/a
85.2	n/a	RESPONSE	n/a	n/a	1/0
86.583	1.008	FIXCROSS	n/a	n/a	n/a
87.599	5.008	6_DOT_DETECTION	EKDDK	0	n/a
92.633	1.008	FIXCROSS	n/a	n/a	n/a
93.649	5.008	6_DOT_DETECTION	BEL#A	1	n/a
95.944	n/a	RESPONSE	n/a	n/a	1/1
98.683	1.008	FIXCROSS	n/a	n/a	n/a
