onset	duration	condition_name	trial_type	stim_name	one_back	train_test	subj_resp	imagert	imagery_scene	imagery_pos
2.300133928656578e-06	12.001565099926665	0	0	Fix	0	0	0	0	0	0
12.001565100159496	2.0014977999962866	118369	1	images\train2017\000000118369.jpg	0	1	0	0	0	0
15.000061800004914	2.0015847000759095	521182	2	a man that is cutting some kind cake	0	1	0	0	0	0
18.00019310018979	2.001476999837905	49901	1	images\train2017\000000049901.jpg	0	1	0	0	0	0
21.000480400165543	2.001580100040883	482064	1	images\train2017\000000482064.jpg	0	1	0	0	0	0
23.99992149998434	2.001424899790436	16764	2	A small dog standing inside a car	0	2	0	0	0	0
27.00011150003411	2.0015740001108497	261097	2	The tennis player is walking on the court	0	1	0	0	0	0
29.999980200082064	2.001527799991891	226348	2	A couple of people sitting at a table	0	1	0	0	0	0
33.00003940006718	2.00164039991796	250370	2	Flowers in a brown and oddly shaped vase	0	1	0	0	0	0
36.000304700108245	2.0015413998626173	407198	1	images\train2017\000000407198.jpg	0	1	0	0	0	0
39.00004020007327	2.001537600066513	454636	2	A group of people standing together talking	0	2	0	0	0	0
42.00000840006396	2.0014711001422256	0	0	Fix	0	0	0	0	0	0
45.000077800126746	2.001545100007206	573980	2	A snow boarder is in the air over the snow	0	2	0	0	0	0
48.00043060001917	2.0015717002097517	555939	1	images\train2017\000000555939.jpg	0	1	0	0	0	0
51.00031889998354	2.0015992999542505	186788	1	images\train2017\000000186788.jpg	0	2	0	0	0	0
53.99995389999822	2.0017054001800716	143120	2	A man is holding a donut to his mouth	0	1	0	0	0	0
57.00021190010011	2.0015066999476403	143120	1	images\train2017\000000143120.jpg	2	0	1	0	0	0
60.000069400062785	2.001517300028354	107495	2	A child is riding a horse on a track	0	1	0	0	0	0
63.000066900160164	2.0016961998771876	233075	2	A set of knives mounted on a wall	0	1	0	0	0	0
66.00021890015341	2.001496799988672	70347	1	images\train2017\000000070347.jpg	0	1	0	0	0	0
69.00004910002463	2.0014814999885857	0	0	Fix	0	0	0	0	0	0
72.00040390016511	2.0013854999560863	536798	1	images\train2017\000000536798.jpg	0	2	0	0	0	0
75.00008710008115	2.0017099000979215	385795	2	Children running to kick the soccer ball	0	2	0	0	0	0
77.99978100019507	2.0015876998659223	385795	2	Children running to kick the soccer ball	1	0	1	0	0	0
81.00036750012077	2.001452500000596	268901	1	images\train2017\000000268901.jpg	0	1	0	0	0	0
83.99996790010482	2.0015933997929096	268901	2	A toddler boy holding a Frisbee on the beach	2	0	1	0	0	0
87.00000860006548	2.0015016000252217	63556	2	a bunch of traffic is clogging up a street	0	1	0	0	0	0
90.00019569997676	2.00162860006094	89915	2	A man standing waist deep in the ocean waters	0	1	0	0	0	0
93.0003058000002	2.0014899000525475	202328	1	images\train2017\000000202328.jpg	0	1	0	0	0	0
96.0004863999784	2.001649900106713	315719	1	images\train2017\000000315719.jpg	0	1	0	0	0	0
98.99990810011514	2.001557700103149	51771	2	A guy on a snow board high in the air	0	1	0	0	0	0
102.00040900008753	2.0014337999746203	298762	1	images\train2017\000000298762.jpg	0	1	0	0	0	0
105.00043490016833	2.0016330999787897	157099	1	images\train2017\000000157099.jpg	0	1	0	0	0	0
107.99994060001336	2.0015180001500994	220654	2	A dump truck sits by a stop sign	0	2	0	0	0	0
111.00043490016833	2.001497399993241	500646	1	images\train2017\000000500646.jpg	0	1	0	0	0	0
113.99993090005592	2.0016145000699908	0	0	Fix	0	0	0	0	0	0
116.99990710010752	2.001533600036055	42620	2	A man is using chopsticks to touch food	0	1	0	0	0	0
120.0000396000687	2.0014997001271695	292888	2	A black cow standing next to a white cow	0	2	0	0	0	0
123.00047080009244	2.0015742999967188	172913	1	images\train2017\000000172913.jpg	0	1	0	0	0	0
126.00027920003049	2.0016773000825197	499733	1	images\train2017\000000499733.jpg	0	2	0	0	0	0
129.0002497001551	2.0017035000491887	255714	1	images\train2017\000000255714.jpg	0	2	0	0	0	0
132.00013020006008	2.001518900040537	6599	1	images\train2017\000000006599.jpg	0	1	0	0	0	0
135.00048530008644	2.001657399814576	6599	1	images\train2017\000000006599.jpg	1	0	1	0	0	0
137.99979370017536	2.0017490999307483	220368	2	A train turning a bend to go into a tunnel	0	1	0	0	0	0
140.99985600006767	2.0015587999951094	146411	2	A cat on the ground with a shoe	0	2	0	0	0	0
144.0003657999914	2.0014712000265718	45108	1	images\train2017\000000045108.jpg	0	1	0	0	0	0
147.0003778000828	2.0015644999220967	322027	1	images\train2017\000000322027.jpg	0	1	0	0	0	0
150.0000099001918	2.0014512999914587	265839	2	Plates on a table with assorted fresh fruits	0	1	0	0	0	0
153.0001197999809	2.001589599996805	0	0	Fix	0	0	0	0	0	0
156.00018960004672	2.0017266999930143	313088	1	images\train2017\000000313088.jpg	0	1	0	0	0	0
159.00007780012675	2.0015259000938386	32712	1	images\train2017\000000032712.jpg	0	1	0	0	0	0
162.00035430002026	2.001638700021431	348074	1	images\train2017\000000348074.jpg	0	1	0	0	0	0
165.0002639000304	2.0015746999997646	365313	1	images\train2017\000000365313.jpg	0	1	0	0	0	0
167.99999550008215	2.001637199893594	385795	2	Children running to kick the soccer ball	0	2	0	0	0	0
171.00034610019065	2.001477599842474	548167	1	images\train2017\000000548167.jpg	0	2	0	0	0	0
174.00073199998587	2.001446299953386	99907	1	images\train2017\000000099907.jpg	0	1	0	0	0	0
177.0001227001194	2.0016677998937666	133449	2	a man that is bent down next to a cow	0	2	0	0	0	0
180.0001197999809	2.001677099848166	573980	1	images\train2017\000000573980.jpg	0	2	0	0	0	0
182.99991420004517	2.0015390999615192	506707	2	A group of players playing a baseball game	0	1	0	0	0	0
186.00001130020246	2.001655199797824	0	0	Fix	0	0	0	0	0	0
189.00029490003362	2.0016272999346256	363483	1	images\train2017\000000363483.jpg	0	2	0	0	0	0
191.9999395001214	2.001450200099498	121977	2	A vase with only one beautiful pink flower	0	1	0	0	0	0
195.00009390013292	2.0017283000051975	63881	2	A young boy playing soccer on a dirt field	0	2	0	0	0	0
198.00023000012152	2.0015118001028895	71310	1	images\train2017\000000071310.jpg	0	1	0	0	0	0
201.00045160017908	2.001462599961087	170388	1	images\train2017\000000170388.jpg	0	1	0	0	0	0
204.00003350013867	2.001454500015825	433499	2	a kiddy riding train with a small car	0	1	0	0	0	0
207.00007160007954	2.00158439995721	374357	2	A stop sign on a rainy city street	0	1	0	0	0	0
210.00039420020767	2.0016518998891115	201526	1	images\train2017\000000201526.jpg	0	1	0	0	0	0
213.00034920009784	2.0014336998574436	25902	1	images\train2017\000000025902.jpg	0	2	0	0	0	0
216.00005740020424	2.0014692000113428	0	0	Fix	0	0	0	0	0	0
219.0004456001334	2.0015386999584734	318071	1	images\train2017\000000318071.jpg	0	1	0	0	0	0
222.00029870006256	2.0016214000061154	266418	1	images\train2017\000000266418.jpg	0	1	0	0	0	0
224.99996879999526	2.0015161999035627	84968	2	A street sign beside a tree on the street	0	1	0	0	0	0
228.00010010018013	2.0016026999801397	279331	2	a small dog on a leash with a racket	0	2	0	0	0	0
231.0000492001418	2.0015348000451922	385795	2	Children running to kick the soccer ball	0	2	0	0	0	0
234.00002130004577	2.0014639999717474	250299	2	Glasses of liquor are sitting on a bar	0	1	0	0	0	0
237.0000254001934	2.001655099913478	135258	2	A man that is in the air with a snowboard	0	1	0	0	0	0
240.0003506001085	2.001622799783945	135258	1	images\train2017\000000135258.jpg	2	0	0	0	0	0
243.00021830014884	2.0015002998989075	79642	1	images\train2017\000000079642.jpg	0	2	0	0	0	0
246.00016880012117	2.0015648999251425	283642	2	a train that is in some kind of tunnel	0	1	0	0	0	0
249.00020060013048	2.0015949001535773	507351	1	images\train2017\000000507351.jpg	0	1	0	0	0	0
251.99996090005152	2.0014633000828326	507351	2	A hawk standing on top of a wooden pole	2	0	1	0	0	0
255.00059409998357	2.001618499867618	289332	1	images\train2017\000000289332.jpg	0	1	0	0	0	0
257.9999532001093	2.0014687997754663	260955	2	A boat in the water on a cloudy day	0	1	0	0	0	0
261.000094700139	2.0016614000778645	154207	2	A lit lamp sitting next to a simple bed	0	1	0	0	0	0
263.99985080002807	2.0015320000238717	338509	2	a fridge is shown with some pictures on it	0	1	0	0	0	0
267.00002890010364	2.001575700007379	499724	2	A fluffy pastry item is in a napkin	0	1	0	0	0	0
270.00039420020767	2.001569499960169	146411	1	images\train2017\000000146411.jpg	0	2	0	0	0	0
272.99997770017944	2.001511299982667	348604	2	A jet is sitting on a long runway	0	1	0	0	0	0
276.0001081000082	2.0015388999599963	521726	2	A traffic light with the green light lit	0	1	0	0	0	0
279.00034969998524	2.0014671999961138	255714	1	images\train2017\000000255714.jpg	0	2	0	0	0	0
282.0001071000006	2.0014597000554204	73951	2	A pair of people retrieve discs in a goal	0	1	0	0	0	0
285.00034170015715	2.0016250000335276	573980	1	images\train2017\000000573980.jpg	0	2	0	0	0	0
288.0000541000627	15.999948299955577	0	0	Fix	0	0	0	0	0	0
