onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
000.0294	005.4290	sentence	17	The renowned director brought the impatient cameraman to the equipment from his last project.	n/a	n/a	n/a
008.0302	006.4892	sentence	27	One per week the psychologist spoke delicately to her experienced secretary about her most difficult patients.	n/a	n/a	n/a
018.9789	003.2529	sentence	68	The children objected to the unpleasant smell of the cat.	n/a	n/a	n/a
028.5775	003.0170	sentence	55	The dog smelled the strange object near the children.	n/a	n/a	n/a
034.3518	005.8008	sentence	106	The customer patiently watched over the well-organized display for the shopkeeper for hours on end.	n/a	n/a	n/a
043.5757	002.8407	sentence	93	The salesperson displayed the watch for customers.	n/a	n/a	n/a
046.4188	005.0000	question	n/a	Whom was the watch displayed for?	003.8770	A	a
057.9572	006.2379	sentence	44	Shortly before the election the company unwittingly purchased a defective apartment block from the family.	n/a	n/a	n/a
070.4474	003.6687	sentence	29	The secretary often spoke to the patient about the psychologist.	n/a	n/a	n/a
080.2795	005.8630	sentence	43	A small company purchased the drab concrete apartment block from the family for later redevelopment.	n/a	n/a	n/a
092.8696	006.3006	sentence	89	Using pen and paper the reporter meticulously wrote a personal letter to the lobbyist about the politician.	n/a	n/a	n/a
106.0846	003.0170	sentence	92	The shopkeeper displayed the watch for his customers.	n/a	n/a	n/a
114.5919	005.4907	sentence	8	The cameraman begrudgingly brought the awkward equipment up from the basement to the director.	n/a	n/a	n/a
120.0841	005.0000	question	n/a	Where was the equipment brought from?	003.9944	D	d
129.6401	004.3897	sentence	6	Every morning the cameraman brought the equipment to the impatient director.	n/a	n/a	n/a
137.6391	003.1348	sentence	101	A customer watched over the display for the shopkeeper.	n/a	n/a	n/a
145.6131	003.3121	sentence	31	The secretary recommended the patient to the psychologist.	n/a	n/a	n/a
155.7452	003.0170	sentence	56	The dog sniffed the strange object near the children.	n/a	n/a	n/a
162.2780	006.1752	sentence	45	The foreign company purchased a decrepit apartment block from the wealthy family for an outrageous price.	n/a	n/a	n/a
170.4601	005.6765	sentence	35	The exhausted secretary spoke slowly to the patient about their psychologist late in the evening.	n/a	n/a	n/a
180.8837	006.8051	sentence	26	Occasionally the psychologist accidently spoke to his secretary about one patient within earshot of other patients.	n/a	n/a	n/a
187.6913	005.0000	question	n/a	How often did the psychologist allow themselves to be overheard?	003.9752	B	b
198.0901	003.1938	sentence	22	The psychologist warned the secretary about the patient.	n/a	n/a	n/a
201.2926	005.0000	question	n/a	What did the psychologist do to the secretary?	003.5108	A	a
211.8883	002.7822	sentence	91	The shopkeeper displayed the watch for customers.	n/a	n/a	n/a
221.6704	003.4901	sentence	39	The government purchased the apartment block from the family.	n/a	n/a	n/a
227.8280	005.4907	sentence	16	The director inexplicably brought the cameraman to the useless old equipment in the storeroom.	n/a	n/a	n/a
239.0932	003.0170	sentence	21	The cleaner spoke to the secretary about the patient.	n/a	n/a	n/a
247.9838	004.7541	sentence	61	The cute little dog smelled a strange object near the young children in the grass.	n/a	n/a	n/a
252.7416	005.0000	question	n/a	What was the dog like?	003.3161	C	c
262.8570	003.1348	sentence	23	A psychologist spoke to her gardener about the patient.	n/a	n/a	n/a
269.3229	006.3006	sentence	54	For no good reason the family blocked the purchase of an old apartment by the local company for six months.	n/a	n/a	n/a
282.0713	004.0880	sentence	71	The uncaring children objected to the smell of the sick dog at the vet.	n/a	n/a	n/a
292.1284	006.8051	sentence	72	After five long days the disappointed children finally objected to the unpleasant smell of their favourite new dog.	n/a	n/a	n/a
