onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
000.0269	005.4907	sentence	8	The cameraman begrudgingly brought the awkward equipment up from the basement to the director.	n/a	n/a	n/a
012.5213	002.8407	sentence	93	The salesperson displayed the watch for customers.	n/a	n/a	n/a
020.6702	006.5523	sentence	18	On the weekend the helpful film director brought the inexperienced cameraman to his equipment in the storeroom.	n/a	n/a	n/a
031.7772	006.1752	sentence	45	The foreign company purchased a decrepit apartment block from the wealthy family for an outrageous price.	n/a	n/a	n/a
041.6511	006.1126	sentence	99	As a marketing technique the shopkeeper prominently placed the watch on a dedicated stand for customers.	n/a	n/a	n/a
052.6915	003.0170	sentence	21	The cleaner spoke to the secretary about the patient.	n/a	n/a	n/a
061.2987	006.2379	sentence	44	Shortly before the election the company unwittingly purchased a defective apartment block from the family.	n/a	n/a	n/a
072.5640	002.4903	sentence	13	The director sold the cameraman's equipment.	n/a	n/a	n/a
081.2128	003.2529	sentence	100	The customer watched over the display for the shopkeeper.	n/a	n/a	n/a
087.5120	003.9079	sentence	48	The family blocked the purchase of their vintage car by the company.	n/a	n/a	n/a
097.6692	004.0279	sentence	75	The nonprofit organisation wrote to the politician about the reporter.	n/a	n/a	n/a
105.6850	003.0170	sentence	92	The shopkeeper displayed the watch for his customers.	n/a	n/a	n/a
114.6671	003.1348	sentence	77	The lobbyist wrote to the newspaper about the reporter.	n/a	n/a	n/a
122.1661	004.0279	sentence	96	Each day the shopkeeper displayed the watch to customers in his store.	n/a	n/a	n/a
126.1988	005.0000	question	n/a	What did the shopkeeper display?	002.4537	B	b
134.8063	003.1938	sentence	22	The psychologist warned the secretary about the patient.	n/a	n/a	n/a
140.8554	003.3121	sentence	31	The secretary recommended the patient to the psychologist.	n/a	n/a	n/a
146.1716	005.4290	sentence	17	The renowned director brought the impatient cameraman to the equipment from his last project.	n/a	n/a	n/a
154.8372	003.0170	sentence	58	The dog noticed the strange object near the children.	n/a	n/a	n/a
157.8571	005.0000	question	n/a	Who saw the strange object?	002.8382	D	d
165.2442	005.1211	sentence	51	The stubborn family blocked the purchase of the apartment by the company for six months.	n/a	n/a	n/a
174.4432	004.7541	sentence	61	The cute little dog smelled a strange object near the young children in the grass.	n/a	n/a	n/a
186.0166	003.3121	sentence	41	The company purchased a valuable painting from the family.	n/a	n/a	n/a
193.5074	003.1348	sentence	101	A customer watched over the display for the shopkeeper.	n/a	n/a	n/a
199.3150	003.1938	sentence	84	The academic wrote to the lobbyist about the politician.	n/a	n/a	n/a
206.7807	003.4901	sentence	39	The government purchased the apartment block from the family.	n/a	n/a	n/a
215.9546	003.0170	sentence	55	The dog smelled the strange object near the children.	n/a	n/a	n/a
223.7119	003.0759	sentence	103	The customer critiqued the display for the shopkeeper.	n/a	n/a	n/a
229.5527	007.1227	sentence	63	With its heightened sensory perception the dog smelled an unusual object near the large group of children at the school.	n/a	n/a	n/a
236.6769	005.0000	question	n/a	Where did the dog smell an unusual object?	003.8598	C	c
244.6259	003.7881	sentence	49	The family secured the purchase of their apartment by the company.	n/a	n/a	n/a
252.2166	005.6765	sentence	35	The exhausted secretary spoke slowly to the patient about their psychologist late in the evening.	n/a	n/a	n/a
264.4318	005.8008	sentence	106	The customer patiently watched over the well-organized display for the shopkeeper for hours on end.	n/a	n/a	n/a
275.4471	006.8051	sentence	72	After five long days the disappointed children finally objected to the unpleasant smell of their favourite new dog.	n/a	n/a	n/a
288.5955	006.3006	sentence	89	Using pen and paper the reporter meticulously wrote a personal letter to the lobbyist about the politician.	n/a	n/a	n/a
294.9041	005.0000	question	n/a	Whom did the reporter write to?	004.8148	A	b
303.0439	003.0170	sentence	56	The dog sniffed the strange object near the children.	n/a	n/a	n/a
308.2515	006.4892	sentence	27	One per week the psychologist spoke delicately to her experienced secretary about her most difficult patients.	n/a	n/a	n/a
320.2333	002.9582	sentence	11	The director brought the cameraman to his equipment.	n/a	n/a	n/a
326.7075	005.4907	sentence	16	The director inexplicably brought the cameraman to the useless old equipment in the storeroom.	n/a	n/a	n/a
334.6734	003.1938	sentence	73	The lobbyist wrote to the politician about the reporter.	n/a	n/a	n/a
344.4969	005.3672	sentence	70	The group of children objected to the unpleasant smell of the large black dog from the park.	n/a	n/a	n/a
349.8713	005.0000	question	n/a	Where was the dog from?	002.9597	A	a
360.9282	004.6323	sentence	105	Every day the customer watched over the display for the shopkeeper during lunch.	n/a	n/a	n/a
368.9772	003.3121	sentence	74	The lobbyist wrote to the politician about the journalist.	n/a	n/a	n/a
374.3932	003.2529	sentence	68	The children objected to the unpleasant smell of the cat.	n/a	n/a	n/a
380.2175	004.4502	sentence	7	A team of cameramen brought all the necessary equipment to the busy director.	n/a	n/a	n/a
391.5745	005.8630	sentence	43	A small company purchased the drab concrete apartment block from the family for later redevelopment.	n/a	n/a	n/a
404.1646	004.3897	sentence	6	Every morning the cameraman brought the equipment to the impatient director.	n/a	n/a	n/a
413.0135	004.0880	sentence	71	The uncaring children objected to the smell of the sick dog at the vet.	n/a	n/a	n/a
420.4293	002.7822	sentence	91	The shopkeeper displayed the watch for customers.	n/a	n/a	n/a
425.4954	002.9582	sentence	1	The cameraman brought the equipment to the director.	n/a	n/a	n/a
433.2860	002.5485	sentence	95	The shopkeeper displayed books for customers.	n/a	n/a	n/a
441.7100	003.6687	sentence	29	The secretary often spoke to the patient about the psychologist.	n/a	n/a	n/a
450.5006	002.6652	sentence	94	The shopkeeper marketed the watch to customers.	n/a	n/a	n/a
457.0581	006.8051	sentence	26	Occasionally the psychologist accidently spoke to his secretary about one patient within earshot of other patients.	n/a	n/a	n/a
470.3065	006.3006	sentence	54	For no good reason the family blocked the purchase of an old apartment by the local company for six months.	n/a	n/a	n/a
482.3883	003.1348	sentence	23	A psychologist spoke to her gardener about the patient.	n/a	n/a	n/a
490.1707	004.3897	sentence	15	Every morning the director brought the cameraman to the expensive equipment.	n/a	n/a	n/a
