onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
000.0214	004.4502	sentence	7	A team of cameramen brought all the necessary equipment to the busy director.	n/a	n/a	n/a
008.7374	003.2529	sentence	68	The children objected to the unpleasant smell of the cat.	n/a	n/a	n/a
017.4863	002.9582	sentence	1	The cameraman brought the equipment to the director.	n/a	n/a	n/a
024.9937	006.4892	sentence	27	One per week the psychologist spoke delicately to her experienced secretary about her most difficult patients.	n/a	n/a	n/a
034.2426	003.1348	sentence	101	A customer watched over the display for the shopkeeper.	n/a	n/a	n/a
040.8001	005.3672	sentence	70	The group of children objected to the unpleasant smell of the large black dog from the park.	n/a	n/a	n/a
052.2485	005.8008	sentence	106	The customer patiently watched over the well-organized display for the shopkeeper for hours on end.	n/a	n/a	n/a
060.9060	004.0880	sentence	71	The uncaring children objected to the smell of the sick dog at the vet.	n/a	n/a	n/a
068.6050	003.1348	sentence	77	The lobbyist wrote to the newspaper about the reporter.	n/a	n/a	n/a
071.7462	005.0000	question	n/a	Who warned the politician?	n/a	C	None
083.4698	003.0170	sentence	21	The cleaner spoke to the secretary about the patient.	n/a	n/a	n/a
092.0772	003.3121	sentence	41	The company purchased a valuable painting from the family.	n/a	n/a	n/a
098.6262	007.1227	sentence	63	With its heightened sensory perception the dog smelled an unusual object near the large group of children at the school.	n/a	n/a	n/a
110.8665	003.0170	sentence	55	The dog smelled the strange object near the children.	n/a	n/a	n/a
120.0403	005.4907	sentence	16	The director inexplicably brought the cameraman to the useless old equipment in the storeroom.	n/a	n/a	n/a
128.8724	003.9079	sentence	48	The family blocked the purchase of their vintage car by the company.	n/a	n/a	n/a
139.5963	003.0170	sentence	56	The dog sniffed the strange object near the children.	n/a	n/a	n/a
149.5200	006.8051	sentence	72	After five long days the disappointed children finally objected to the unpleasant smell of their favourite new dog.	n/a	n/a	n/a
160.1270	006.1126	sentence	99	As a marketing technique the shopkeeper prominently placed the watch on a dedicated stand for customers.	n/a	n/a	n/a
171.1673	004.7541	sentence	61	The cute little dog smelled a strange object near the young children in the grass.	n/a	n/a	n/a
181.8077	003.3121	sentence	31	The secretary recommended the patient to the psychologist.	n/a	n/a	n/a
187.2238	006.8051	sentence	26	Occasionally the psychologist accidently spoke to his secretary about one patient within earshot of other patients.	n/a	n/a	n/a
199.2388	003.0759	sentence	103	The customer critiqued the display for the shopkeeper.	n/a	n/a	n/a
206.3962	005.4907	sentence	8	The cameraman begrudgingly brought the awkward equipment up from the basement to the director.	n/a	n/a	n/a
