onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
000.0239	002.9582	sentence	10	The director brought the cameraman to the equipment.	n/a	n/a	n/a
006.9719	003.1938	sentence	2	The cameraman brought the new equipment to the director.	n/a	n/a	n/a
013.6877	003.9079	sentence	102	The surveillance camera watched over the display for the shopkeeper.	n/a	n/a	n/a
021.6785	004.3897	sentence	62	The feral dog smelled a strange rusty object near the children at the beach.	n/a	n/a	n/a
031.7521	003.1348	sentence	66	The father objected to the unpleasant smell of the dog.	n/a	n/a	n/a
040.1013	003.3121	sentence	28	The secretary spoke to the patient about the psychologist.	n/a	n/a	n/a
048.9084	003.0759	sentence	65	The children objected to the dog's disagreeable smell.	n/a	n/a	n/a
057.9572	003.6687	sentence	20	The psychologist often spoke to the secretary about the patient.	n/a	n/a	n/a
061.6317	005.0000	question	n/a	Whom did the psychologist speak to?	003.8401	A	c
071.7472	003.3121	sentence	83	The journalist wrote to the lobbyist about the politician.	n/a	n/a	n/a
079.8962	005.4290	sentence	98	The incompetent shopkeeper foolishly displayed the watch to customers in an obscure location.	n/a	n/a	n/a
085.3322	005.0000	question	n/a	Where was the watch displayed?	003.7799	C	c
092.3363	006.1752	sentence	9	At dawn the industrious cameraman brought the essential equipment to the director in his downtown office.	n/a	n/a	n/a
102.2102	002.7236	sentence	3	A painter brought the equipment to the director.	n/a	n/a	n/a
107.3178	006.8051	sentence	107	The unscrupulous customer greedily watched the display behind the shopkeeper's back during the busiest time of day.	n/a	n/a	n/a
118.4832	002.8407	sentence	14	The director brought the painter to his equipment.	n/a	n/a	n/a
123.7992	003.3121	sentence	37	The company purchased the apartment block from the family.	n/a	n/a	n/a
130.9150	004.6932	sentence	97	During busy periods the shopkeeper prominently displayed the watch for customers.	n/a	n/a	n/a
142.6136	006.8051	sentence	53	After a long court battle the family finally blocked the purchase of the apartment by the unscrupulous corporation.	n/a	n/a	n/a
149.4210	005.0000	question	n/a	What did the corporation want to purchase?	004.7498	D	d
158.0281	003.0170	sentence	57	The cat smelled the strange object near the children.	n/a	n/a	n/a
164.1775	007.0590	sentence	80	The experienced lobbyist wrote a painstakingly detailed email to the politician about the reporter's recent activities.	n/a	n/a	n/a
174.5678	005.3672	sentence	42	In a calculated manoeuvre the company swiftly purchased the apartment block from the family.	n/a	n/a	n/a
186.4748	003.1348	sentence	38	The company bought the apartment block from the family.	n/a	n/a	n/a
191.8073	006.7418	sentence	36	The concerned secretary spoke gently to the anxious patient in a private consultation room about the psychologist.	n/a	n/a	n/a
204.4225	003.0170	sentence	40	The company leased the apartment block to the family.	n/a	n/a	n/a
213.0298	004.0279	sentence	86	The reporter wrote to the nonprofit organisation about the politician.	n/a	n/a	n/a
220.1039	003.3714	sentence	85	The reporter interviewed the lobbyist about the politician.	n/a	n/a	n/a
229.8194	006.1752	sentence	90	Out of concern for the public the reporter wrote to the lobbyist about the politician's recent decisions.	n/a	n/a	n/a
242.8177	004.6323	sentence	24	The psychologist sometimes spoke to her secretary about the problematic patient.	n/a	n/a	n/a
253.8914	006.3006	sentence	88	The reporter regularly wrote to the lobbyist about the powerful politician via an encrypted message system.	n/a	n/a	n/a
263.0486	003.9079	sentence	50	The government blocked the purchase of the apartment by the company.	n/a	n/a	n/a
269.7144	002.7822	sentence	4	The cameraman sold the equipment to the director.	n/a	n/a	n/a
272.4973	005.0000	question	n/a	What did the cameraman do with the equipment?	004.7254	B	b
280.1633	003.2529	sentence	64	The children objected to the unpleasant smell of the dog.	n/a	n/a	n/a
290.3287	006.0501	sentence	81	The lobbyist composed an eloquent message to the politician on behalf of his client about the reporter.	n/a	n/a	n/a
300.8356	005.6765	sentence	87	On her new laptop the reporter wrote a short blog post for the lobbyist regarding the politician.	n/a	n/a	n/a
308.6180	002.2581	sentence	59	The dog smelled smoke near the children.	n/a	n/a	n/a
316.1837	003.2529	sentence	30	The gardener spoke to the patient about her psychologist.	n/a	n/a	n/a
319.4416	005.0000	question	n/a	Who did the gardener speak with?	004.3474	A	a
330.4986	003.3121	sentence	19	The psychologist spoke to the secretary about the patient.	n/a	n/a	n/a
338.8392	003.0759	sentence	76	The lobbyist warned the politician about the reporter.	n/a	n/a	n/a
346.4634	006.3634	sentence	34	The secretary at the desk spoke clearly with the disabled patient about their next psychologist appointment.	n/a	n/a	n/a
359.0784	004.5108	sentence	69	The children rarely objected to the unpleasant smell of their neighbour's dog.	n/a	n/a	n/a
367.4858	006.2379	sentence	79	Over the weekend the lobbyist wrote a comprehensive report to the politician about the disgraced reporter.	n/a	n/a	n/a
377.1429	002.6652	sentence	12	The director brought his cameraman a hot lunch.	n/a	n/a	n/a
382.3755	004.2084	sentence	47	The family blocked the purchase of the apartment building by the company.	n/a	n/a	n/a
393.2077	005.7386	sentence	52	The family from across town blocked the purchase of the modern apartment by the unpopular company.	n/a	n/a	n/a
403.6896	005.6145	sentence	25	The distinguished psychologist spoke in her office to the diligent secretary about her patients.	n/a	n/a	n/a
414.2299	004.1482	sentence	33	The secretary sometimes spoke rudely to patients about the psychologist.	n/a	n/a	n/a
423.7789	004.8151	sentence	60	The dog cautiously sniffed the mysterious object adjacent to the group of children.	n/a	n/a	n/a
430.8780	003.0170	sentence	67	The children noticed the unpleasant smell of the dog.	n/a	n/a	n/a
439.6685	003.0170	sentence	32	The secretary spoke to the patient about the cleaner.	n/a	n/a	n/a
448.8423	002.8994	sentence	5	The cameraman brought a hot lunch for the director.	n/a	n/a	n/a
454.6916	003.1348	sentence	104	The customer watched over the model for the shopkeeper.	n/a	n/a	n/a
462.4740	003.1938	sentence	82	The reporter wrote to the lobbyist about the politician.	n/a	n/a	n/a
469.9397	003.6687	sentence	46	The family blocked the purchase of the apartment by the company.	n/a	n/a	n/a
