onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
000.0250	005.6765	sentence	87	On her new laptop the reporter wrote a short blog post for the lobbyist regarding the politician.	n/a	n/a	n/a
012.7058	004.8151	sentence	60	The dog cautiously sniffed the mysterious object adjacent to the group of children.	n/a	n/a	n/a
023.6795	002.9582	sentence	10	The director brought the cameraman to the equipment.	n/a	n/a	n/a
026.6396	005.0000	question	n/a	What did the director bring?	003.6356	A	b
037.3278	003.2529	sentence	64	The children objected to the unpleasant smell of the dog.	n/a	n/a	n/a
047.0266	006.7418	sentence	36	The concerned secretary spoke gently to the anxious patient in a private consultation room about the psychologist.	n/a	n/a	n/a
056.7172	003.3121	sentence	19	The psychologist spoke to the secretary about the patient.	n/a	n/a	n/a
063.1663	006.1752	sentence	9	At dawn the industrious cameraman brought the essential equipment to the director in his downtown office.	n/a	n/a	n/a
076.2564	003.3121	sentence	37	The company purchased the apartment block from the family.	n/a	n/a	n/a
085.4469	003.6687	sentence	46	The family blocked the purchase of the apartment by the company.	n/a	n/a	n/a
089.1251	005.0000	question	n/a	What was the company trying to buy?	n/a	B	None
099.9034	002.8994	sentence	5	The cameraman brought a hot lunch for the director.	n/a	n/a	n/a
105.3693	002.6652	sentence	12	The director brought his cameraman a hot lunch.	n/a	n/a	n/a
112.1101	003.0170	sentence	40	The company leased the apartment block to the family.	n/a	n/a	n/a
121.3757	003.0759	sentence	76	The lobbyist warned the politician about the reporter.	n/a	n/a	n/a
128.7248	006.8051	sentence	53	After a long court battle the family finally blocked the purchase of the apartment by the unscrupulous corporation.	n/a	n/a	n/a
140.1734	004.3897	sentence	62	The feral dog smelled a strange rusty object near the children at the beach.	n/a	n/a	n/a
147.3225	005.4290	sentence	98	The incompetent shopkeeper foolishly displayed the watch to customers in an obscure location.	n/a	n/a	n/a
156.3630	003.0170	sentence	57	The cat smelled the strange object near the children.	n/a	n/a	n/a
164.6870	005.7386	sentence	52	The family from across town blocked the purchase of the modern apartment by the unpopular company.	n/a	n/a	n/a
173.7526	004.6323	sentence	24	The psychologist sometimes spoke to her secretary about the problematic patient.	n/a	n/a	n/a
184.4430	003.1938	sentence	82	The reporter wrote to the lobbyist about the politician.	n/a	n/a	n/a
189.6423	002.2581	sentence	59	The dog smelled smoke near the children.	n/a	n/a	n/a
194.0917	002.7822	sentence	4	The cameraman sold the equipment to the director.	n/a	n/a	n/a
200.3910	006.2379	sentence	79	Over the weekend the lobbyist wrote a comprehensive report to the politician about the disgraced reporter.	n/a	n/a	n/a
210.5231	004.1482	sentence	33	The secretary sometimes spoke rudely to patients about the psychologist.	n/a	n/a	n/a
219.5969	003.0170	sentence	67	The children noticed the unpleasant smell of the dog.	n/a	n/a	n/a
229.4291	007.0590	sentence	80	The experienced lobbyist wrote a painstakingly detailed email to the politician about the reporter's recent activities.	n/a	n/a	n/a
236.4948	005.0000	question	n/a	What did the lobbyist write about?	n/a	C	None
243.5940	004.0279	sentence	86	The reporter wrote to the nonprofit organisation about the politician.	n/a	n/a	n/a
251.6097	006.0501	sentence	81	The lobbyist composed an eloquent message to the politician on behalf of his client about the reporter.	n/a	n/a	n/a
264.1915	005.6145	sentence	25	The distinguished psychologist spoke in her office to the diligent secretary about her patients.	n/a	n/a	n/a
269.8111	005.0000	question	n/a	Where did the psychologist speak?	003.6154	D	d
278.0481	005.4290	sentence	78	In response to recent events the lobbyist quickly wrote to the politician about the reporter.	n/a	n/a	n/a
289.0718	003.1348	sentence	38	The company bought the apartment block from the family.	n/a	n/a	n/a
297.4208	004.5108	sentence	69	The children rarely objected to the unpleasant smell of their neighbour's dog.	n/a	n/a	n/a
304.9782	003.3121	sentence	83	The journalist wrote to the lobbyist about the politician.	n/a	n/a	n/a
312.0940	003.0759	sentence	65	The children objected to the dog's disagreeable smell.	n/a	n/a	n/a
317.5601	003.1938	sentence	2	The cameraman brought the new equipment to the director.	n/a	n/a	n/a
327.1004	003.9079	sentence	50	The government blocked the purchase of the apartment by the company.	n/a	n/a	n/a
333.2913	003.2529	sentence	30	The gardener spoke to the patient about her psychologist.	n/a	n/a	n/a
340.9069	003.3714	sentence	85	The reporter interviewed the lobbyist about the politician.	n/a	n/a	n/a
350.9059	005.3672	sentence	42	In a calculated manoeuvre the company swiftly purchased the apartment block from the family.	n/a	n/a	n/a
360.4547	002.8407	sentence	14	The director brought the painter to his equipment.	n/a	n/a	n/a
369.2619	006.8051	sentence	107	The unscrupulous customer greedily watched the display behind the shopkeeper's back during the busiest time of day.	n/a	n/a	n/a
380.5271	003.1348	sentence	66	The father objected to the unpleasant smell of the dog.	n/a	n/a	n/a
389.0677	003.0170	sentence	32	The secretary spoke to the patient about the cleaner.	n/a	n/a	n/a
396.8252	002.7236	sentence	3	A painter brought the equipment to the director.	n/a	n/a	n/a
403.2493	006.1752	sentence	90	Out of concern for the public the reporter wrote to the lobbyist about the politician's recent decisions.	n/a	n/a	n/a
414.5396	006.3634	sentence	34	The secretary at the desk spoke clearly with the disabled patient about their next psychologist appointment.	n/a	n/a	n/a
427.6297	003.1348	sentence	104	The customer watched over the model for the shopkeeper.	n/a	n/a	n/a
