onset	duration	stim_type	sentence_id	stimulus_text	response_time	answer_index	question_response
000.0177	003.0170	sentence	21	The cleaner spoke to the secretary about the patient.	n/a	n/a	n/a
006.8407	006.4892	sentence	27	One per week the psychologist spoke delicately to her experienced secretary about her most difficult patients.	n/a	n/a	n/a
020.2390	002.9582	sentence	1	The cameraman brought the equipment to the director.	n/a	n/a	n/a
028.0297	003.3121	sentence	31	The secretary recommended the patient to the psychologist.	n/a	n/a	n/a
037.5952	003.1938	sentence	22	The psychologist warned the secretary about the patient.	n/a	n/a	n/a
046.6691	005.3672	sentence	70	The group of children objected to the unpleasant smell of the large black dog from the park.	n/a	n/a	n/a
054.6098	004.6323	sentence	105	Every day the customer watched over the display for the shopkeeper during lunch.	n/a	n/a	n/a
062.8504	003.2529	sentence	100	The customer watched over the display for the shopkeeper.	n/a	n/a	n/a
068.3914	006.3006	sentence	54	For no good reason the family blocked the purchase of an old apartment by the local company for six months.	n/a	n/a	n/a
080.1900	005.8008	sentence	106	The customer patiently watched over the well-organized display for the shopkeeper for hours on end.	n/a	n/a	n/a
090.9220	005.6765	sentence	35	The exhausted secretary spoke slowly to the patient about their psychologist late in the evening.	n/a	n/a	n/a
102.9457	003.3121	sentence	74	The lobbyist wrote to the politician about the journalist.	n/a	n/a	n/a
113.0775	006.2379	sentence	44	Shortly before the election the company unwittingly purchased a defective apartment block from the family.	n/a	n/a	n/a
125.7595	003.0170	sentence	92	The shopkeeper displayed the watch for his customers.	n/a	n/a	n/a
133.8917	006.1752	sentence	45	The foreign company purchased a decrepit apartment block from the wealthy family for an outrageous price.	n/a	n/a	n/a
145.8487	004.3897	sentence	15	Every morning the director brought the cameraman to the expensive equipment.	n/a	n/a	n/a
153.7560	003.6687	sentence	29	The secretary often spoke to the patient about the psychologist.	n/a	n/a	n/a
161.6051	003.1938	sentence	84	The academic wrote to the lobbyist about the politician.	n/a	n/a	n/a
170.3957	003.1348	sentence	23	A psychologist spoke to her gardener about the patient.	n/a	n/a	n/a
180.2527	003.2529	sentence	68	The children objected to the unpleasant smell of the cat.	n/a	n/a	n/a
186.8353	003.4901	sentence	39	The government purchased the apartment block from the family.	n/a	n/a	n/a
194.8760	004.0880	sentence	71	The uncaring children objected to the smell of the sick dog at the vet.	n/a	n/a	n/a
204.3665	003.1348	sentence	77	The lobbyist wrote to the newspaper about the reporter.	n/a	n/a	n/a
211.3990	003.3121	sentence	41	The company purchased a valuable painting from the family.	n/a	n/a	n/a
217.1899	007.1227	sentence	63	With its heightened sensory perception the dog smelled an unusual object near the large group of children at the school.	n/a	n/a	n/a
228.6717	005.4907	sentence	16	The director inexplicably brought the cameraman to the useless old equipment in the storeroom.	n/a	n/a	n/a
234.1822	005.0000	question	n/a	What type of equipment was in the storeroom?	004.8461	B	b
241.3783	002.5485	sentence	95	The shopkeeper displayed books for customers.	n/a	n/a	n/a
246.0278	002.8407	sentence	93	The salesperson displayed the watch for customers.	n/a	n/a	n/a
251.5354	006.5523	sentence	18	On the weekend the helpful film director brought the inexperienced cameraman to his equipment in the storeroom.	n/a	n/a	n/a
261.5093	002.7822	sentence	91	The shopkeeper displayed the watch for customers.	n/a	n/a	n/a
269.4999	004.4502	sentence	7	A team of cameramen brought all the necessary equipment to the busy director.	n/a	n/a	n/a
280.4819	006.3006	sentence	89	Using pen and paper the reporter meticulously wrote a personal letter to the lobbyist about the politician.	n/a	n/a	n/a
288.7893	002.6652	sentence	94	The shopkeeper marketed the watch to customers.	n/a	n/a	n/a
294.3052	006.8051	sentence	72	After five long days the disappointed children finally objected to the unpleasant smell of their favourite new dog.	n/a	n/a	n/a
301.1127	005.0000	question	n/a	How did the children feel?	002.8430	D	d
311.4198	003.1938	sentence	73	The lobbyist wrote to the politician about the reporter.	n/a	n/a	n/a
314.6200	005.0000	question	n/a	Whom did the lobbyist write about?	004.9649	A	a
322.5769	003.0170	sentence	56	The dog sniffed the strange object near the children.	n/a	n/a	n/a
332.5922	006.1126	sentence	99	As a marketing technique the shopkeeper prominently placed the watch on a dedicated stand for customers.	n/a	n/a	n/a
341.7494	003.1348	sentence	101	A customer watched over the display for the shopkeeper.	n/a	n/a	n/a
348.8735	006.8051	sentence	26	Occasionally the psychologist accidently spoke to his secretary about one patient within earshot of other patients.	n/a	n/a	n/a
360.4221	004.0279	sentence	96	Each day the shopkeeper displayed the watch to customers in his store.	n/a	n/a	n/a
368.5295	003.0170	sentence	55	The dog smelled the strange object near the children.	n/a	n/a	n/a
377.7032	004.7541	sentence	61	The cute little dog smelled a strange object near the young children in the grass.	n/a	n/a	n/a
388.4270	003.9079	sentence	48	The family blocked the purchase of their vintage car by the company.	n/a	n/a	n/a
395.0927	005.8630	sentence	43	A small company purchased the drab concrete apartment block from the family for later redevelopment.	n/a	n/a	n/a
404.0917	005.1211	sentence	51	The stubborn family blocked the purchase of the apartment by the company for six months.	n/a	n/a	n/a
409.2198	005.0000	question	n/a	For how long did the family block the purchase?	002.6451	A	b
418.8649	005.4907	sentence	8	The cameraman begrudgingly brought the awkward equipment up from the basement to the director.	n/a	n/a	n/a
428.0554	005.4290	sentence	17	The renowned director brought the impatient cameraman to the equipment from his last project.	n/a	n/a	n/a
439.5457	004.3897	sentence	6	Every morning the cameraman brought the equipment to the impatient director.	n/a	n/a	n/a
447.1696	002.4903	sentence	13	The director sold the cameraman's equipment.	n/a	n/a	n/a
453.9271	003.0170	sentence	58	The dog noticed the strange object near the children.	n/a	n/a	n/a
461.4012	002.9582	sentence	11	The director brought the cameraman to his equipment.	n/a	n/a	n/a
464.3627	005.0000	question	n/a	Who brought the cameraman?	003.3202	C	c
471.7500	004.0279	sentence	75	The nonprofit organisation wrote to the politician about the reporter.	n/a	n/a	n/a
481.4654	003.7881	sentence	49	The family secured the purchase of their apartment by the company.	n/a	n/a	n/a
490.2810	003.0759	sentence	103	The customer critiqued the display for the shopkeeper.	n/a	n/a	n/a
