onset	duration	trial_type	category	manner	phoneme1	phoneme2	place	tms_intensity	tms_target	trial	voicing
7.154	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	1	no
7.204	0	stimulus	n/a	n/a	i	t	n/a	n/a	control_lip	n/a	n/a
11.137	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	2	yes
11.187	0	stimulus	n/a	n/a	b	o	n/a	n/a	lip	n/a	n/a
15.136	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	3	no
15.186	0	stimulus	n/a	n/a	i	d	n/a	n/a	lip	n/a	n/a
19.136	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	4	no
19.186	0	stimulus	n/a	n/a	e	b	n/a	n/a	lip	n/a	n/a
23.1355	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	5	no
23.1855	0	stimulus	n/a	n/a	a	d	n/a	n/a	lip	n/a	n/a
27.135	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	6	no
27.185	0	stimulus	n/a	n/a	p	a	n/a	n/a	lip	n/a	n/a
31.1495	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	7	no
31.1995	0	stimulus	n/a	n/a	e	t	n/a	n/a	control_lip	n/a	n/a
35.133	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	8	yes
35.183	0	stimulus	n/a	n/a	d	a	n/a	n/a	lip	n/a	n/a
39.133	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	9	yes
39.183	0	stimulus	n/a	n/a	b	i	n/a	n/a	lip	n/a	n/a
43.1325	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	10	yes
43.1825	0	stimulus	n/a	n/a	b	e	n/a	n/a	lip	n/a	n/a
47.1315	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	11	no
47.1815	0	stimulus	n/a	n/a	p	u	n/a	n/a	control_lip	n/a	n/a
51.1315	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	12	no
51.1815	0	stimulus	n/a	n/a	u	t	n/a	n/a	lip	n/a	n/a
55.1305	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	13	yes
55.1805	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
59.1305	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	14	no
59.1805	0	stimulus	n/a	n/a	t	e	n/a	n/a	control_lip	n/a	n/a
63.117	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	15	no
63.167	0	stimulus	n/a	n/a	e	b	n/a	n/a	control_lip	n/a	n/a
67.129	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	16	yes
67.179	0	stimulus	n/a	n/a	b	a	n/a	n/a	control_lip	n/a	n/a
71.128	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	17	no
71.178	0	stimulus	n/a	n/a	p	u	n/a	n/a	lip	n/a	n/a
75.1275	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	18	no
75.1775	0	stimulus	n/a	n/a	i	d	n/a	n/a	control_lip	n/a	n/a
79.127	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	19	no
79.177	0	stimulus	n/a	n/a	t	e	n/a	n/a	lip	n/a	n/a
83.161	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	20	no
83.211	0	stimulus	n/a	n/a	o	b	n/a	n/a	lip	n/a	n/a
87.1265	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	21	no
87.1765	0	stimulus	n/a	n/a	e	d	n/a	n/a	control_lip	n/a	n/a
91.1255	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	22	yes
91.1755	0	stimulus	n/a	n/a	d	i	n/a	n/a	lip	n/a	n/a
95.125	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	lip	23	yes
95.175	0	stimulus	n/a	n/a	b	u	n/a	n/a	lip	n/a	n/a
99.1245	0	TMS	bilabial	stop	n/a	n/a	bilabial	110	control_lip	24	no
99.1745	0	stimulus	n/a	n/a	p	e	n/a	n/a	control_lip	n/a	n/a
103.1405	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	25	no
103.1905	0	stimulus	n/a	n/a	t	i	n/a	n/a	lip	n/a	n/a
111.1405	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	control_lip	26	no
111.1905	0	stimulus	n/a	n/a	u	b	n/a	n/a	control_lip	n/a	n/a
115.173	0	TMS	alveolar	stop	n/a	n/a	alveolar	110	lip	27	no
115.223	0	stimulus	n/a	n/a	i	t	n/a	n/a	lip	n/a	n/a
