onset	duration	trialType	correct	stim_file
2	1.0	3.0	1	stim_3.png
10	1.0	4.0	1	stim_4.png
16	1.0	4.0	1	stim_4.png
22	1.0	4.0	1	stim_4.png
40	1.0	3.0	1	stim_3.png
58	1.0	3.0	1	stim_3.png
74	1.0	4.0	0	stim_4.png
90	1.0	5.0	1	stim_5.png
98	1.0	5.0	1	stim_5.png
106	1.0	2.0	0	stim_2.png
118	1.0	5.0	1	stim_5.png
124	1.0	3.0	1	stim_3.png
130	1.0	3.0	1	stim_3.png
138	1.0	3.0	1	stim_3.png
146	1.0	5.0	1	stim_5.png
158	1.0	4.0	1	stim_4.png
174	1.0	2.0	1	stim_2.png
180	1.0	2.0	1	stim_2.png
188	1.0	2.0	1	stim_2.png
194	1.0	2.0	1	stim_2.png
208	1.0	4.0	1	stim_4.png
214	1.0	2.0	1	stim_2.png
224	1.0	2.0	1	stim_2.png
230	1.0	3.0	1	stim_3.png
238	1.0	2.0	1	stim_2.png
244	1.0	5.0	1	stim_5.png
256	1.0	3.0	1	stim_3.png
270	1.0	4.0	1	stim_4.png
280	1.0	2.0	1	stim_2.png
298	1.0	5.0	1	stim_5.png
306	1.0	2.0	1	stim_2.png
324	1.0	5.0	1	stim_5.png
340	1.0	5.0	1	stim_5.png
346	1.0	5.0	1	stim_5.png
352	1.0	4.0	1	stim_4.png
366	1.0	5.0	1	stim_5.png
376	1.0	2.0	1	stim_2.png
384	1.0	4.0	1	stim_4.png
392	1.0	5.0	1	stim_5.png
398	1.0	3.0	1	stim_3.png
406	1.0	3.0	1	stim_3.png
412	1.0	4.0	1	stim_4.png
418	1.0	4.0	1	stim_4.png
424	1.0	2.0	1	stim_2.png
438	1.0	3.0	1	stim_3.png
444	1.0	3.0	1	stim_3.png
452	1.0	5.0	1	stim_5.png
462	1.0	4.0	0	stim_4.png
