onset	duration	trialType	correct	stim_file
2	1.0	4.0	1	stim_4.png
12	1.0	4.0	1	stim_4.png
18	1.0	4.0	1	stim_4.png
28	1.0	2.0	1	stim_2.png
40	1.0	2.0	1	stim_2.png
50	1.0	3.0	0	stim_3.png
58	1.0	3.0	1	stim_3.png
68	1.0	5.0	1	stim_5.png
76	1.0	2.0	1	stim_2.png
84	1.0	4.0	1	stim_4.png
92	1.0	5.0	1	stim_5.png
106	1.0	3.0	1	stim_3.png
112	1.0	2.0	1	stim_2.png
118	1.0	5.0	1	stim_5.png
124	1.0	5.0	1	stim_5.png
142	1.0	3.0	1	stim_3.png
158	1.0	5.0	1	stim_5.png
166	1.0	3.0	1	stim_3.png
174	1.0	3.0	1	stim_3.png
182	1.0	4.0	0	stim_4.png
188	1.0	5.0	0	stim_5.png
200	1.0	2.0	1	stim_2.png
218	1.0	4.0	1	stim_4.png
232	1.0	3.0	1	stim_3.png
238	1.0	2.0	1	stim_2.png
250	1.0	2.0	1	stim_2.png
256	1.0	4.0	1	stim_4.png
262	1.0	2.0	1	stim_2.png
278	1.0	4.0	1	stim_4.png
286	1.0	3.0	1	stim_3.png
292	1.0	3.0	1	stim_3.png
306	1.0	4.0	0	stim_4.png
324	1.0	5.0	1	stim_5.png
340	1.0	5.0	1	stim_5.png
348	1.0	5.0	1	stim_5.png
354	1.0	2.0	1	stim_2.png
360	1.0	4.0	1	stim_4.png
372	1.0	3.0	1	stim_3.png
378	1.0	5.0	1	stim_5.png
384	1.0	2.0	1	stim_2.png
392	1.0	2.0	1	stim_2.png
398	1.0	4.0	0	stim_4.png
404	1.0	5.0	0	stim_5.png
412	1.0	5.0	1	stim_5.png
430	1.0	3.0	1	stim_3.png
446	1.0	4.0	1	stim_4.png
452	1.0	3.0	1	stim_3.png
460	1.0	2.0	1	stim_2.png
