onset	duration	trialType	correct	stim_file
2	1.0	4.0	1	stim_4.png
8	1.0	4.0	1	stim_4.png
14	1.0	4.0	1	stim_4.png
28	1.0	3.0	0	stim_3.png
34	1.0	4.0	0	stim_4.png
42	1.0	4.0	1	stim_4.png
50	1.0	3.0	1	stim_3.png
66	1.0	4.0	1	stim_4.png
78	1.0	2.0	1	stim_2.png
92	1.0	2.0	1	stim_2.png
98	1.0	3.0	1	stim_3.png
106	1.0	5.0	1	stim_5.png
112	1.0	4.0	1	stim_4.png
120	1.0	5.0	1	stim_5.png
126	1.0	3.0	1	stim_3.png
132	1.0	4.0	1	stim_4.png
140	1.0	5.0	1	stim_5.png
156	1.0	2.0	1	stim_2.png
162	1.0	3.0	1	stim_3.png
168	1.0	4.0	1	stim_4.png
174	1.0	2.0	1	stim_2.png
182	1.0	2.0	1	stim_2.png
194	1.0	4.0	1	stim_4.png
202	1.0	5.0	1	stim_5.png
208	1.0	5.0	1	stim_5.png
214	1.0	5.0	1	stim_5.png
220	1.0	3.0	0	stim_3.png
238	1.0	2.0	1	stim_2.png
252	1.0	5.0	1	stim_5.png
268	1.0	5.0	1	stim_5.png
276	1.0	2.0	1	stim_2.png
286	1.0	2.0	1	stim_2.png
296	1.0	2.0	1	stim_2.png
314	1.0	5.0	0	stim_5.png
332	1.0	5.0	1	stim_5.png
340	1.0	3.0	1	stim_3.png
346	1.0	3.0	1	stim_3.png
352	1.0	5.0	1	stim_5.png
360	1.0	3.0	1	stim_3.png
370	1.0	4.0	1	stim_4.png
376	1.0	2.0	1	stim_2.png
388	1.0	3.0	1	stim_3.png
404	1.0	2.0	0	stim_2.png
418	1.0	3.0	1	stim_3.png
428	1.0	2.0	1	stim_2.png
436	1.0	4.0	1	stim_4.png
444	1.0	5.0	1	stim_5.png
456	1.0	3.0	1	stim_3.png
