onset	duration	trialType	correct	stim_file
2	1.0	4.0	1	stim_4.png
16	1.0	4.0	1	stim_4.png
22	1.0	2.0	1	stim_2.png
34	1.0	3.0	1	stim_3.png
40	1.0	3.0	1	stim_3.png
46	1.0	4.0	1	stim_4.png
52	1.0	5.0	1	stim_5.png
58	1.0	2.0	1	stim_2.png
66	1.0	5.0	1	stim_5.png
80	1.0	2.0	1	stim_2.png
92	1.0	5.0	1	stim_5.png
104	1.0	3.0	1	stim_3.png
110	1.0	2.0	1	stim_2.png
128	1.0	4.0	1	stim_4.png
134	1.0	4.0	1	stim_4.png
140	1.0	2.0	1	stim_2.png
154	1.0	2.0	1	stim_2.png
162	1.0	5.0	1	stim_5.png
170	1.0	5.0	1	stim_5.png
188	1.0	2.0	1	stim_2.png
194	1.0	3.0	1	stim_3.png
208	1.0	5.0	1	stim_5.png
216	1.0	5.0	1	stim_5.png
222	1.0	5.0	1	stim_5.png
240	1.0	3.0	1	stim_3.png
250	1.0	4.0	1	stim_4.png
266	1.0	4.0	1	stim_4.png
274	1.0	5.0	1	stim_5.png
282	1.0	4.0	1	stim_4.png
298	1.0	4.0	1	stim_4.png
306	1.0	3.0	1	stim_3.png
312	1.0	3.0	1	stim_3.png
320	1.0	3.0	1	stim_3.png
336	1.0	3.0	1	stim_3.png
348	1.0	4.0	1	stim_4.png
356	1.0	2.0	1	stim_2.png
364	1.0	2.0	1	stim_2.png
370	1.0	5.0	1	stim_5.png
376	1.0	4.0	1	stim_4.png
384	1.0	5.0	1	stim_5.png
392	1.0	2.0	1	stim_2.png
402	1.0	2.0	1	stim_2.png
418	1.0	3.0	1	stim_3.png
428	1.0	4.0	1	stim_4.png
434	1.0	5.0	1	stim_5.png
440	1.0	3.0	1	stim_3.png
458	1.0	3.0	1	stim_3.png
464	1.0	2.0	1	stim_2.png
