onset	duration	trialType	correct	stim_file
2	1.0	5.0	1	stim_5.png
8	1.0	2.0	1	stim_2.png
14	1.0	4.0	1	stim_4.png
24	1.0	4.0	1	stim_4.png
38	1.0	2.0	1	stim_2.png
46	1.0	4.0	1	stim_4.png
62	1.0	5.0	1	stim_5.png
74	1.0	4.0	1	stim_4.png
80	1.0	3.0	1	stim_3.png
92	1.0	3.0	1	stim_3.png
100	1.0	2.0	1	stim_2.png
118	1.0	2.0	1	stim_2.png
132	1.0	3.0	1	stim_3.png
138	1.0	3.0	1	stim_3.png
144	1.0	2.0	1	stim_2.png
150	1.0	3.0	1	stim_3.png
166	1.0	4.0	1	stim_4.png
174	1.0	4.0	1	stim_4.png
192	1.0	4.0	1	stim_4.png
200	1.0	3.0	1	stim_3.png
206	1.0	3.0	1	stim_3.png
216	1.0	4.0	1	stim_4.png
232	1.0	4.0	1	stim_4.png
242	1.0	3.0	1	stim_3.png
260	1.0	4.0	1	stim_4.png
268	1.0	3.0	1	stim_3.png
274	1.0	5.0	1	stim_5.png
280	1.0	2.0	1	stim_2.png
286	1.0	4.0	1	stim_4.png
300	1.0	2.0	1	stim_2.png
312	1.0	5.0	1	stim_5.png
324	1.0	3.0	1	stim_3.png
332	1.0	2.0	1	stim_2.png
338	1.0	5.0	1	stim_5.png
346	1.0	5.0	1	stim_5.png
352	1.0	3.0	1	stim_3.png
358	1.0	5.0	1	stim_5.png
366	1.0	2.0	1	stim_2.png
382	1.0	3.0	1	stim_3.png
388	1.0	4.0	1	stim_4.png
406	1.0	5.0	1	stim_5.png
420	1.0	5.0	1	stim_5.png
428	1.0	5.0	1	stim_5.png
436	1.0	5.0	1	stim_5.png
442	1.0	5.0	1	stim_5.png
450	1.0	2.0	1	stim_2.png
456	1.0	2.0	1	stim_2.png
464	1.0	2.0	1	stim_2.png
