onset	duration	trial_type	item	key	RT
[0]	2	self	0	3	2.075
[3]	2	self	0	1	2.558
[6]	2	other	0	1	1.923
[9]	2	other	0	2	2.398
[12]	2	other	0	1	1.668
[15]	2	other	0	1	2.358
[18]	2	self	0	1	2.076
[21]	2	other	0	1	1.609
[24]	2	other	0	3	1.977
[27]	2	other	0	3	2.083
[30]	2	other	0	1	1.946
[33]	2	other	0	2	1.93
[36]	2	other	0	2	1.692
[39]	2	other	0	1	3.24
[42]	2	self	0	2	2.313
[45]	2	self	0	2	1.176
[48]	2	self	0	1	1.847
[51]	2	other	0	3	1.958
[54]	2	self	0	3	2.758
[58]	2	self	0	1	1.172
[61]	2	other	0	3	1.708
[64]	2	self	0	2	1.37
[67]	2	self	0	2	2.286
[70]	2	other	0	3	2.303
[73]	2	other	0	1	2.093
[76]	2	self	0	2	1.907
[79]	2	self	0	2	1.893
[82]	2	other	0	2	2.648
[85]	2	self	0	2	2.578
[88]	2	other	0	3	2.186
[91]	2	other	0	3	2.951
[94]	2	self	0	4	2.769
[97]	2	self	0	3	1.782
[100]	2	self	0	3	1.417
[103]	2	self	0	2	2.895
[106]	2	self	0	2	1.744
[109]	2	self	0	2	2.03
[112]	2	self	0	1	2.099
[115]	2	self	0	2	1.645
[118]	2	other	0	3	1.542
