onset	duration	trial_type	item	key	RT
[0]	2	self	0	0	0.0
[3]	2	self	0	2	1.849
[6]	2	self	0	1	1.662
[9]	2	self	0	2	1.962
[12]	2	self	0	3	2.625
[15]	2	self	0	1	2.396
[18]	2	other	0	1	2.328
[21]	2	self	0	3	2.723
[24]	2	self	0	3	1.717
[27]	2	self	0	1	2.51
[30]	2	self	0	2	2.646
[33]	2	self	0	1	2.683
[36]	2	self	0	2	2.727
[39]	2	self	0	4	2.994
[42]	2	other	0	3	2.52
[45]	2	other	0	3	2.104
[48]	2	other	0	2	3.123
[51]	2	self	0	1	2.769
[54]	2	other	0	3	2.368
[57]	2	other	0	1	2.799
[61]	2	self	0	1	2.112
[64]	2	other	0	1	2.564
[67]	2	other	0	1	1.957
[70]	2	self	0	3	2.526
[73]	2	self	0	3	2.593
[76]	2	other	0	1	2.843
[79]	2	other	0	2	2.361
[82]	2	self	0	2	3.436
[85]	2	other	0	1	2.385
[88]	2	self	0	3	2.674
[91]	2	self	0	3	2.352
[94]	2	other	0	1	1.497
[97]	2	other	0	2	1.982
[100]	2	other	0	1	3.249
[103]	2	other	0	1	1.332
[106]	2	other	0	1	3.226
[109]	2	other	0	1	1.265
[112]	2	other	0	2	2.823
[115]	2	other	0	1	2.335
[118]	2	self	0	1	2.157
