onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	1.227
[3]	2	self	0	1	1.335
[6]	2	other	0	3	1.807
[9]	2	other	0	3	0.986
[12]	2	self	0	2	1.757
[15]	2	other	0	3	1.962
[18]	2	other	0	2	2.311
[21]	2	self	0	2	1.884
[24]	2	self	0	1	1.795
[27]	2	self	0	1	1.758
[30]	2	self	0	2	1.499
[33]	2	other	0	3	1.588
[36]	2	other	0	3	1.406
[39]	2	other	0	1	1.024
[42]	2	other	0	2	2.692
[45]	2	other	0	1	1.579
[48]	2	other	0	3	2.532
[51]	2	other	0	3	3.398
[54]	2	self	0	3	2.799
[58]	2	self	0	2	2.308
[61]	2	self	0	1	1.595
[64]	2	self	0	2	1.674
[67]	2	self	0	1	1.938
[70]	2	self	0	1	2.233
[73]	2	self	0	1	2.399
[76]	2	self	0	2	2.009
[79]	2	other	0	3	2.244
[82]	2	other	0	1	2.835
[85]	2	self	0	2	1.545
[88]	2	self	0	3	2.692
[91]	2	other	0	2	2.136
[94]	2	self	0	1	1.539
[97]	2	self	0	3	2.436
[100]	2	other	0	1	1.692
[103]	2	other	0	2	2.512
[106]	2	self	0	2	1.951
[109]	2	self	0	2	2.135
[112]	2	other	0	2	1.485
[115]	2	other	0	1	2.232
[118]	2	other	0	1	2.149
