onset	duration	trial_type	item	key	RT
0.0025603859999137057	14	CompHarmOther	73	3	2.543
14.910223662000135	14	CompHarmOther	73	3	0.725
33.248201131000314	14	SelfHarmOther	15	0	0.0
47.452993443000196	14	CompHarmOther	73	4	0.539
65.80270236000024	14	CompHarmSelf	73	4	0.506
82.17690479400017	14	CompHarmSelf	73	4	0.782
100.49569284000017	14	CompHarmSelf	73	4	0.5
114.88255191300004	14	CompHarmSelf	73	4	0.819
131.23419660800027	14	SelfNeutOther	17	4	1.805
149.4200018710003	14	CompHarmOther	5	1	1.291
165.59061874000008	14	CompHarmOther	29	1	0.999
183.808486937	14	CompHarmSelf	73	4	0.556
202.12864924299993	14	CompHarmOther	27	0	0.0
216.34718241300016	14	CompHarmOther	8	1	0.614
232.55102328700013	14	CompHarmOther	14	1	0.291
248.76692471600018	14	CompHarmOther	19	1	0.872
264.968619192	14	CompHarmSelf	73	4	1.704
279.3415897150003	14	CompHarmOther	21	1	2.461
293.54345573399996	14	CompHarmOther	26	1	0.72
311.7302932350003	14	CompHarmOther	25	1	0.651
329.9158046780003	14	CompHarmSelf	73	4	1.29
344.2679038860001	14	CompHarmOther	31	1	1.741
360.4884040750003	14	CompHarmSelf	73	4	1.365
374.8235536840002	14	CompHarmSelf	73	4	1.116
