onset	duration	trial_type	item	key	RT
[0]	2	self	0	4	3.687
[3]	2	self	0	2	2.188
[6]	2	other	0	3	2.159
[9]	2	other	0	3	2.87
[12]	2	other	0	3	2.757
[15]	2	other	0	3	2.752
[18]	2	self	0	2	1.438
[21]	2	other	0	1	3.519
[24]	2	other	0	1	2.787
[27]	2	other	0	3	1.948
[30]	2	other	0	1	2.154
[33]	2	other	0	3	2.738
[36]	2	other	0	3	2.42
[39]	2	other	0	3	2.967
[42]	2	self	0	3	2.771
[45]	2	self	0	1	1.937
[48]	2	self	0	1	2.122
[51]	2	other	0	3	2.965
[55]	2	self	0	2	1.637
[58]	2	self	0	2	1.963
[61]	2	other	0	4	1.536
[64]	2	self	0	2	1.871
[67]	2	self	0	2	2.391
[70]	2	other	0	3	2.657
[73]	2	other	0	2	3.418
[76]	2	self	0	1	1.574
[79]	2	self	0	1	2.48
[82]	2	other	0	1	2.586
[85]	2	self	0	2	2.101
[88]	2	other	0	3	2.947
[91]	2	other	0	2	1.726
[94]	2	self	0	1	2.263
[97]	2	self	0	2	1.97
[100]	2	self	0	1	2.553
[103]	2	self	0	3	2.438
[106]	2	self	0	2	2.005
[109]	2	self	0	1	1.465
[112]	2	self	0	2	1.953
[115]	2	self	0	1	2.226
[118]	2	other	0	4	2.09
