onset	duration	trial_type	item	key	RT
0.0029242919999887818	14	SelfHarmOther	35	1	1.74
18.446123038999758	14	CompHarmOther	73	4	1.867
33.00216704100012	14	CompHarmOther	73	4	0.985
51.37189418299977	14	CompHarmOther	73	4	0.658
69.70796821900012	14	SelfNeutOther	3	0	0.0
83.9051475870001	14	CompHarmOther	30	1	1.769
100.11347120800019	14	CompHarmSelf	73	1	1.889
118.47822267799984	14	CompHarmSelf	73	4	2.277
132.81738577199985	14	CompHarmOther	11	1	2.989
150.9987081039999	14	CompHarmOther	34	1	1.006
167.20809798699975	14	CompHarmSelf	73	4	1.216
183.56010306899998	14	CompHarmOther	32	1	1.193
199.76240783799994	14	CompHarmOther	33	1	0.942
215.9480107190002	14	CompHarmOther	16	1	0.997
230.166521655	14	CompHarmOther	28	1	0.931
244.35192160299994	14	CompHarmSelf	73	4	2.667
258.71743903800007	14	CompHarmSelf	73	4	1.03
277.0250174580001	14	CompHarmSelf	73	4	1.009
295.39407379700015	14	CompHarmOther	7	1	2.459
311.5815774759999	14	CompHarmOther	22	1	0.583
325.7820126450001	14	CompHarmSelf	73	4	1.736
344.10010220899994	14	CompHarmSelf	73	4	0.73
360.4723243479998	14	CompHarmOther	6	1	0.616
374.63961983399986	14	CompHarmSelf	73	1	1.446
