onset	duration	trial_type	braille_stimulus	targets	response_count
2.012	2.008	CUE_6_DOT	n/a	n/a	n/a
7.012	1.008	FIXCROSS	n/a	n/a	n/a
8.028	5.009	6_DOT_DETECTION	K#OBU	1	n/a
11.299	n/a	RESPONSE	n/a	n/a	1/1
13.062	1.008	FIXCROSS	n/a	n/a	n/a
14.078	5.009	6_DOT_DETECTION	##BYM	2	n/a
17.069	n/a	RESPONSE	n/a	n/a	1/2
19.112	1.008	FIXCROSS	n/a	n/a	n/a
20.129	5.008	6_DOT_DETECTION	#MOI#	2	n/a
24.396	n/a	RESPONSE	n/a	n/a	1/2
25.162	1.008	FIXCROSS	n/a	n/a	n/a
26.179	5.008	6_DOT_DETECTION	PBC#O	1	n/a
29.095	n/a	RESPONSE	n/a	n/a	1/1
31.212	1.008	FIXCROSS	n/a	n/a	n/a
32.229	5.008	6_DOT_DETECTION	#CSDŁ	1	n/a
37.262	1.008	FIXCROSS	n/a	n/a	n/a
38.279	5.008	6_DOT_DETECTION	TMPLP	0	n/a
43.312	1.008	FIXCROSS	n/a	n/a	n/a
44.329	5.008	6_DOT_DETECTION	PIK#S	1	n/a
47.909	n/a	RESPONSE	n/a	n/a	1/1
49.362	1.008	FIXCROSS	n/a	n/a	n/a
50.379	5.008	6_DOT_DETECTION	##PUK	2	n/a
52.197	n/a	RESPONSE	n/a	n/a	1/2
53.582	n/a	RESPONSE	n/a	n/a	2/2
57.42	2.008	CUE_REST	n/a	n/a	n/a
62.42	1.008	FIXCROSS	n/a	n/a	n/a
68.47	1.008	FIXCROSS	n/a	n/a	n/a
75.529	2.008	CUE_6_DOT	n/a	n/a	n/a
80.529	1.008	FIXCROSS	n/a	n/a	n/a
81.546	5.008	6_DOT_DETECTION	#PYL#	2	n/a
85.059	n/a	RESPONSE	n/a	n/a	1/2
85.684	n/a	RESPONSE	n/a	n/a	2/2
86.579	1.008	FIXCROSS	n/a	n/a	n/a
87.596	5.008	6_DOT_DETECTION	#LOB#	2	n/a
91.03	n/a	RESPONSE	n/a	n/a	1/2
92.629	1.008	FIXCROSS	n/a	n/a	n/a
93.646	5.008	6_DOT_DETECTION	KKBDB	0	n/a
98.679	1.008	FIXCROSS	n/a	n/a	n/a
99.696	5.008	6_DOT_DETECTION	#MOC#	2	n/a
101.092	n/a	RESPONSE	n/a	n/a	1/2
103.575	n/a	RESPONSE	n/a	n/a	2/2
104.729	1.008	FIXCROSS	n/a	n/a	n/a
105.746	5.008	6_DOT_DETECTION	OYOEL	0	n/a
108.025	n/a	RESPONSE	n/a	n/a	1/0
110.779	1.008	FIXCROSS	n/a	n/a	n/a
111.795	5.009	6_DOT_DETECTION	UICCI	0	n/a
116.829	1.008	FIXCROSS	n/a	n/a	n/a
117.846	5.008	6_DOT_DETECTION	YYSAT	0	n/a
119.267	n/a	RESPONSE	n/a	n/a	1/0
122.879	1.008	FIXCROSS	n/a	n/a	n/a
123.896	5.008	6_DOT_DETECTION	ŁEB##	2	n/a
127.09	n/a	RESPONSE	n/a	n/a	1/2
130.437	2.008	CUE_REST	n/a	n/a	n/a
136.937	1.008	FIXCROSS	n/a	n/a	n/a
142.986	1.009	FIXCROSS	n/a	n/a	n/a
150.546	2.008	CUE_6_DOT	n/a	n/a	n/a
157.046	1.008	FIXCROSS	n/a	n/a	n/a
158.062	5.008	6_DOT_DETECTION	ILE#A	1	n/a
160.274	n/a	RESPONSE	n/a	n/a	1/1
163.096	1.008	FIXCROSS	n/a	n/a	n/a
164.112	5.008	6_DOT_DETECTION	#ULU#	2	n/a
165.315	n/a	RESPONSE	n/a	n/a	1/2
167.556	n/a	RESPONSE	n/a	n/a	2/2
169.146	1.008	FIXCROSS	n/a	n/a	n/a
170.162	5.008	6_DOT_DETECTION	OŁKKŁ	0	n/a
175.196	1.008	FIXCROSS	n/a	n/a	n/a
176.212	5.008	6_DOT_DETECTION	ŁBY##	2	n/a
178.455	n/a	RESPONSE	n/a	n/a	1/2
179.782	n/a	RESPONSE	n/a	n/a	2/2
181.246	1.008	FIXCROSS	n/a	n/a	n/a
182.262	5.008	6_DOT_DETECTION	UTCKE	0	n/a
187.296	1.008	FIXCROSS	n/a	n/a	n/a
188.312	5.009	6_DOT_DETECTION	T#ŁUK	1	n/a
190.195	n/a	RESPONSE	n/a	n/a	1/1
193.346	1.008	FIXCROSS	n/a	n/a	n/a
194.362	5.009	6_DOT_DETECTION	ALCBC	0	n/a
199.396	1.008	FIXCROSS	n/a	n/a	n/a
200.412	5.008	6_DOT_DETECTION	MOL#I	1	n/a
203.102	n/a	RESPONSE	n/a	n/a	1/1
206.954	2.008	CUE_REST	n/a	n/a	n/a
211.454	1.008	FIXCROSS	n/a	n/a	n/a
217.504	1.008	FIXCROSS	n/a	n/a	n/a
225.562	2.008	CUE_6_DOT	n/a	n/a	n/a
231.562	1.008	FIXCROSS	n/a	n/a	n/a
232.579	5.008	6_DOT_DETECTION	ELKYB	0	n/a
235.396	n/a	RESPONSE	n/a	n/a	1/0
237.612	1.008	FIXCROSS	n/a	n/a	n/a
238.629	5.008	6_DOT_DETECTION	CUI#A	1	n/a
241.44	n/a	RESPONSE	n/a	n/a	1/1
243.662	1.008	FIXCROSS	n/a	n/a	n/a
244.679	5.008	6_DOT_DETECTION	A#KŁA	1	n/a
247.469	n/a	RESPONSE	n/a	n/a	1/1
249.712	1.008	FIXCROSS	n/a	n/a	n/a
250.729	5.008	6_DOT_DETECTION	#DCBK	1	n/a
251.886	n/a	RESPONSE	n/a	n/a	1/1
255.762	1.008	FIXCROSS	n/a	n/a	n/a
256.779	5.009	6_DOT_DETECTION	DAL#S	1	n/a
259.414	n/a	RESPONSE	n/a	n/a	1/1
261.812	1.008	FIXCROSS	n/a	n/a	n/a
262.829	5.008	6_DOT_DETECTION	CLCLK	0	n/a
267.862	1.008	FIXCROSS	n/a	n/a	n/a
268.879	5.008	6_DOT_DETECTION	DDLYC	0	n/a
272.124	n/a	RESPONSE	n/a	n/a	1/0
273.912	1.008	FIXCROSS	n/a	n/a	n/a
274.929	5.009	6_DOT_DETECTION	CLU#L	1	n/a
278.737	n/a	RESPONSE	n/a	n/a	1/1
281.971	2.008	CUE_REST	n/a	n/a	n/a
285.971	1.008	FIXCROSS	n/a	n/a	n/a
292.021	1.008	FIXCROSS	n/a	n/a	n/a
299.579	2.008	CUE_6_DOT	n/a	n/a	n/a
305.079	1.008	FIXCROSS	n/a	n/a	n/a
306.096	5.008	6_DOT_DETECTION	CEP##	2	n/a
308.834	n/a	RESPONSE	n/a	n/a	1/2
311.129	1.008	FIXCROSS	n/a	n/a	n/a
312.146	5.008	6_DOT_DETECTION	BOM##	2	n/a
315.016	n/a	RESPONSE	n/a	n/a	1/2
316.34	n/a	RESPONSE	n/a	n/a	2/2
317.179	1.008	FIXCROSS	n/a	n/a	n/a
318.196	5.008	6_DOT_DETECTION	PIŁ##	2	n/a
320.974	n/a	RESPONSE	n/a	n/a	1/2
323.09	n/a	RESPONSE	n/a	n/a	2/2
323.229	1.008	FIXCROSS	n/a	n/a	n/a
324.245	5.009	6_DOT_DETECTION	Ł#BCO	1	n/a
326.176	n/a	RESPONSE	n/a	n/a	1/1
329.279	1.008	FIXCROSS	n/a	n/a	n/a
330.296	5.008	6_DOT_DETECTION	##DAŁ	2	n/a
331.691	n/a	RESPONSE	n/a	n/a	1/2
333.04	n/a	RESPONSE	n/a	n/a	2/2
335.329	1.008	FIXCROSS	n/a	n/a	n/a
336.345	5.009	6_DOT_DETECTION	A#KAT	1	n/a
337.747	n/a	RESPONSE	n/a	n/a	1/1
341.379	1.008	FIXCROSS	n/a	n/a	n/a
342.396	5.009	6_DOT_DETECTION	##LOT	2	n/a
343.455	n/a	RESPONSE	n/a	n/a	1/2
347.429	1.008	FIXCROSS	n/a	n/a	n/a
348.445	5.009	6_DOT_DETECTION	ITPCY	0	n/a
354.488	2.008	CUE_REST	n/a	n/a	n/a
360.488	1.008	FIXCROSS	n/a	n/a	n/a
366.538	1.008	FIXCROSS	n/a	n/a	n/a
373.596	2.008	CUE_6_DOT	n/a	n/a	n/a
378.596	1.008	FIXCROSS	n/a	n/a	n/a
379.613	5.008	6_DOT_DETECTION	EDDCK	0	n/a
384.646	1.008	FIXCROSS	n/a	n/a	n/a
385.663	5.008	6_DOT_DETECTION	##MUS	2	n/a
386.884	n/a	RESPONSE	n/a	n/a	1/2
388.256	n/a	RESPONSE	n/a	n/a	2/2
390.696	1.008	FIXCROSS	n/a	n/a	n/a
391.713	5.008	6_DOT_DETECTION	AMUPT	0	n/a
396.746	1.008	FIXCROSS	n/a	n/a	n/a
397.762	5.009	6_DOT_DETECTION	LEDLB	0	n/a
402.796	1.008	FIXCROSS	n/a	n/a	n/a
403.813	5.008	6_DOT_DETECTION	UKPBB	0	n/a
408.846	1.008	FIXCROSS	n/a	n/a	n/a
409.863	5.008	6_DOT_DETECTION	DL#KU	1	n/a
412.496	n/a	RESPONSE	n/a	n/a	1/1
414.896	1.008	FIXCROSS	n/a	n/a	n/a
415.913	5.008	6_DOT_DETECTION	PSEIP	0	n/a
420.946	1.008	FIXCROSS	n/a	n/a	n/a
421.963	5.008	6_DOT_DETECTION	E#CEL	1	n/a
423.863	n/a	RESPONSE	n/a	n/a	1/1
428.004	2.008	CUE_REST	n/a	n/a	n/a
435.004	1.008	FIXCROSS	n/a	n/a	n/a
441.054	1.008	FIXCROSS	n/a	n/a	n/a
