onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
15	6	9.5	0.0	0.0	84.0	61.0	clip_1
38	6	59.0	0.0	21.5	100.0	65.0	clip_2
94	5	18.0	57.0	56.5	25.5	25.5	clip_3
160	8	58.5	0.0	35.0	68.0	59.5	clip_4
190	6	37.0	85.5	70.0	21.0	21.0	clip_5
225	7	17.5	86.0	57.5	28.0	28.0	clip_6
265	7	8.5	70.0	35.0	35.0	18.5	clip_7
298	7	54.5	0.0	20.5	85.0	61.0	clip_8
371	7	30.5	0.0	18.5	54.5	54.5	clip_9
420	5	50.0	14.0	30.5	30.5	26.5	clip_10
452	6	20.0	48.0	73.0	43.0	17.5	clip_11
510	6	34.0	5.5	25.5	77.0	67.5	clip_12
536	6	46.5	1.5	69.5	90.0	68.5	clip_13
575	7	60.0	0.0	29.5	100.0	82.5	clip_14
593	7	65.5	1.5	48.5	100.0	76.0	clip_15
633	7	59.0	0.0	25.0	100.0	70.0	clip_16
663	7	57.5	0.0	58.5	71.5	66.5	clip_17
706	7	54.5	36.0	84.5	51.0	51.0	clip_18
