onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
9	4	0.0	51.5	37.5	39.5	1.5	clip_1
37	8	12.0	5.5	20.0	87.0	74.0	clip_2
58	4	5.5	52.0	31.0	55.5	52.0	clip_3
80	4	19.5	48.5	33.0	33.0	17.0	clip_4
104	10	13.5	13.5	28.5	76.0	50.5	clip_5
134	7	38.0	4.0	26.5	47.5	30.0	clip_6
155	5	5.0	51.0	36.0	40.5	13.5	clip_7
188	6	9.0	35.0	43.5	62.0	52.0	clip_8
209	8	9.5	50.0	34.0	34.0	34.0	clip_9
237	8	8.5	8.5	27.0	35.5	35.5	clip_10
279	9	13.0	13.0	25.5	28.5	28.5	clip_11
307	5	18.5	22.5	34.5	46.5	51.5	clip_12
358	6	17.5	17.5	17.5	29.0	53.0	clip_13
374	9	3.5	3.5	24.5	93.5	51.0	clip_14
395	9	5.5	5.5	26.5	80.5	41.5	clip_15
432	8	8.0	8.0	3.0	90.5	52.0	clip_16
488	5	0.0	0.0	85.5	71.5	49.0	clip_17
512	8	7.0	29.5	70.0	60.0	50.5	clip_18
535	5	2.0	2.0	28.5	48.0	48.0	clip_19
576	6	11.5	48.5	36.0	41.0	17.0	clip_20
