onset	duration	trial_type
0.0116288661956787	1.5	t_1
8.360172033309937	1.5	t_2
16.39220404624939	1.5	t_3
27.07411408424377	1.5	t_4
37.97314190864562	1.5	t_5
47.73768401145936	1.5	t_6
57.369966983795166	1.5	t_7
65.23513793945314	1.5	t_8
73.13401699066162	1.5	t_9
80.78287696838379	1.5	t_10
90.51460099220276	1.5	t_11
98.3642098903656	1.5	t_12
106.9123740196228	1.5	t_13
115.92818903923032	1.5	t_14
125.77638506889345	1.5	t_15
134.1090178489685	1.5	t_16
144.42418885231018	1.5	t_17
152.60613298416132	1.5	t_18
163.92143893241882	1.5	t_19
172.27060294151306	1.5	t_20
180.4185509681702	1.5	t_21
188.68488693237305	1.5	t_22
196.4166738986969	1.5	t_23
204.1826469898224	1.5	t_24
212.91714000701904	1.5	t_25
221.6655280590057	1.5	t_26
229.3810398578644	1.5	t_27
238.43013286590576	1.5	t_28
247.14505505561823	1.5	t_29
256.49341893196106	1.5	t_30
264.559229850769	1.5	t_31
272.8918118476868	1.5	t_32
282.3733370304108	1.5	t_33
292.22235894203186	1.5	t_34
300.3377799987793	1.5	t_35
307.9867029190063	1.5	t_36
316.50252890586853	1.5	t_37
325.40083289146423	1.5	t_38
333.1168348789215	1.5	t_39
341.4490990638733	1.5	t_40
349.9976389408112	1.5	t_41
359.4963788986206	1.5	t_42
369.3452539443969	1.5	t_43
377.62745594978327	1.5	t_44
387.6256549358368	1.5	t_45
396.8576889038085	1.5	t_46
407.0060920715332	1.5	t_47
415.921758890152	1.5	t_48
427.05290699005127	1.5	t_49
434.8357729911804	1.5	t_50
444.7016360759735	1.5	t_51
452.7498478889465	1.5	t_52
460.4322700500488	1.5	t_53
469.6309669017792	1.5	t_54
479.9132449626922	1.5	t_55
488.0780289173126	1.5	t_56
498.9104208946228	1.5	t_57
506.975713968277	1.5	t_58
514.6921310424806	1.5	t_59
525.5063838958739	1.5	t_60
