onset	duration	Task
0	10	baseline
10	5	Instruc Standard
15	15	baseline
30	2.5	Cue _ trial 1
32.5	10	Delay
42.5	2.5	Go and Move
45	15	ITI
60	2.5	Cue _ trial 2
62.5	10	Delay
72.5	2.5	Go and Move
75	15	ITI
90	2.5	Cue _ trial 3
92.5	10	Delay
102.5	2.5	Go and Move
105	15	ITI
120	2.5	Cue _ trial 4
122.5	10	Delay
132.5	2.5	Go and Move
135	15	ITI
150	2.5	Cue _ trial 5
152.5	10	Delay
162.5	2.5	Go and Move
165	15	ITI
180	2.5	Cue _ trial 6
182.5	10	Delay
192.5	2.5	Go and Move
195	15	ITI
210	2.5	Cue _ trial 7
212.5	10	Delay
222.5	2.5	Go and Move
225	15	ITI
240	2.5	Cue _ trial 8
242.5	10	Delay
252.5	2.5	Go and Move
255	15	ITI
270	2.5	Cue _ trial 9
272.5	10	Delay
282.5	2.5	Go and Move
285	15	ITI
300	2.5	Cue _ trial 10
302.5	10	Delay
312.5	2.5	Go and Move
315	15	ITI
330	5	Instruc Dissoc
335	15	baseline
350	2.5	Cue _ trial 1
352.5	10	Delay
362.5	2.5	Go and Move
365	15	ITI
380	2.5	Cue _ trial 2
382.5	10	Delay
392.5	2.5	Go and Move
395	15	ITI
410	2.5	Cue _ trial 3
412.5	10	Delay
422.5	2.5	Go and Move
425	15	ITI
440	2.5	Cue _ trial 4
442.5	10	Delay
452.5	2.5	Go and Move
455	15	ITI
470	2.5	Cue _ trial 5
472.5	10	Delay
482.5	2.5	Go and Move
485	15	ITI
500	2.5	Cue _ trial 6
502.5	10	Delay
512.5	2.5	Go and Move
515	15	ITI
530	2.5	Cue _ trial 7
532.5	10	Delay
542.5	2.5	Go and Move
545	15	ITI
560	2.5	Cue _ trial 8
562.5	10	Delay
572.5	2.5	Go and Move
575	15	ITI
590	2.5	Cue _ trial 9
592.5	10	Delay
602.5	2.5	Go and Move
605	15	ITI
620	2.5	Cue _ trial 10
622.5	10	Delay
632.5	2.5	Go and Move
635	15	ITI
