onset	duration	event_type	recipient	selfpay	recipientpay	button
0.00	0	Fixation	Irish	15	9	R
3.01	2.66	Recipient	Irish	15	9	R
5.66	0	Payoff	Irish	15	9	R
12.67	0	Choice	Irish	15	9	R
15.68	0	Fixation	Arab	5	20	R
26.69	2.66	Recipient	Arab	5	20	R
29.35	0	Payoff	Arab	5	20	R
34.26	0	Choice	Arab	5	20	R
37.27	0	Fixation	Homeless	9	15	L
41.28	2.66	Recipient	Homeless	9	15	L
43.93	0	Payoff	Homeless	9	15	L
49.54	0	Choice	Homeless	9	15	L
52.55	0	Fixation	Accountant	5	5	L
56.56	2.65	Recipient	Accountant	5	5	L
59.21	0	Payoff	Accountant	5	5	L
64.34	0	Choice	Accountant	5	5	L
67.35	0	Fixation	Irish	6	14	R
70.36	2.66	Recipient	Irish	6	14	R
73.01	0	Payoff	Irish	6	14	R
79.56	0	Choice	Irish	6	14	R
82.57	0	Fixation	PrisonInmate	15	15	R
85.58	2.66	Recipient	PrisonInmate	15	15	R
88.23	0	Payoff	PrisonInmate	15	15	R
93.32	0	Choice	PrisonInmate	15	15	R
96.33	0	Fixation	Welfarerecipient	15	15	R
99.33	2.66	Recipient	Welfarerecipient	15	15	R
101.99	0	Payoff	Welfarerecipient	15	15	R
107.85	0	Choice	Welfarerecipient	15	15	R
110.86	0	Fixation	Arab	5	5	R
114.86	2.65	Recipient	Arab	5	5	R
117.51	0	Payoff	Arab	5	5	R
122.04	0	Choice	Arab	5	5	R
125.05	0	Fixation	Homeless	6	14	L
128.05	2.66	Recipient	Homeless	6	14	L
130.71	0	Payoff	Homeless	6	14	L
135.92	0	Choice	Homeless	6	14	L
138.93	0	Fixation	Mentaldisability	15	15	R
146.94	2.66	Recipient	Mentaldisability	15	15	R
149.59	0	Payoff	Mentaldisability	15	15	R
155.39	0	Choice	Mentaldisability	15	15	R
158.40	0	Fixation	Jewish	9	15	R
162.41	2.65	Recipient	Jewish	9	15	R
165.06	0	Payoff	Jewish	9	15	R
170.20	0	Choice	Jewish	9	15	R
173.21	0	Fixation	Irish	15	15	R
176.21	2.65	Recipient	Irish	15	15	R
178.87	0	Payoff	Irish	15	15	R
183.35	0	Choice	Irish	15	15	R
186.36	0	Fixation	Spanish	15	9	R
189.37	2.65	Recipient	Spanish	15	9	R
192.02	0	Payoff	Spanish	15	9	R
197.22	0	Choice	Spanish	15	9	R
200.23	0	Fixation	Lawyer	5	20	L
203.24	2.65	Recipient	Lawyer	5	20	L
205.89	0	Payoff	Lawyer	5	20	L
210.75	0	Choice	Lawyer	5	20	L
213.76	0	Fixation	Surgeon	15	9	L
215.77	2.65	Recipient	Surgeon	15	9	L
218.42	0	Payoff	Surgeon	15	9	L
223.34	0	Choice	Surgeon	15	9	L
226.35	0	Fixation	Drugaddiction	20	5	R
228.35	2.66	Recipient	Drugaddiction	20	5	R
231.00	0	Payoff	Drugaddiction	20	5	R
235.84	0	Choice	Drugaddiction	20	5	R
238.85	0	Fixation	Greek	15	9	R
241.85	2.65	Recipient	Greek	15	9	R
244.50	0	Payoff	Greek	15	9	R
249.52	0	Choice	Greek	15	9	R
252.53	0	Fixation	Welfarerecipient	15	9	L
258.54	2.66	Recipient	Welfarerecipient	15	9	L
261.19	0	Payoff	Welfarerecipient	15	9	L
265.76	0	Choice	Welfarerecipient	15	9	L
268.77	0	Fixation	British	6	14	L
271.77	2.65	Recipient	British	6	14	L
274.43	0	Payoff	British	6	14	L
279.22	0	Choice	British	6	14	L
282.23	0	Fixation	Jewish	20	5	R
284.23	2.65	Recipient	Jewish	20	5	R
286.88	0	Payoff	Jewish	20	5	R
292.00	0	Choice	Jewish	20	5	R
295.01	0	Fixation	Spanish	14	6	R
298.01	2.66	Recipient	Spanish	14	6	R
300.67	0	Payoff	Spanish	14	6	R
305.70	0	Choice	Spanish	14	6	R
308.71	0	Fixation	Olympicathlete	6	14	L
311.72	2.65	Recipient	Olympicathlete	6	14	L
314.37	0	Payoff	Olympicathlete	6	14	L
319.58	0	Choice	Olympicathlete	6	14	L
322.59	0	Fixation	Accountant	14	6	R
325.59	2.66	Recipient	Accountant	14	6	R
328.25	0	Payoff	Accountant	14	6	R
333.66	0	Choice	Accountant	14	6	R
336.67	0	Fixation	Spanish	6	14	R
345.67	2.65	Recipient	Spanish	6	14	R
348.33	0	Payoff	Spanish	6	14	R
353.70	0	Choice	Spanish	6	14	R
356.71	0	Fixation	Homeless	15	15	L
358.72	2.65	Recipient	Homeless	15	15	L
361.37	0	Payoff	Homeless	15	15	L
369.23	0	Choice	Homeless	15	15	L
372.23	0	Fixation	PrisonInmate	5	5	L
375.24	2.66	Recipient	PrisonInmate	5	5	L
377.89	0	Payoff	PrisonInmate	5	5	L
383.26	0	Choice	PrisonInmate	5	5	L
386.27	0	Fixation	Elderly	20	5	R
392.27	2.66	Recipient	Elderly	20	5	R
394.93	0	Payoff	Elderly	20	5	R
400.17	0	Choice	Elderly	20	5	R
403.18	0	Fixation	British	9	15	R
405.18	2.65	Recipient	British	9	15	R
407.84	0	Payoff	British	9	15	R
412.50	0	Choice	British	9	15	R
415.50	0	Fixation	Lawyer	6	14	L
418.51	2.66	Recipient	Lawyer	6	14	L
421.16	0	Payoff	Lawyer	6	14	L
426.40	0	Choice	Lawyer	6	14	L
429.41	0	Fixation	Greek	6	14	R
439.41	2.65	Recipient	Greek	6	14	R
442.07	0	Payoff	Greek	6	14	R
447.27	0	Choice	Greek	6	14	R
450.28	0	Fixation	Arab	6	14	R
457.29	2.65	Recipient	Arab	6	14	R
459.94	0	Payoff	Arab	6	14	R
464.95	0	Choice	Arab	6	14	R
467.96	0	Fixation	Jewish	5	20	R
470.96	2.66	Recipient	Jewish	5	20	R
473.62	0	Payoff	Jewish	5	20	R
478.90	0	Choice	Jewish	5	20	R
481.91	0	Fixation	Farmer	20	5	R
484.91	2.66	Recipient	Farmer	20	5	R
487.57	0	Payoff	Farmer	20	5	R
492.29	0	Choice	Farmer	20	5	R
495.30	0	Fixation	British	14	6	R
498.30	2.65	Recipient	British	14	6	R
500.96	0	Payoff	British	14	6	R
506.32	0	Choice	British	14	6	R
509.33	0	Fixation	Accountant	15	9	R
513.33	2.65	Recipient	Accountant	15	9	R
515.98	0	Payoff	Accountant	15	9	R
521.28	0	Choice	Accountant	15	9	R
524.29	0	Fixation	Spanish	20	5	R
530.29	2.65	Recipient	Spanish	20	5	R
532.95	0	Payoff	Spanish	20	5	R
537.99	0	Choice	Spanish	20	5	R
541.00	0	Fixation	Lawyer	5	5	L
543.00	2.65	Recipient	Lawyer	5	5	L
545.66	0	Payoff	Lawyer	5	5	L
551.18	0	Choice	Lawyer	5	5	L
554.19	0	Fixation	Arab	20	5	R
557.19	2.65	Recipient	Arab	20	5	R
559.85	0	Payoff	Arab	20	5	R
564.97	0	Choice	Arab	20	5	R
567.98	0	Fixation	Nurse	5	20	L
569.99	2.65	Recipient	Nurse	5	20	L
572.64	0	Payoff	Nurse	5	20	L
577.72	0	Choice	Nurse	5	20	L
580.73	0	Fixation	Farmer	5	5	R
591.73	2.65	Recipient	Farmer	5	5	R
594.39	0	Payoff	Farmer	5	5	R
599.46	0	Choice	Farmer	5	5	R
602.47	0	Fixation	Stay-at-homeparent	5	5	L
606.47	2.66	Recipient	Stay-at-homeparent	5	5	L
609.13	0	Payoff	Stay-at-homeparent	5	5	L
614.29	0	Choice	Stay-at-homeparent	5	5	L
617.30	0	Fixation	Elderly	15	9	R
620.31	2.65	Recipient	Elderly	15	9	R
622.96	0	Payoff	Elderly	15	9	R
628.36	0	Choice	Elderly	15	9	R
631.37	0	Fixation	Lawyer	9	15	L
634.37	2.65	Recipient	Lawyer	9	15	L
637.02	0	Payoff	Lawyer	9	15	L
642.08	0	Choice	Lawyer	9	15	L
645.08	0	Fixation	Nurse	15	9	R
649.09	2.65	Recipient	Nurse	15	9	R
