onset	duration	trial_type	event_value	event_sample	response_time	response_time2	stimamp	stimon	sdt	confidence
24.595703125	0	stim-adapt	100	25186	3.7071	6.2169	1.5	1.5628	h	0.98
29.873046875	0	hit	101	30590	3.7071	6.2169	1.5	1.5628	h	0.98
30.3818359375	0	conf	200	31111	3.7071	6.2169	1.5	1.5628	h	0.98
36.59765625	0	conf-resp	201	37476	3.7071	6.2169	1.5	1.5628	h	0.98
37.7412109375	0	stim-adapt	100	38647	4.3794	7.1532	1.47	0.57595	i	0.9
44.6669921875	0	hit	101	45739	4.3794	7.1532	1.47	0.57595	i	0.9
45.1787109375	0	conf	200	46263	4.3794	7.1532	1.47	0.57595	i	0.9
52.33203125	0	conf-resp	201	53588	4.3794	7.1532	1.47	0.57595	i	0.9
54.2919921875	0	stim-adapt	100	55595	0.78344	3.5741	1.44	1.3851	t	0.89
56.8232421875	0	hit	101	58187	0.78344	3.5741	1.44	1.3851	t	0.89
57.3388671875	0	conf	200	58715	0.78344	3.5741	1.44	1.3851	t	0.89
60.9150390625	0	conf-resp	201	62377	0.78344	3.5741	1.44	1.3851	t	0.89
62.6044921875	0	stim-adapt	100	64107	0.74457	5.0617	1.41	1.1133	h	0.97
65.361328125	0	hit	101	66930	0.74457	5.0617	1.41	1.1133	h	0.97
65.869140625	0	conf	200	67450	0.74457	5.0617	1.41	1.1133	h	0.97
70.9306640625	0	conf-resp	201	72633	0.74457	5.0617	1.41	1.1133	h	0.97
72.2900390625	0	stim-adapt	100	74025	5.4739	6.2741	1.38	0.79304	i	1
80.091796875	0	cr	104	82014	5.4739	6.2741	1.38	0.79304	i	1
80.6064453125	0	conf	200	82541	5.4739	6.2741	1.38	0.79304	i	1
86.880859375	0	conf-resp	201	88966	5.4739	6.2741	1.38	0.79304	i	1
87.572265625	0	stim-adapt	100	89674	4.2304	7.0256	1.38	0.12318	t	0.94
94.8134765625	0	miss	102	97089	4.2304	7.0256	1.38	0.12318	t	0.94
95.3212890625	0	conf	200	97609	4.2304	7.0256	1.38	0.12318	t	0.94
102.34765625	0	conf-resp	201	104804	4.2304	7.0256	1.38	0.12318	t	0.94
104.4765625	0	stim-adapt	100	106984	1.6497	3.7886	1.41	1.5604	h	0.85
107.6982421875	0	hit	101	110283	1.6497	3.7886	1.41	1.5604	h	0.85
108.208984375	0	conf	200	110806	1.6497	3.7886	1.41	1.5604	h	0.85
111.998046875	0	conf-resp	201	114686	1.6497	3.7886	1.41	1.5604	h	0.85
113.2412109375	0	stim-adapt	100	115959	3.3898	3.9397	1.38	0.67517	i	0.83
119.0888671875	0	miss	102	121947	3.3898	3.9397	1.38	0.67517	i	0.83
119.6064453125	0	conf	200	122477	3.3898	3.9397	1.38	0.67517	i	0.83
123.5478515625	0	conf-resp	201	126513	3.3898	3.9397	1.38	0.67517	i	0.83
125.33203125	0	stim-adapt	100	128340	2.6555	5.0655	1.41	1.2157	t	0.7
129.9033203125	0	miss	102	133021	2.6555	5.0655	1.41	1.2157	t	0.7
130.4150390625	0	conf	200	133545	2.6555	5.0655	1.41	1.2157	t	0.7
135.4794921875	0	conf-resp	201	138731	2.6555	5.0655	1.41	1.2157	t	0.7
137.5302734375	0	stim-adapt	100	140831	1.7022	5.7525	1.44	1.4825	h	0.81
140.8857421875	0	cr	104	144267	1.7022	5.7525	1.44	1.4825	h	0.81
141.3935546875	0	conf	200	144787	1.7022	5.7525	1.44	1.4825	h	0.81
147.1474609375	0	conf-resp	201	150679	1.7022	5.7525	1.44	1.4825	h	0.81
147.923828125	0	stim-adapt	100	151474	3.2605	3.6788	1.44	0.20963	i	0.6
154.109375	0	miss	102	157808	3.2605	3.6788	1.44	0.20963	i	0.6
154.6181640625	0	conf	200	158329	3.2605	3.6788	1.44	0.20963	i	0.6
158.296875	0	conf-resp	201	162096	3.2605	3.6788	1.44	0.20963	i	0.6
159.1181640625	0	stim-adapt	100	162937	2.2142	5.2265	1.47	0.25578	t	0.74
164.2119140625	0	miss	102	168153	2.2142	5.2265	1.47	0.25578	t	0.74
164.7197265625	0	conf	200	168673	2.2142	5.2265	1.47	0.25578	t	0.74
169.9462890625	0	conf-resp	201	174025	2.2142	5.2265	1.47	0.25578	t	0.74
171.611328125	0	stim-adapt	100	175730	2.273	3.7322	1.5	1.0991	c	0.79
175.904296875	0	miss	102	180126	2.273	3.7322	1.5	1.0991	c	0.79
176.4140625	0	conf	200	180648	2.273	3.7322	1.5	1.0991	c	0.79
180.146484375	0	conf-resp	201	184470	2.273	3.7322	1.5	1.0991	c	0.79
181.6826171875	0	stim-adapt	100	186043	2.2188	4.2357	1.53	0.97046	r	0.67
186.06640625	0	fa	103	190532	2.2188	4.2357	1.53	0.97046	r	0.67
186.5771484375	0	conf	200	191055	2.2188	4.2357	1.53	0.97046	r	0.67
190.8134765625	0	conf-resp	201	195393	2.2188	4.2357	1.53	0.97046	r	0.67
193.1650390625	0	stim-adapt	100	197801	1.4775	3.3604	1.53	1.781	e	0.85
195.9775390625	0	miss	102	200681	1.4775	3.3604	1.53	1.781	e	0.85
196.4853515625	0	conf	200	201201	1.4775	3.3604	1.53	1.781	e	0.85
199.845703125	0	conf-resp	201	204642	1.4775	3.3604	1.53	1.781	e	0.85
202.0107421875	0	stim-adapt	100	206859	2.8882	4.7675	1.56	1.5979	j	0.65
206.4169921875	0	miss	102	211371	2.8882	4.7675	1.56	1.5979	j	0.65
206.9287109375	0	conf	200	211895	2.8882	4.7675	1.56	1.5979	j	0.65
211.6962890625	0	conf-resp	201	216777	2.8882	4.7675	1.56	1.5979	j	0.65
213.7333984375	0	stim-adapt	100	218863	0.45428	4.4355	1.59	1.4687	m	0.73
215.8349609375	0	hit	101	221015	0.45428	4.4355	1.59	1.4687	m	0.73
216.34375	0	conf	200	221536	0.45428	4.4355	1.59	1.4687	m	0.73
220.779296875	0	conf-resp	201	226078	0.45428	4.4355	1.59	1.4687	m	0.73
221.44921875	0	stim-adapt	100	226764	1.4168	4.2562	1.56	0.10266	i	0.73
225.8974609375	0	miss	102	231319	1.4168	4.2562	1.56	0.10266	i	0.73
226.40625	0	conf	200	231840	1.4168	4.2562	1.56	0.10266	i	0.73
230.662109375	0	conf-resp	201	236198	1.4168	4.2562	1.56	0.10266	i	0.73
231.376953125	0	stim-adapt	100	236930	2.3682	5.0456	1.59	0.14577	s	0.61
236.7314453125	0	miss	102	242413	2.3682	5.0456	1.59	0.14577	s	0.61
237.2490234375	0	conf	200	242943	2.3682	5.0456	1.59	0.14577	s	0.61
242.2958984375	0	conf-resp	201	248111	2.3682	5.0456	1.59	0.14577	s	0.61
243.0400390625	0	stim-adapt	100	248873	3.3723	2.9168	1.62	0.17705	s	0.5
249.3701171875	0	miss	102	255355	3.3723	2.9168	1.62	0.17705	s	0.5
249.87890625	0	conf	200	255876	3.3723	2.9168	1.62	0.17705	s	0.5
252.7958984375	0	conf-resp	201	258863	3.3723	2.9168	1.62	0.17705	s	0.5
254.9609375	0	stim-adapt	100	261080	1.4059	3.7164	1.65	1.5967	h	0.8
257.91015625	0	hit	101	264100	1.4059	3.7164	1.65	1.5967	h	0.8
258.427734375	0	conf	200	264630	1.4059	3.7164	1.65	1.5967	h	0.8
262.14453125	0	conf-resp	201	268436	1.4059	3.7164	1.65	1.5967	h	0.8
264.6044921875	0	stim-adapt	100	270955	1.2445	3.4109	1.62	1.886	i	1
267.0888671875	0	hit	101	273499	1.2445	3.4109	1.62	1.886	i	1
