onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
39.584	n/a	19792	surroundSuppB2_start	97	n/a	n/a	n/a
41.138	n/a	20569	fixpoint_ON	4	n/a	n/a	n/a
41.652	2.4	20826	stim_ON	8	1	1	3
44.56	n/a	22280	fixpoint_ON	4	n/a	n/a	n/a
45.07	2.4	22535	stim_ON	8	1	0.6	1
47.98	n/a	23990	fixpoint_ON	4	n/a	n/a	n/a
48.49	2.4	24245	stim_ON	8	1	0.3	2
51.4	n/a	25700	fixpoint_ON	4	n/a	n/a	n/a
51.91	2.4	25955	stim_ON	8	1	0	3
54.822	n/a	27411	fixpoint_ON	4	n/a	n/a	n/a
55.33	2.4	27665	stim_ON	8	1	0	2
58.24	n/a	29120	fixpoint_ON	4	n/a	n/a	n/a
58.752	2.4	29376	stim_ON	8	1	0.3	1
61.66	n/a	30830	fixpoint_ON	4	n/a	n/a	n/a
62.17	2.4	31085	stim_ON	8	1	0.6	3
65.08	n/a	32540	fixpoint_ON	4	n/a	n/a	n/a
65.59	2.4	32795	stim_ON	8	1	1	2
68.5	n/a	34250	fixpoint_ON	4	n/a	n/a	n/a
69.01	2.4	34505	stim_ON	8	1	1	3
71.92	n/a	35960	fixpoint_ON	4	n/a	n/a	n/a
72.432	2.4	36216	stim_ON	8	1	0.6	1
75.342	n/a	37671	fixpoint_ON	4	n/a	n/a	n/a
75.852	2.4	37926	stim_ON	8	1	0.3	2
78.762	n/a	39381	fixpoint_ON	4	n/a	n/a	n/a
79.272	2.4	39636	stim_ON	8	1	0	3
82.182	n/a	41091	fixpoint_ON	4	n/a	n/a	n/a
82.692	2.4	41346	stim_ON	8	0	1	1
85.602	n/a	42801	fixpoint_ON	4	n/a	n/a	n/a
86.112	2.4	43056	stim_ON	8	0	0.6	2
89.022	n/a	44511	fixpoint_ON	4	n/a	n/a	n/a
89.532	2.4	44766	stim_ON	8	0	0.3	3
92.442	n/a	46221	fixpoint_ON	4	n/a	n/a	n/a
92.952	2.4	46476	stim_ON	8	0	0	1
95.862	n/a	47931	fixpoint_ON	4	n/a	n/a	n/a
96.372	2.4	48186	stim_ON	8	1	1	3
99.282	n/a	49641	fixpoint_ON	4	n/a	n/a	n/a
99.792	2.4	49896	stim_ON	8	1	0.6	2
102.702	n/a	51351	fixpoint_ON	4	n/a	n/a	n/a
103.212	2.4	51606	stim_ON	8	1	0.3	1
106.122	n/a	53061	fixpoint_ON	4	n/a	n/a	n/a
106.632	2.4	53316	stim_ON	8	1	0	3
109.542	n/a	54771	fixpoint_ON	4	n/a	n/a	n/a
110.052	2.4	55026	stim_ON	8	1	0	3
112.962	n/a	56481	fixpoint_ON	4	n/a	n/a	n/a
113.472	2.4	56736	stim_ON	8	1	0.3	1
116.382	n/a	58191	fixpoint_ON	4	n/a	n/a	n/a
116.892	2.4	58446	stim_ON	8	1	0.6	2
119.802	n/a	59901	fixpoint_ON	4	n/a	n/a	n/a
120.314	2.4	60157	stim_ON	8	1	1	3
123.222	n/a	61611	fixpoint_ON	4	n/a	n/a	n/a
123.734	2.4	61867	stim_ON	8	1	0	1
126.642	n/a	63321	fixpoint_ON	4	n/a	n/a	n/a
127.154	2.4	63577	stim_ON	8	0	0	2
130.066	n/a	65033	fixpoint_ON	4	n/a	n/a	n/a
130.574	2.4	65287	stim_ON	8	1	0.3	3
133.484	n/a	66742	fixpoint_ON	4	n/a	n/a	n/a
133.994	2.4	66997	stim_ON	8	0	0.3	1
136.904	n/a	68452	fixpoint_ON	4	n/a	n/a	n/a
137.414	2.4	68707	stim_ON	8	1	0.6	2
140.324	n/a	70162	fixpoint_ON	4	n/a	n/a	n/a
140.834	2.4	70417	stim_ON	8	0	0.6	3
143.744	n/a	71872	fixpoint_ON	4	n/a	n/a	n/a
144.254	2.4	72127	stim_ON	8	1	1	1
147.164	n/a	73582	fixpoint_ON	4	n/a	n/a	n/a
147.674	2.4	73837	stim_ON	8	0	1	2
150.584	n/a	75292	fixpoint_ON	4	n/a	n/a	n/a
151.094	2.4	75547	stim_ON	8	1	0	3
154.004	n/a	77002	fixpoint_ON	4	n/a	n/a	n/a
154.514	2.4	77257	stim_ON	8	1	0.3	1
157.424	n/a	78712	fixpoint_ON	4	n/a	n/a	n/a
157.934	2.4	78967	stim_ON	8	1	0.6	2
160.844	n/a	80422	fixpoint_ON	4	n/a	n/a	n/a
161.354	2.4	80677	stim_ON	8	1	1	3
164.264	n/a	82132	fixpoint_ON	4	n/a	n/a	n/a
164.774	2.4	82387	stim_ON	8	1	1	2
167.684	n/a	83842	fixpoint_ON	4	n/a	n/a	n/a
168.196	2.4	84098	stim_ON	8	1	0.6	1
171.104	n/a	85552	fixpoint_ON	4	n/a	n/a	n/a
171.614	2.4	85807	stim_ON	8	1	0.3	3
174.524	n/a	87262	fixpoint_ON	4	n/a	n/a	n/a
175.036	2.4	87518	stim_ON	8	1	0	2
177.944	n/a	88972	fixpoint_ON	4	n/a	n/a	n/a
178.454	2.4	89227	stim_ON	8	0	1	1
181.364	n/a	90682	fixpoint_ON	4	n/a	n/a	n/a
181.876	2.4	90938	stim_ON	8	0	0.6	2
184.784	n/a	92392	fixpoint_ON	4	n/a	n/a	n/a
185.296	2.4	92648	stim_ON	8	0	0.3	3
188.206	n/a	94103	fixpoint_ON	4	n/a	n/a	n/a
188.716	2.4	94358	stim_ON	8	0	0	1
191.626	n/a	95813	fixpoint_ON	4	n/a	n/a	n/a
192.136	2.4	96068	stim_ON	8	1	1	2
195.046	n/a	97523	fixpoint_ON	4	n/a	n/a	n/a
195.556	2.4	97778	stim_ON	8	1	0.6	3
198.466	n/a	99233	fixpoint_ON	4	n/a	n/a	n/a
198.976	2.4	99488	stim_ON	8	1	0.3	1
201.886	n/a	100943	fixpoint_ON	4	n/a	n/a	n/a
202.396	2.4	101198	stim_ON	8	1	0	2
205.306	n/a	102653	fixpoint_ON	4	n/a	n/a	n/a
205.816	2.4	102908	stim_ON	8	1	0	1
208.726	n/a	104363	fixpoint_ON	4	n/a	n/a	n/a
209.236	2.4	104618	stim_ON	8	1	0.3	3
212.146	n/a	106073	fixpoint_ON	4	n/a	n/a	n/a
212.656	2.4	106328	stim_ON	8	1	0.6	2
215.566	n/a	107783	fixpoint_ON	4	n/a	n/a	n/a
216.076	2.4	108038	stim_ON	8	1	1	1
218.986	n/a	109493	fixpoint_ON	4	n/a	n/a	n/a
219.496	2.4	109748	stim_ON	8	1	1	2
222.406	n/a	111203	fixpoint_ON	4	n/a	n/a	n/a
222.916	2.4	111458	stim_ON	8	1	0.6	3
225.826	n/a	112913	fixpoint_ON	4	n/a	n/a	n/a
226.336	2.4	113168	stim_ON	8	1	0.3	1
229.246	n/a	114623	fixpoint_ON	4	n/a	n/a	n/a
229.756	2.4	114878	stim_ON	8	1	0	2
232.666	n/a	116333	fixpoint_ON	4	n/a	n/a	n/a
233.176	2.4	116588	stim_ON	8	0	1	1
236.086	n/a	118043	fixpoint_ON	4	n/a	n/a	n/a
236.598	2.4	118299	stim_ON	8	1	1	2
239.506	n/a	119753	fixpoint_ON	4	n/a	n/a	n/a
240.016	2.4	120008	stim_ON	8	0	0.6	3
242.928	n/a	121464	fixpoint_ON	4	n/a	n/a	n/a
243.438	2.4	121719	stim_ON	8	1	0.6	1
246.348	n/a	123174	fixpoint_ON	4	n/a	n/a	n/a
246.858	2.4	123429	stim_ON	8	0	0.3	2
249.768	n/a	124884	fixpoint_ON	4	n/a	n/a	n/a
250.278	2.4	125139	stim_ON	8	1	0.3	3
253.188	n/a	126594	fixpoint_ON	4	n/a	n/a	n/a
253.698	2.4	126849	stim_ON	8	0	0	1
256.608	n/a	128304	fixpoint_ON	4	n/a	n/a	n/a
257.118	2.4	128559	stim_ON	8	1	0	2
263.14	n/a	131570	break cnt	break cnt	n/a	n/a	n/a
288.774	n/a	144387	9999	9999	n/a	n/a	n/a
