onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
16	5	7.0	0.0	0.0	0.0	70.5	clip_1
45	6	0.0	86.0	21.5	17.0	17.0	clip_2
80	6	77.0	0.0	0.0	100.0	92.5	clip_3
110	7	2.5	92.5	24.0	24.0	65.0	clip_4
140	6	16.5	16.5	15.5	75.5	75.5	clip_5
173	7	88.0	0.0	5.5	100.0	95.5	clip_6
193	6	93.0	0.0	1.5	100.0	100.0	clip_7
225	5	61.5	0.0	62.0	100.0	100.0	clip_8
243	5	14.0	58.5	34.0	36.5	51.0	clip_9
250	8	24.0	73.5	67.5	64.5	64.5	clip_10
270	4	13.5	86.5	14.0	9.5	9.5	clip_11
310	6	39.5	47.0	53.5	79.5	79.5	clip_12
328	10	65.0	0.0	0.0	42.0	78.0	clip_13
360	6	32.0	3.0	10.5	76.0	76.0	clip_14
397	7	23.5	81.0	30.0	20.0	20.0	clip_15
440	5	25.5	0.5	0.5	100.0	100.0	clip_16
452	8	72.0	2.0	2.0	100.0	100.0	clip_17
478	6	23.0	6.5	6.5	58.5	58.5	clip_18
