onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
8	4	0.0	53.5	44.0	21.0	9.5	clip_1
51	8	10.0	19.0	29.0	29.0	29.0	clip_2
80	6	8.5	58.5	59.0	40.5	29.5	clip_3
108	6	6.5	64.5	43.5	43.5	43.5	clip_4
156	3	22.0	44.0	29.0	29.0	16.0	clip_5
209	5	12.5	55.5	50.5	35.0	18.0	clip_6
228	7	23.5	10.0	2.0	66.0	56.0	clip_7
252	6	25.5	1.5	1.5	60.5	56.0	clip_8
288	6	14.5	30.0	30.0	58.5	58.5	clip_9
330	6	19.0	8.0	66.5	75.5	64.0	clip_10
355	8	17.5	3.5	3.5	83.5	70.5	clip_11
390	6	39.0	9.5	9.5	74.0	59.0	clip_12
440	8	20.5	22.5	22.5	52.5	36.5	clip_13
468	9	34.0	2.0	7.0	70.0	65.0	clip_14
501	6	25.0	57.5	39.0	39.0	33.0	clip_15
