onset	duration	stimulus
19.1	4.0	tless
30.05	0.0	rinse
36.1	11.0	0cal
53.118	0.0	rinse
66.2	5.0	tless
78.24	0.0	rinse
86.3	6.0	75cal
99.306	0.0	rinse
110.4	4.0	37.5cal
121.426	0.0	rinse
132.5	6.0	150cal
145.545	0.0	rinse
157.7	5.0	112.5cal
169.665	0.0	rinse
182.8	5.0	tless
194.783	0.0	rinse
199.9	11.0	75cal
216.859	0.0	rinse
228.0	4.0	112.5cal
238.971	0.0	rinse
251.1	6.0	37.5cal
264.081	0.0	rinse
279.2	4.0	37.5cal
290.192	0.0	rinse
307.3	11.0	tless
324.3	0.0	rinse
328.4	8.0	150cal
343.364	0.0	rinse
354.5	11.0	0cal
371.475	0.0	rinse
384.6	4.0	0cal
395.587	0.0	rinse
408.7	6.0	75cal
421.689	0.0	rinse
433.8	4.0	37.5cal
444.792	0.0	rinse
461.9	4.0	150cal
472.916	0.0	rinse
485.0	6.0	112.5cal
498.036	0.0	rinse
509.2	11.0	112.5cal
526.166	0.0	rinse
537.3	4.0	0cal
548.294	0.0	rinse
563.4	8.0	tless
578.406	0.0	rinse
586.5	8.0	150cal
601.475	0.0	rinse
612.6	4.0	0cal
623.576	0.0	rinse
635.7	5.0	150cal
647.712	0.0	rinse
664.8	5.0	tless
676.828	0.0	rinse
680.9	6.0	112.5cal
693.893	0.0	rinse
709.0	11.0	112.5cal
726.028	0.0	rinse
737.1	5.0	75cal
749.146	0.0	rinse
766.3	8.0	37.5cal
781.267	0.0	rinse
796.4	4.0	37.5cal
807.378	0.0	rinse
824.5	8.0	75cal
839.48	0.0	rinse
852.6	4.0	150cal
863.6	0.0	rinse
874.7	8.0	75cal
889.727	0.0	rinse
900.8	4.0	0cal
911.84	0.0	rinse
