onset	duration	trial_type	response_time	correct
11.15	1.5	STM3	1095	1
20.283	1.5	STM3	1650	1
28.433	1.5	STM3	1380	1
35.583	1.5	STM3	1254	1
43.233	1.5	STM3	1660	1
50.383	1.5	STM3	1366	1
67.55	1.5	CON3	1031	1
74.7	1.5	CON3	553	1
82.85	1.5	CON3	1595	1
90.5	1.5	CON3	0	0
98.65	1.5	CON3	563	1
106.3	1.5	CON3	657	1
124.533	1.5	STM5	1320	0
134.25	1.5	STM5	1411	0
143.466	1.5	STM5	699	0
153.683	1.5	STM5	1130	0
162.9	1.5	STM5	1169	1
172.616	1.5	STM5	613	0
191.85	1.5	CON5	99	1
201.566	1.5	CON5	695	1
211.783	1.5	CON5	1694	1
221.0	1.5	CON5	1093	1
230.717	1.5	CON5	648	1
239.933	1.5	CON5	0	0
