onset	duration	trial_type	response_time	correct
11.15	1.5	STM3	1440	1
18.8	1.5	STM3	1398	1
26.95	1.5	STM3	1296	1
34.1	1.5	STM3	1434	1
42.25	1.5	STM3	1724	1
49.9	1.5	STM3	1818	1
66.067	1.5	CON3	755	1
73.717	1.5	CON3	977	1
81.867	1.5	CON3	1059	1
89.017	1.5	CON3	869	1
97.167	1.5	CON3	1255	1
104.317	1.5	CON3	1105	1
123.05	1.5	STM5	1332	1
132.267	1.5	STM5	1499	1
142.484	1.5	STM5	1898	1
152.2	1.5	STM5	966	1
161.417	1.5	STM5	1477	1
171.634	1.5	STM5	1012	1
190.367	1.5	CON5	919	1
199.584	1.5	CON5	2110	1
209.3	1.5	CON5	978	1
219.517	1.5	CON5	993	1
228.734	1.5	CON5	440	1
238.95	1.5	CON5	0	0
