onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.995	instruction	0	0	 0.000
 1.995	 1.995	filler	0	0	 0.000
 3.990	 0.532	fixation_cross	0	0	 0.000
 4.522	 0.798	pres	1	0	 2147483.647
 5.320	 1.530	resp	0	0	 0.000
 6.850	 0.531	jitter	0	0	 0.000
 7.381	 0.533	fixation_cross	0	0	 0.000
 7.914	 0.798	pres	1	0	 2147483.647
 8.712	 1.528	resp	0	0	 0.000
 10.240	 1.065	jitter	0	0	 0.000
 11.305	 0.531	fixation_cross	0	0	 0.000
 11.836	 0.799	pres	1	0	 2147483.647
 12.635	 1.530	resp	0	0	 0.000
 14.165	 0.532	jitter	0	0	 0.000
 14.697	 0.531	fixation_cross	0	0	 0.000
 15.228	 0.799	pres	1	0	 2147483.647
 16.027	 1.529	resp	0	0	 0.000
 17.556	 0.931	jitter	0	0	 0.000
 18.487	 0.532	fixation_cross	0	0	 0.000
 19.019	 0.798	pres	1	0	 2147483.647
 19.817	 1.529	resp	0	0	 0.000
 21.346	 0.666	jitter	0	0	 0.000
 22.012	 0.533	fixation_cross	0	0	 0.000
 22.545	 0.796	pres	1	0	 2147483.647
 23.341	 1.531	resp	0	0	 0.000
 24.872	 0.731	jitter	0	0	 0.000
 25.603	 0.532	fixation_cross	0	0	 0.000
 26.135	 0.797	pres	1	0	 2147483.647
 26.932	 1.530	resp	0	0	 0.000
 28.462	 0.864	jitter	0	0	 0.000
 29.326	 0.533	fixation_cross	0	0	 0.000
 29.859	 0.797	pres	1	0	 2147483.647
 30.656	 1.529	resp	0	0	 0.000
 32.185	 0.666	jitter	0	0	 0.000
 32.851	 0.532	fixation_cross	0	0	 0.000
 33.383	 0.798	pres	1	0	 2147483.647
 34.181	 1.529	resp	0	0	 0.000
 35.710	 0.931	jitter	0	0	 0.000
 36.641	 0.533	fixation_cross	0	0	 0.000
 37.174	 0.797	pres	1	0	 2147483.647
 37.971	 1.530	resp	0	0	 0.000
 39.501	 0.865	jitter	0	0	 0.000
 40.366	 0.531	fixation_cross	0	0	 0.000
 40.897	 0.798	pres	1	0	 2147483.647
 41.695	 1.530	resp	0	0	 0.000
 43.225	 1.064	jitter	0	0	 0.000
 44.289	 0.531	fixation_cross	0	0	 0.000
 44.820	 0.799	pres	1	0	 2147483.647
 45.619	 1.529	resp	0	0	 0.000
 47.148	 0.865	jitter	0	0	 0.000
 48.013	 0.532	fixation_cross	0	0	 0.000
 48.545	 0.798	pres	1	0	 2147483.647
 49.343	 1.529	resp	0	0	 0.000
 50.872	 0.732	jitter	0	0	 0.000
 51.604	 0.532	fixation_cross	0	0	 0.000
 52.136	 0.797	pres	1	0	 2147483.647
 52.933	 1.530	resp	0	0	 0.000
 54.463	 0.532	jitter	0	0	 0.000
 54.995	 0.532	fixation_cross	0	0	 0.000
 55.527	 0.798	pres	1	0	 2147483.647
 56.325	 1.529	resp	0	0	 0.000
 57.854	 0.733	jitter	0	0	 0.000
 58.587	 0.531	fixation_cross	0	0	 0.000
 59.118	 0.798	pres	1	0	 2147483.647
 59.916	 1.530	resp	0	0	 0.000
 61.446	 1.064	jitter	0	0	 0.000
 62.510	 0.531	fixation_cross	0	0	 0.000
 63.041	 0.799	pres	1	0	 2147483.647
 63.840	 1.529	resp	0	0	 0.000
 65.369	 0.932	jitter	0	0	 0.000
 66.301	 0.532	fixation_cross	0	0	 0.000
 66.833	 0.798	pres	1	0	 2147483.647
 67.631	 1.529	resp	0	0	 0.000
 69.160	 0.665	jitter	0	0	 0.000
 69.825	 9.974	jitter	0	0	 0.000
 79.799	 1.996	instruction	0	0	 0.000
 81.795	 1.995	filler	0	0	 0.000
 83.790	 0.531	fixation_cross	0	0	 0.000
 84.321	 0.798	pres	1	0	 2147483.647
 85.119	 1.531	resp	0	0	 0.000
 86.650	 0.864	jitter	0	0	 0.000
 87.514	 0.531	fixation_cross	0	0	 0.000
 88.045	 0.799	pres	1	0	 2147483.647
 88.844	 1.529	resp	0	0	 0.000
 90.373	 0.864	jitter	0	0	 0.000
 91.237	 0.532	fixation_cross	0	0	 0.000
 91.769	 0.799	pres	1	0	 2147483.647
 92.568	 1.529	resp	0	0	 0.000
 94.097	 0.931	jitter	0	0	 0.000
 95.028	 0.532	fixation_cross	0	0	 0.000
 95.560	 0.798	pres	1	0	 2147483.647
 96.358	 1.529	resp	0	0	 0.000
 97.887	 0.666	jitter	0	0	 0.000
 98.553	 0.531	fixation_cross	0	0	 0.000
