onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.995	instruction	0	0	 0.000
 1.995	 1.995	filler	0	0	 0.000
 3.990	 0.532	fixation_cross	0	0	 0.000
 4.522	 0.797	pres	1	0	 2147483.647
 5.319	 1.531	resp	0	0	 0.000
 6.850	 0.731	jitter	0	0	 0.000
 7.581	 0.532	fixation_cross	0	0	 0.000
 8.113	 0.797	pres	1	0	 2147483.647
 8.910	 1.531	resp	0	0	 0.000
 10.441	 0.731	jitter	0	0	 0.000
 11.172	 0.532	fixation_cross	0	0	 0.000
 11.704	 0.798	pres	1	0	 2147483.647
 12.502	 1.529	resp	0	0	 0.000
 14.031	 0.865	jitter	0	0	 0.000
 14.896	 0.532	fixation_cross	0	0	 0.000
 15.428	 0.797	pres	1	0	 2147483.647
 16.225	 1.530	resp	0	0	 0.000
 17.755	 0.665	jitter	0	0	 0.000
 18.420	 0.532	fixation_cross	0	0	 0.000
 18.952	 0.798	pres	1	0	 2147483.647
 19.750	 1.530	resp	0	0	 0.000
 21.280	 0.931	jitter	0	0	 0.000
 22.211	 0.531	fixation_cross	0	0	 0.000
 22.742	 0.799	pres	1	0	 2147483.647
 23.541	 1.529	resp	0	0	 0.000
 25.070	 0.931	jitter	0	0	 0.000
 26.001	 0.533	fixation_cross	0	0	 0.000
 26.534	 0.797	pres	1	0	 2147483.647
 27.331	 1.529	resp	0	0	 0.000
 28.860	 0.732	jitter	0	0	 0.000
 29.592	 0.532	fixation_cross	0	0	 0.000
 30.124	 0.798	pres	1	0	 2147483.647
 30.922	 1.530	resp	0	0	 0.000
 32.452	 0.665	jitter	0	0	 0.000
 33.117	 0.531	fixation_cross	0	0	 0.000
 33.648	 0.799	pres	1	0	 2147483.647
 34.447	 1.529	resp	0	0	 0.000
 35.976	 0.865	jitter	0	0	 0.000
 36.841	 0.532	fixation_cross	0	0	 0.000
 37.373	 0.798	pres	1	0	 2147483.647
 38.171	 1.529	resp	0	0	 0.000
 39.700	 0.864	jitter	0	0	 0.000
 40.564	 0.532	fixation_cross	0	0	 0.000
 41.096	 0.799	pres	1	0	 2147483.647
 41.895	 1.529	resp	0	0	 0.000
 43.424	 0.532	jitter	0	0	 0.000
 43.956	 0.532	fixation_cross	0	0	 0.000
 44.488	 0.798	pres	1	0	 2147483.647
 45.286	 1.530	resp	0	0	 0.000
 46.816	 1.064	jitter	0	0	 0.000
 47.880	 0.531	fixation_cross	0	0	 0.000
 48.411	 0.799	pres	1	0	 2147483.647
 49.210	 1.530	resp	0	0	 0.000
 50.740	 1.063	jitter	0	0	 0.000
 51.803	 0.532	fixation_cross	0	0	 0.000
 52.335	 0.798	pres	1	0	 2147483.647
 53.133	 1.530	resp	0	0	 0.000
 54.663	 0.532	jitter	0	0	 0.000
 55.195	 0.531	fixation_cross	0	0	 0.000
 55.726	 0.799	pres	1	0	 2147483.647
 56.525	 1.529	resp	0	0	 0.000
 58.054	 0.931	jitter	0	0	 0.000
 58.985	 0.532	fixation_cross	0	0	 0.000
 59.517	 0.798	pres	1	0	 2147483.647
 60.315	 1.529	resp	0	0	 0.000
 61.844	 0.533	jitter	0	0	 0.000
 62.377	 0.532	fixation_cross	0	0	 0.000
 62.909	 0.798	pres	1	0	 2147483.647
 63.707	 1.529	resp	0	0	 0.000
 65.236	 1.065	jitter	0	0	 0.000
 66.301	 0.531	fixation_cross	0	0	 0.000
 66.832	 0.798	pres	1	0	 2147483.647
 67.630	 1.529	resp	0	0	 0.000
 69.159	 0.665	jitter	0	0	 0.000
