onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.995	instruction	0	0	 0.000
 1.995	 1.994	filler	0	0	 0.000
 3.989	 0.532	fixation_cross	0	0	 0.000
 4.521	 0.798	pres	1	0	 2147483.647
 5.319	 1.529	resp	0	0	 0.000
 6.848	 0.932	jitter	0	0	 0.000
 7.780	 0.532	fixation_cross	0	0	 0.000
 8.312	 0.798	pres	1	0	 2147483.647
 9.110	 1.529	resp	0	0	 0.000
 10.639	 0.665	jitter	0	0	 0.000
 11.304	 0.533	fixation_cross	0	0	 0.000
 11.837	 0.797	pres	1	0	 2147483.647
 12.634	 1.530	resp	0	0	 0.000
 14.164	 0.864	jitter	0	0	 0.000
 15.028	 0.532	fixation_cross	0	0	 0.000
 15.560	 0.798	pres	1	0	 2147483.647
 16.358	 1.530	resp	0	0	 0.000
 17.888	 0.931	jitter	0	0	 0.000
 18.819	 0.532	fixation_cross	0	0	 0.000
 19.351	 0.798	pres	1	0	 2147483.647
 20.149	 1.529	resp	0	0	 0.000
 21.678	 0.731	jitter	0	0	 0.000
 22.409	 0.533	fixation_cross	0	0	 0.000
 22.942	 0.797	pres	1	0	 2147483.647
 23.739	 1.530	resp	0	0	 0.000
 25.269	 0.533	jitter	0	0	 0.000
 25.802	 0.531	fixation_cross	0	0	 0.000
 26.333	 0.799	pres	1	0	 2147483.647
 27.132	 1.529	resp	0	0	 0.000
 28.661	 0.665	jitter	0	0	 0.000
 29.326	 0.532	fixation_cross	0	0	 0.000
 29.858	 0.798	pres	1	0	 2147483.647
 30.656	 1.530	resp	0	0	 0.000
 32.186	 1.063	jitter	0	0	 0.000
 33.249	 0.532	fixation_cross	0	0	 0.000
 33.781	 0.798	pres	1	0	 2147483.647
 34.579	 1.530	resp	0	0	 0.000
 36.109	 0.532	jitter	0	0	 0.000
 36.641	 0.532	fixation_cross	0	0	 0.000
 37.173	 0.798	pres	1	0	 2147483.647
 37.971	 1.529	resp	0	0	 0.000
 39.500	 1.065	jitter	0	0	 0.000
 40.565	 0.531	fixation_cross	0	0	 0.000
 41.096	 0.799	pres	1	0	 2147483.647
 41.895	 1.529	resp	0	0	 0.000
 43.424	 0.931	jitter	0	0	 0.000
 44.355	 0.532	fixation_cross	0	0	 0.000
 44.887	 0.798	pres	1	0	 2147483.647
 45.685	 1.529	resp	0	0	 0.000
 47.214	 0.865	jitter	0	0	 0.000
 48.079	 0.532	fixation_cross	0	0	 0.000
 48.611	 0.798	pres	1	0	 2147483.647
 49.409	 1.530	resp	0	0	 0.000
 50.939	 0.864	jitter	0	0	 0.000
 51.803	 0.532	fixation_cross	0	0	 0.000
 52.335	 0.798	pres	1	0	 2147483.647
 53.133	 1.530	resp	0	0	 0.000
 54.663	 1.063	jitter	0	0	 0.000
 55.726	 0.533	fixation_cross	0	0	 0.000
 56.259	 0.797	pres	1	0	 2147483.647
 57.056	 1.530	resp	0	0	 0.000
 58.586	 0.532	jitter	0	0	 0.000
 59.118	 0.532	fixation_cross	0	0	 0.000
 59.650	 0.797	pres	1	0	 2147483.647
 60.447	 1.530	resp	0	0	 0.000
 61.977	 0.732	jitter	0	0	 0.000
 62.709	 0.532	fixation_cross	0	0	 0.000
 63.241	 0.798	pres	1	0	 2147483.647
 64.039	 1.529	resp	0	0	 0.000
 65.568	 0.665	jitter	0	0	 0.000
 66.233	 0.532	fixation_cross	0	0	 0.000
 66.765	 0.798	pres	1	0	 2147483.647
 67.563	 1.529	resp	0	0	 0.000
 69.092	 0.731	jitter	0	0	 0.000
