onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.995	instruction	0	0	 0.000
 1.995	 1.995	filler	0	0	 0.000
 3.990	 0.532	fixation_cross	0	0	 0.000
 4.522	 0.799	pres	1	0	 2147483.647
 5.321	 1.529	resp	0	0	 0.000
 6.850	 0.931	jitter	0	0	 0.000
 7.781	 0.532	fixation_cross	0	0	 0.000
 8.313	 0.798	pres	1	0	 2147483.647
 9.111	 1.529	resp	0	0	 0.000
 10.640	 0.865	jitter	0	0	 0.000
 11.505	 0.532	fixation_cross	0	0	 0.000
 12.037	 0.798	pres	1	0	 2147483.647
 12.835	 1.529	resp	0	0	 0.000
 14.364	 0.732	jitter	0	0	 0.000
 15.096	 0.532	fixation_cross	0	0	 0.000
 15.628	 0.798	pres	1	0	 2147483.647
 16.426	 1.530	resp	0	0	 0.000
 17.956	 0.531	jitter	0	0	 0.000
 18.487	 0.533	fixation_cross	0	0	 0.000
 19.020	 0.797	pres	1	0	 2147483.647
 19.817	 1.530	resp	0	0	 0.000
 21.347	 0.665	jitter	0	0	 0.000
 22.012	 0.532	fixation_cross	0	0	 0.000
 22.544	 0.798	pres	1	0	 2147483.647
 23.342	 1.529	resp	0	0	 0.000
 24.871	 0.666	jitter	0	0	 0.000
 25.537	 0.532	fixation_cross	0	0	 0.000
 26.069	 0.797	pres	1	0	 2147483.647
 26.866	 1.530	resp	0	0	 0.000
 28.396	 0.532	jitter	0	0	 0.000
 28.928	 0.532	fixation_cross	0	0	 0.000
 29.460	 0.797	pres	1	0	 2147483.647
 30.257	 1.530	resp	0	0	 0.000
 31.787	 0.932	jitter	0	0	 0.000
 32.719	 0.531	fixation_cross	0	0	 0.000
 33.250	 0.798	pres	1	0	 2147483.647
 34.048	 1.530	resp	0	0	 0.000
 35.578	 1.064	jitter	0	0	 0.000
 36.642	 0.532	fixation_cross	0	0	 0.000
 37.174	 0.798	pres	1	0	 2147483.647
 37.972	 1.529	resp	0	0	 0.000
 39.501	 0.865	jitter	0	0	 0.000
 40.366	 0.532	fixation_cross	0	0	 0.000
 40.898	 0.797	pres	1	0	 2147483.647
 41.695	 1.530	resp	0	0	 0.000
 43.225	 0.864	jitter	0	0	 0.000
 44.089	 0.533	fixation_cross	0	0	 0.000
 44.622	 0.798	pres	1	0	 2147483.647
 45.420	 1.529	resp	0	0	 0.000
 46.949	 0.732	jitter	0	0	 0.000
 47.681	 0.532	fixation_cross	0	0	 0.000
 48.213	 0.798	pres	1	0	 2147483.647
 49.011	 1.530	resp	0	0	 0.000
 50.541	 1.063	jitter	0	0	 0.000
 51.604	 0.532	fixation_cross	0	0	 0.000
 52.136	 0.798	pres	1	0	 2147483.647
 52.934	 1.529	resp	0	0	 0.000
 54.463	 0.732	jitter	0	0	 0.000
 55.195	 0.533	fixation_cross	0	0	 0.000
 55.728	 0.797	pres	1	0	 2147483.647
 56.525	 1.530	resp	0	0	 0.000
 58.055	 0.930	jitter	0	0	 0.000
 58.985	 0.533	fixation_cross	0	0	 0.000
 59.518	 0.798	pres	1	0	 2147483.647
 60.316	 1.530	resp	0	0	 0.000
 61.846	 0.531	jitter	0	0	 0.000
 62.377	 0.533	fixation_cross	0	0	 0.000
 62.910	 0.798	pres	1	0	 2147483.647
 63.708	 1.529	resp	0	0	 0.000
 65.237	 0.665	jitter	0	0	 0.000
 65.902	 0.532	fixation_cross	0	0	 0.000
 66.434	 0.797	pres	1	0	 2147483.647
 67.231	 1.530	resp	0	0	 0.000
 68.761	 1.065	jitter	0	0	 0.000
 69.826	 9.974	jitter	0	0	 0.000
 79.800	 1.995	instruction	0	0	 0.000
 81.795	 1.995	filler	0	0	 0.000
 83.790	 0.532	fixation_cross	0	0	 0.000
 84.322	 0.799	pres	1	0	 2147483.647
 85.121	 1.529	resp	0	0	 0.000
 86.650	 0.931	jitter	0	0	 0.000
 87.581	 0.532	fixation_cross	0	0	 0.000
 88.113	 0.798	pres	1	0	 2147483.647
 88.911	 1.529	resp	0	0	 0.000
 90.440	 1.065	jitter	0	0	 0.000
 91.505	 0.531	fixation_cross	0	0	 0.000
 92.036	 0.798	pres	1	0	 2147483.647
 92.834	 1.530	resp	0	0	 0.000
 94.364	 0.864	jitter	0	0	 0.000
 95.228	 0.532	fixation_cross	0	0	 0.000
 95.760	 0.798	pres	1	0	 2147483.647
 96.558	 1.530	resp	0	0	 0.000
 98.088	 0.864	jitter	0	0	 0.000
 98.952	 0.532	fixation_cross	0	0	 0.000
