onset	duration	trialType	correct	stim_file
2	1.0	5.0	1	stim_5.png
20	1.0	5.0	1	stim_5.png
26	1.0	3.0	1	stim_3.png
32	1.0	2.0	1	stim_2.png
38	1.0	5.0	1	stim_5.png
46	1.0	5.0	1	stim_5.png
52	1.0	4.0	1	stim_4.png
68	1.0	4.0	1	stim_4.png
76	1.0	2.0	0	stim_2.png
82	1.0	2.0	1	stim_2.png
88	1.0	5.0	1	stim_5.png
94	1.0	4.0	1	stim_4.png
100	1.0	2.0	1	stim_2.png
116	1.0	3.0	0	stim_3.png
134	1.0	5.0	0	stim_5.png
146	1.0	3.0	1	stim_3.png
152	1.0	4.0	1	stim_4.png
158	1.0	4.0	0	stim_4.png
164	1.0	2.0	1	stim_2.png
178	1.0	4.0	1	stim_4.png
186	1.0	4.0	0	stim_4.png
198	1.0	3.0	1	stim_3.png
216	1.0	3.0	1	stim_3.png
226	1.0	2.0	1	stim_2.png
240	1.0	3.0	1	stim_3.png
256	1.0	4.0	1	stim_4.png
270	1.0	4.0	1	stim_4.png
278	1.0	3.0	0	stim_3.png
286	1.0	3.0	1	stim_3.png
296	1.0	3.0	0	stim_3.png
304	1.0	2.0	1	stim_2.png
312	1.0	5.0	1	stim_5.png
324	1.0	3.0	1	stim_3.png
342	1.0	4.0	1	stim_4.png
358	1.0	2.0	1	stim_2.png
368	1.0	2.0	1	stim_2.png
374	1.0	3.0	1	stim_3.png
380	1.0	5.0	0	stim_5.png
388	1.0	5.0	1	stim_5.png
394	1.0	3.0	1	stim_3.png
404	1.0	5.0	1	stim_5.png
412	1.0	2.0	1	stim_2.png
426	1.0	4.0	1	stim_4.png
434	1.0	4.0	1	stim_4.png
440	1.0	2.0	0	stim_2.png
448	1.0	5.0	1	stim_5.png
456	1.0	5.0	0	stim_5.png
468	1.0	2.0	1	stim_2.png
