onset	duration	trialType	correct	stim_file
2	1.0	3.0	1	stim_3.png
8	1.0	2.0	1	stim_2.png
24	1.0	3.0	1	stim_3.png
30	1.0	2.0	1	stim_2.png
42	1.0	3.0	1	stim_3.png
48	1.0	5.0	1	stim_5.png
56	1.0	5.0	1	stim_5.png
62	1.0	4.0	1	stim_4.png
72	1.0	3.0	1	stim_3.png
78	1.0	5.0	1	stim_5.png
86	1.0	2.0	1	stim_2.png
92	1.0	4.0	1	stim_4.png
100	1.0	4.0	1	stim_4.png
112	1.0	4.0	1	stim_4.png
118	1.0	4.0	1	stim_4.png
124	1.0	4.0	1	stim_4.png
130	1.0	2.0	1	stim_2.png
136	1.0	5.0	1	stim_5.png
144	1.0	3.0	1	stim_3.png
154	1.0	4.0	1	stim_4.png
162	1.0	3.0	1	stim_3.png
172	1.0	5.0	1	stim_5.png
186	1.0	2.0	1	stim_2.png
194	1.0	3.0	1	stim_3.png
212	1.0	5.0	1	stim_5.png
222	1.0	3.0	1	stim_3.png
228	1.0	4.0	1	stim_4.png
242	1.0	2.0	1	stim_2.png
256	1.0	5.0	1	stim_5.png
264	1.0	4.0	1	stim_4.png
270	1.0	5.0	1	stim_5.png
284	1.0	4.0	1	stim_4.png
292	1.0	5.0	1	stim_5.png
298	1.0	3.0	1	stim_3.png
316	1.0	3.0	1	stim_3.png
322	1.0	3.0	1	stim_3.png
330	1.0	4.0	1	stim_4.png
348	1.0	2.0	1	stim_2.png
364	1.0	5.0	1	stim_5.png
376	1.0	2.0	1	stim_2.png
392	1.0	2.0	1	stim_2.png
404	1.0	5.0	0	stim_5.png
422	1.0	5.0	1	stim_5.png
430	1.0	2.0	1	stim_2.png
446	1.0	2.0	1	stim_2.png
452	1.0	2.0	1	stim_2.png
460	1.0	4.0	1	stim_4.png
468	1.0	3.0	1	stim_3.png
