onset	duration	trialType	correct	stim_file
2	1.0	5.0	1	stim_5.png
20	1.0	4.0	1	stim_4.png
26	1.0	5.0	1	stim_5.png
32	1.0	5.0	1	stim_5.png
44	1.0	5.0	1	stim_5.png
54	1.0	4.0	1	stim_4.png
68	1.0	5.0	1	stim_5.png
74	1.0	4.0	1	stim_4.png
84	1.0	2.0	1	stim_2.png
96	1.0	3.0	1	stim_3.png
102	1.0	3.0	1	stim_3.png
116	1.0	3.0	1	stim_3.png
124	1.0	5.0	1	stim_5.png
132	1.0	5.0	1	stim_5.png
150	1.0	4.0	1	stim_4.png
156	1.0	4.0	1	stim_4.png
162	1.0	3.0	1	stim_3.png
168	1.0	2.0	1	stim_2.png
176	1.0	5.0	1	stim_5.png
192	1.0	2.0	1	stim_2.png
208	1.0	4.0	1	stim_4.png
216	1.0	2.0	1	stim_2.png
222	1.0	3.0	1	stim_3.png
236	1.0	2.0	1	stim_2.png
244	1.0	5.0	1	stim_5.png
252	1.0	2.0	1	stim_2.png
270	1.0	2.0	1	stim_2.png
276	1.0	4.0	1	stim_4.png
284	1.0	3.0	1	stim_3.png
300	1.0	4.0	1	stim_4.png
306	1.0	2.0	1	stim_2.png
322	1.0	5.0	1	stim_5.png
330	1.0	3.0	1	stim_3.png
336	1.0	4.0	1	stim_4.png
348	1.0	4.0	1	stim_4.png
354	1.0	3.0	1	stim_3.png
360	1.0	2.0	1	stim_2.png
368	1.0	3.0	1	stim_3.png
376	1.0	2.0	1	stim_2.png
382	1.0	2.0	1	stim_2.png
392	1.0	5.0	1	stim_5.png
402	1.0	5.0	1	stim_5.png
414	1.0	4.0	0	stim_4.png
422	1.0	3.0	1	stim_3.png
428	1.0	3.0	1	stim_3.png
436	1.0	2.0	1	stim_2.png
454	1.0	3.0	0	stim_3.png
460	1.0	4.0	1	stim_4.png
