onset	duration	trialType	correct	stim_file
2	1.0	2.0	1	stim_2.png
8	1.0	4.0	1	stim_4.png
14	1.0	2.0	1	stim_2.png
24	1.0	5.0	1	stim_5.png
42	1.0	4.0	1	stim_4.png
58	1.0	5.0	1	stim_5.png
66	1.0	4.0	1	stim_4.png
72	1.0	2.0	1	stim_2.png
80	1.0	3.0	0	stim_3.png
98	1.0	3.0	1	stim_3.png
114	1.0	2.0	1	stim_2.png
122	1.0	5.0	1	stim_5.png
130	1.0	3.0	1	stim_3.png
140	1.0	4.0	0	stim_4.png
148	1.0	5.0	1	stim_5.png
162	1.0	3.0	1	stim_3.png
168	1.0	5.0	1	stim_5.png
174	1.0	5.0	1	stim_5.png
180	1.0	3.0	0	stim_3.png
192	1.0	5.0	0	stim_5.png
200	1.0	4.0	1	stim_4.png
212	1.0	5.0	1	stim_5.png
228	1.0	2.0	1	stim_2.png
238	1.0	3.0	1	stim_3.png
252	1.0	4.0	1	stim_4.png
258	1.0	5.0	1	stim_5.png
266	1.0	2.0	1	stim_2.png
272	1.0	5.0	1	stim_5.png
284	1.0	5.0	1	stim_5.png
290	1.0	4.0	1	stim_4.png
296	1.0	2.0	1	stim_2.png
302	1.0	2.0	1	stim_2.png
310	1.0	4.0	1	stim_4.png
316	1.0	3.0	0	stim_3.png
330	1.0	4.0	1	stim_4.png
342	1.0	2.0	1	stim_2.png
348	1.0	3.0	1	stim_3.png
356	1.0	4.0	1	stim_4.png
364	1.0	2.0	1	stim_2.png
370	1.0	4.0	1	stim_4.png
386	1.0	3.0	0	stim_3.png
394	1.0	4.0	1	stim_4.png
412	1.0	3.0	1	stim_3.png
418	1.0	2.0	1	stim_2.png
436	1.0	5.0	1	stim_5.png
450	1.0	3.0	1	stim_3.png
458	1.0	3.0	1	stim_3.png
468	1.0	2.0	1	stim_2.png
