onset	duration	trialType	correct	stim_file
2	1.0	5.0	1	stim_5.png
10	1.0	5.0	1	stim_5.png
18	1.0	4.0	1	stim_4.png
36	1.0	5.0	1	stim_5.png
44	1.0	2.0	1	stim_2.png
54	1.0	4.0	1	stim_4.png
66	1.0	4.0	1	stim_4.png
80	1.0	5.0	1	stim_5.png
86	1.0	4.0	1	stim_4.png
94	1.0	3.0	1	stim_3.png
100	1.0	2.0	1	stim_2.png
106	1.0	2.0	1	stim_2.png
114	1.0	2.0	1	stim_2.png
122	1.0	3.0	1	stim_3.png
128	1.0	3.0	1	stim_3.png
134	1.0	2.0	1	stim_2.png
148	1.0	5.0	1	stim_5.png
156	1.0	3.0	1	stim_3.png
162	1.0	5.0	1	stim_5.png
178	1.0	2.0	1	stim_2.png
184	1.0	3.0	1	stim_3.png
192	1.0	3.0	1	stim_3.png
200	1.0	2.0	1	stim_2.png
218	1.0	4.0	1	stim_4.png
224	1.0	3.0	1	stim_3.png
234	1.0	4.0	1	stim_4.png
246	1.0	2.0	1	stim_2.png
252	1.0	5.0	1	stim_5.png
260	1.0	4.0	1	stim_4.png
278	1.0	2.0	1	stim_2.png
284	1.0	4.0	1	stim_4.png
290	1.0	5.0	1	stim_5.png
304	1.0	5.0	1	stim_5.png
312	1.0	3.0	1	stim_3.png
318	1.0	2.0	1	stim_2.png
332	1.0	4.0	1	stim_4.png
350	1.0	3.0	1	stim_3.png
356	1.0	3.0	1	stim_3.png
372	1.0	5.0	1	stim_5.png
382	1.0	2.0	1	stim_2.png
398	1.0	3.0	1	stim_3.png
408	1.0	2.0	1	stim_2.png
414	1.0	4.0	1	stim_4.png
420	1.0	5.0	0	stim_5.png
432	1.0	4.0	1	stim_4.png
448	1.0	5.0	1	stim_5.png
456	1.0	3.0	1	stim_3.png
462	1.0	4.0	1	stim_4.png
