onset	duration	weight	trial_type	aux	word	concreteness	log_freq	denb	freq_den_interxn
12.278	0	1	SparseCorrect	NA	cramp	3.96	5.95	6	35.7
18.418	0	1	SparseCorrect	NA	truth	1.57	10.87	5	54.35
24.558	0	1	DenseCorrect	NA	hair	4.96	10.66	24	255.84
30.697	0	1	DenseCorrect	NA	know	5	13.59	27	366.93
36.837	0	1	noise	NA	null	-1	-1	-1	-1
42.976	0	1	DenseCorrect	NA	ten	4.14	10.57	27	285.39
49.116	0	1	SparseIncorrect	NA	cloth	4.83	9.32	3	27.96
55.256	0	1	SparseCorrect	NA	change	2.63	11.96	3	35.88
61.395	0	1	SparseCorrect	NA	throb	2.54	5.73	1	5.73
67.535	0	1	SparseCorrect	NA	spoil	2.43	7.48	6	44.88
73.674	0	1	noise	NA	null	-1	-1	-1	-1
79.814	0	1	DenseCorrect	NA	rake	4.1	6.82	30	204.6
85.954	0	1	DenseCorrect	NA	hear	3.56	11.41	30	342.3
98.233	0	1	DenseIncorrect	NA	hole	4.79	10.16	31	314.96
104.372	0	1	DenseCorrect	NA	save	2.24	11.05	22	243.1
110.511	0	1	SparseCorrect	NA	stunt	3	7.43	2	14.86
122.79	0	1	SparseCorrect	NA	step	3.7	10.69	6	64.14
128.93	0	1	SparseIncorrect	NA	blimp	4.69	5.76	1	5.76
135.07	0	1	SparseCorrect	NA	tops	3.59	8.28	5	41.4
141.209	0	1	SparseCorrect	NA	mesh	4.27	7.58	6	45.48
147.349	0	1	noise	NA	null	-1	-1	-1	-1
153.488	0	1	DenseIncorrect	NA	fire	4.66	11.05	22	243.1
159.628	0	1	DenseCorrect	NA	shut	3.18	9.89	21	207.69
165.768	0	1	DenseCorrect	NA	cut	4.33	11.5	25	287.5
178.047	0	1	DenseCorrect	NA	beak	4.96	6.37	28	178.36
184.186	0	1	SparseCorrect	NA	skunk	4.77	6.79	5	33.95
190.326	0	1	DenseCorrect	NA	pitch	3.92	9.08	24	217.92
196.465	0	1	DenseCorrect	NA	hip	4.17	8.83	28	247.24
202.604	0	1	SparseIncorrect	NA	vault	4.45	9.15	6	54.9
208.744	0	1	DenseCorrect	NA	nail	4.17	8.43	26	219.18
214.883	0	1	noise	NA	null	-1	-1	-1	-1
221.023	0	1	SparseCorrect	NA	flaunt	2	5.75	1	5.75
227.163	0	1	SparseCorrect	NA	swung	3.1	7.15	5	35.75
239.442	0	1	DenseCorrect	NA	peak	4.12	9.04	31	280.24
245.581	0	1	SparseCorrect	NA	clown	4.83	7.92	5	39.6
251.721	0	1	SparseCorrect	NA	plague	3.21	8.46	5	42.3
264	0	1	DenseCorrect	NA	seek	2.5	9.89	31	306.59
276.279	0	1	noise	NA	null	-1	-1	-1	-1
288.558	0	1	DenseIncorrect	NA	soap	4.86	8.99	21	188.79
294.697	0	1	noise	NA	null	-1	-1	-1	-1
300.837	0	1	SparseIncorrect	NA	gift	4.45	9.37	5	46.85
306.977	0	1	DenseCorrect	NA	mum	4.04	7.28	23	167.44
313.116	0	1	noise	NA	null	-1	-1	-1	-1
319.256	0	1	SparseCorrect	NA	child	4.7	11.08	4	44.32
331.535	0	1	noise	NA	null	-1	-1	-1	-1
337.675	0	1	SparseCorrect	NA	stink	3.29	7.34	6	44.04
349.954	0	1	noise	NA	null	-1	-1	-1	-1
356.093	0	1	DenseIncorrect	NA	late	2.5	10.92	32	349.44
368.373	0	1	DenseIncorrect	NA	buck	4.67	8.82	29	255.78
374.511	0	1	noise	NA	null	-1	-1	-1	-1
