onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
1	5	62.0	0.0	0.0	100.0	66.0	clip_1
26	5	18.0	50.5	50.5	50.5	50.5	clip_2
51	6	13.5	53.5	49.5	21.5	12.5	clip_3
65	6	51.0	7.5	7.5	57.5	57.5	clip_4
99	9	50.0	35.5	31.0	45.0	25.0	clip_5
132	8	14.5	48.0	48.0	29.5	17.0	clip_6
210	8	75.0	0.0	73.0	100.0	81.5	clip_7
240	9	31.0	31.0	27.0	56.0	56.0	clip_8
263	5	38.5	50.5	33.5	55.0	63.0	clip_9
296	9	8.5	50.0	47.0	47.0	16.0	clip_10
328	6	17.5	59.0	18.0	31.0	26.0	clip_11
376	8	36.0	51.5	22.0	16.5	10.5	clip_12
393	11	53.5	54.5	45.5	40.5	44.0	clip_13
422	9	63.0	0.0	0.0	42.0	71.5	clip_14
466	5	69.0	0.0	92.5	80.5	72.5	clip_15
535	8	56.5	46.0	79.0	100.0	80.5	clip_16
551	8	70.0	0.0	90.0	100.0	82.5	clip_17
574	6	58.5	0.0	100.0	100.0	83.5	clip_18
599	7	60.5	9.5	6.5	59.0	59.5	clip_19
641	8	50.0	77.0	76.5	29.5	21.5	clip_20
