onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
6	5	0.0	49.0	37.0	26.5	12.5	clip_1
29	5	15.5	60.5	31.5	31.5	20.5	clip_2
60	6	2.0	54.5	23.0	23.0	15.5	clip_3
82	7	0.0	50.5	68.0	35.5	18.0	clip_4
113	6	30.0	30.0	30.0	60.5	60.5	clip_5
134	6	36.5	0.0	0.0	96.0	83.5	clip_6
166	9	62.0	18.5	73.0	73.0	73.0	clip_7
196	8	21.5	21.5	53.5	68.5	68.5	clip_8
239	8	24.0	50.5	39.0	65.5	65.5	clip_9
267	9	35.5	1.5	14.0	97.5	65.5	clip_10
307	10	42.0	37.0	64.0	90.5	72.0	clip_11
352	8	41.5	0.0	31.5	76.5	76.5	clip_12
392	6	43.5	1.5	0.0	100.0	87.0	clip_13
405	7	59.0	0.0	48.0	88.0	67.0	clip_14
443	8	50.0	29.0	29.0	55.0	55.0	clip_15
507	9	50.0	40.5	59.5	43.0	51.0	clip_16
532	7	35.5	22.0	58.0	68.0	64.0	clip_17
570	7	55.5	36.5	36.0	36.0	36.0	clip_18
598	9	30.5	30.5	59.0	59.0	51.0	clip_19
645	8	20.5	43.5	66.5	41.5	42.5	clip_20
674	5	31.5	31.5	31.5	31.5	17.0	clip_21
707	9	27.5	9.5	9.5	9.5	9.5	clip_22
740	7	13.0	50.5	46.5	70.5	53.0	clip_23
776	10	53.5	14.0	14.0	32.5	54.0	clip_24
803	5	57.0	3.5	3.5	96.0	61.0	clip_25
829	7	30.0	15.0	15.0	72.0	51.5	clip_26
864	6	58.0	1.5	79.5	84.5	60.0	clip_27
910	8	55.5	65.0	66.0	66.0	58.5	clip_28
955	10	18.5	24.5	72.0	70.0	66.0	clip_29
972	7	53.0	7.0	75.0	75.0	55.5	clip_30
986	6	53.5	23.0	92.0	70.5	55.0	clip_31
