onset	duration	event_type	trial_type
22.266	n/a	S  5	stimulus
24	n/a	S  5	stimulus
25.433	n/a	S  5	stimulus
27.066	n/a	S  5	stimulus
28.549	n/a	S  7	stimulus
30.283	n/a	S  5	stimulus
31.966	n/a	S  5	stimulus
33.499	n/a	S  7	stimulus
34.006	n/a	S  1	response
35.283	n/a	S  5	stimulus
37.016	n/a	S  5	stimulus
38.449	n/a	S  5	stimulus
39.982	n/a	S  5	stimulus
41.566	n/a	S  5	stimulus
43.149	n/a	S  7	stimulus
44.632	n/a	S  5	stimulus
46.316	n/a	S  5	stimulus
48.015	n/a	S  6	stimulus
48.606	n/a	S  1	response
49.449	n/a	S  5	stimulus
51.282	n/a	S  5	stimulus
53.015	n/a	S  5	stimulus
54.799	n/a	S  6	stimulus
55.558	n/a	S  1	response
56.282	n/a	S  5	stimulus
57.765	n/a	S  5	stimulus
59.598	n/a	S  7	stimulus
61.232	n/a	S  5	stimulus
62.815	n/a	S  5	stimulus
64.548	n/a	S  5	stimulus
66.332	n/a	S  6	stimulus
66.862	n/a	S  1	response
68.065	n/a	S  5	stimulus
69.698	n/a	S  5	stimulus
71.131	n/a	S  7	stimulus
72.965	n/a	S  5	stimulus
74.698	n/a	S  6	stimulus
75.166	n/a	S  1	response
76.181	n/a	S  5	stimulus
77.664	n/a	S  6	stimulus
78.35	n/a	S  1	response
79.148	n/a	S  5	stimulus
80.931	n/a	S  6	stimulus
81.493	n/a	S  1	response
82.764	n/a	S  5	stimulus
84.398	n/a	S  5	stimulus
85.981	n/a	S  5	stimulus
87.814	n/a	S  7	stimulus
89.647	n/a	S  5	stimulus
91.081	n/a	S  5	stimulus
92.714	n/a	S  7	stimulus
93.141	n/a	S  1	response
94.497	n/a	S  5	stimulus
96.331	n/a	S  5	stimulus
98.114	n/a	S  5	stimulus
99.697	n/a	S  5	stimulus
101.33	n/a	S  5	stimulus
102.964	n/a	S  5	stimulus
104.647	n/a	S  5	stimulus
106.23	n/a	S  5	stimulus
107.963	n/a	S  5	stimulus
109.447	n/a	S  5	stimulus
111.28	n/a	S  6	stimulus
111.725	n/a	S  1	response
112.813	n/a	S  5	stimulus
114.347	n/a	S  5	stimulus
115.83	n/a	S  5	stimulus
117.614	n/a	S  5	stimulus
119.196	n/a	S  5	stimulus
120.98	n/a	S  7	stimulus
121.493	n/a	S  1	response
122.463	n/a	S  5	stimulus
124.296	n/a	S  5	stimulus
126.08	n/a	S  7	stimulus
126.781	n/a	S  1	response
127.763	n/a	S  5	stimulus
129.296	n/a	S  5	stimulus
130.879	n/a	S  5	stimulus
132.513	n/a	S  5	stimulus
133.946	n/a	S  5	stimulus
135.679	n/a	S  7	stimulus
137.163	n/a	S  5	stimulus
138.596	n/a	S  5	stimulus
140.229	n/a	S  6	stimulus
140.613	n/a	S  1	response
141.812	n/a	S  5	stimulus
143.646	n/a	S  5	stimulus
145.329	n/a	S  5	stimulus
146.912	n/a	S  6	stimulus
147.397	n/a	S  1	response
148.595	n/a	S  5	stimulus
150.379	n/a	S  5	stimulus
152.212	n/a	S  7	stimulus
152.781	n/a	S  1	response
153.745	n/a	S  5	stimulus
155.329	n/a	S  5	stimulus
156.812	n/a	S  5	stimulus
158.245	n/a	S  6	stimulus
158.869	n/a	S  1	response
159.728	n/a	S  5	stimulus
161.262	n/a	S  5	stimulus
162.895	n/a	S  7	stimulus
164.628	n/a	S  5	stimulus
166.162	n/a	S  6	stimulus
166.941	n/a	S  1	response
167.945	n/a	S  5	stimulus
169.428	n/a	S  6	stimulus
170.172	n/a	S  1	response
171.211	n/a	S  5	stimulus
172.645	n/a	S  6	stimulus
173.276	n/a	S  1	response
174.078	n/a	S  5	stimulus
175.861	n/a	S  5	stimulus
177.445	n/a	S  5	stimulus
178.878	n/a	S  7	stimulus
180.711	n/a	S  5	stimulus
182.344	n/a	S  5	stimulus
183.878	n/a	S  7	stimulus
185.411	n/a	S  5	stimulus
186.944	n/a	S  5	stimulus
188.677	n/a	S  5	stimulus
190.361	n/a	S  5	stimulus
192.194	n/a	S  5	stimulus
192.964	n/a	S  1	response
194.027	n/a	S  5	stimulus
195.761	n/a	S  5	stimulus
197.444	n/a	S  5	stimulus
199.177	n/a	S  5	stimulus
200.86	n/a	S  5	stimulus
202.694	n/a	S  6	stimulus
203.228	n/a	S  1	response
204.127	n/a	S  5	stimulus
205.71	n/a	S 10	n/a
220.726	n/a	S  5	stimulus
222.21	n/a	S  5	stimulus
223.693	n/a	S  5	stimulus
225.376	n/a	S  5	stimulus
227.06	n/a	S  7	stimulus
227.54	n/a	S  1	response
228.693	n/a	S  5	stimulus
230.526	n/a	S  5	stimulus
232.009	n/a	S  7	stimulus
233.693	n/a	S  5	stimulus
235.426	n/a	S  5	stimulus
237.059	n/a	S  5	stimulus
238.793	n/a	S  5	stimulus
240.626	n/a	S  5	stimulus
242.309	n/a	S  7	stimulus
243.116	n/a	S  1	response
243.942	n/a	S  5	stimulus
245.726	n/a	S  5	stimulus
247.459	n/a	S  6	stimulus
247.916	n/a	S  1	response
249.042	n/a	S  5	stimulus
250.675	n/a	S  5	stimulus
252.409	n/a	S  5	stimulus
254.042	n/a	S  6	stimulus
254.636	n/a	S  1	response
255.525	n/a	S  5	stimulus
256.959	n/a	S  5	stimulus
258.492	n/a	S  7	stimulus
259.051	n/a	S  1	response
260.025	n/a	S  5	stimulus
261.458	n/a	S  5	stimulus
263.242	n/a	S  5	stimulus
264.825	n/a	S  6	stimulus
266.508	n/a	S  5	stimulus
268.342	n/a	S  5	stimulus
269.925	n/a	S  7	stimulus
271.358	n/a	S  5	stimulus
273.191	n/a	S  6	stimulus
274.625	n/a	S  5	stimulus
276.308	n/a	S  6	stimulus
277.991	n/a	S  5	stimulus
279.624	n/a	S  6	stimulus
280.243	n/a	S  1	response
281.108	n/a	S  5	stimulus
282.541	n/a	S  5	stimulus
284.074	n/a	S  5	stimulus
285.708	n/a	S  7	stimulus
286.211	n/a	S  1	response
287.291	n/a	S  5	stimulus
289.074	n/a	S  5	stimulus
290.657	n/a	S  7	stimulus
291.403	n/a	S  1	response
292.091	n/a	S  5	stimulus
293.924	n/a	S  5	stimulus
295.457	n/a	S  5	stimulus
297.291	n/a	S  5	stimulus
299.124	n/a	S  5	stimulus
300.907	n/a	S  5	stimulus
302.44	n/a	S  5	stimulus
303.974	n/a	S  5	stimulus
305.707	n/a	S  5	stimulus
307.19	n/a	S  5	stimulus
308.924	n/a	S  6	stimulus
309.379	n/a	S  1	response
310.657	n/a	S  5	stimulus
344.359	n/a	S 12	n/a
358.372	n/a	S  7	stimulus
360.005	n/a	S  5	stimulus
361.788	n/a	S  5	stimulus
363.622	n/a	S  7	stimulus
364.194	n/a	S  1	response
365.155	n/a	S  5	stimulus
366.888	n/a	S  6	stimulus
367.386	n/a	S  1	response
368.422	n/a	S  5	stimulus
370.155	n/a	S  5	stimulus
371.738	n/a	S  5	stimulus
373.321	n/a	S  5	stimulus
375.005	n/a	S  5	stimulus
376.438	n/a	S  7	stimulus
377.971	n/a	S  5	stimulus
379.555	n/a	S  7	stimulus
381.288	n/a	S  5	stimulus
383.121	n/a	S  7	stimulus
384.754	n/a	S  5	stimulus
386.17	n/a	S  1	response
386.338	n/a	S  5	stimulus
387.971	n/a	S  6	stimulus
388.594	n/a	S  1	response
389.754	n/a	S  5	stimulus
391.437	n/a	S  6	stimulus
392.082	n/a	S  1	response
393.271	n/a	S  5	stimulus
394.754	n/a	S  5	stimulus
396.437	n/a	S  6	stimulus
397.002	n/a	S  1	response
398.171	n/a	S  5	stimulus
399.704	n/a	S  5	stimulus
401.487	n/a	S  5	stimulus
403.32	n/a	S  7	stimulus
405.154	n/a	S  5	stimulus
406.987	n/a	S  5	stimulus
408.62	n/a	S  5	stimulus
410.103	n/a	S  5	stimulus
411.587	n/a	S  6	stimulus
412.138	n/a	S  1	response
413.07	n/a	S  5	stimulus
414.553	n/a	S  5	stimulus
415.987	n/a	S  5	stimulus
417.52	n/a	S  7	stimulus
419.153	n/a	S  5	stimulus
420.886	n/a	S  5	stimulus
422.52	n/a	S  5	stimulus
424.303	n/a	S  5	stimulus
425.836	n/a	S  6	stimulus
426.306	n/a	S  1	response
427.57	n/a	S  5	stimulus
429.353	n/a	S  6	stimulus
430.233	n/a	S  1	response
430.936	n/a	S  5	stimulus
432.619	n/a	S  5	stimulus
434.103	n/a	S  5	stimulus
435.736	n/a	S  5	stimulus
437.169	n/a	S  5	stimulus
438.603	n/a	S  5	stimulus
440.336	n/a	S  5	stimulus
442.169	n/a	S  5	stimulus
443.752	n/a	S  5	stimulus
445.486	n/a	S  5	stimulus
447.019	n/a	S  5	stimulus
448.452	n/a	S  5	stimulus
450.086	n/a	S  7	stimulus
451.519	n/a	S  5	stimulus
453.352	n/a	S  5	stimulus
455.035	n/a	S  7	stimulus
455.553	n/a	S  1	response
456.619	n/a	S  5	stimulus
458.302	n/a	S  6	stimulus
458.881	n/a	S  1	response
459.885	n/a	S  5	stimulus
461.668	n/a	S  5	stimulus
462.857	n/a	S  1	response
463.102	n/a	S  5	stimulus
464.885	n/a	S  5	stimulus
466.618	n/a	S  5	stimulus
468.302	n/a	S  7	stimulus
469.001	n/a	S  1	response
469.785	n/a	S  5	stimulus
