onset	duration	trial_type
0.13160527	2.5729757999999996	classification
4.6389881	1.7632185	classification
9.1491937	1.9380586	classification
13.659355999999999	2.3102708	classification
18.176017	1.7235171000000002	classification
36.210483	2.2382458	classification
40.727778	2.1537344	classification
45.234767	2.749299	classification
49.741716	1.7622162000000001	classification
54.251056999999996	1.7715286	classification
72.29346899999999	2.2111012999999997	classification
76.801989	1.8062209999999999	classification
81.312209	2.6436377999999996	classification
85.822424	1.6649781000000003	classification
90.33825999999999	1.707629	classification
108.37333999999998	2.2107973	classification
112.88995	2.6687079	classification
117.39708	2.059776	classification
121.90395	2.1775071	classification
126.41408999999999	1.7796494999999999	classification
144.45568	2.312059	classification
148.96509	2.4440512	classification
153.47523	2.5092092999999998	classification
157.99342	1.9925689999999998	classification
162.5004	2.2225959	classification
180.53638999999998	2.0685672	classification
185.05216000000001	1.7242426	classification
189.55942	1.6894906000000003	classification
194.06693	2.2944131000000003	classification
198.57711	1.8791542	classification
216.61787999999999	2.4926325	classification
221.1282	1.7536834	classification
225.63827	1.7300034	classification
230.15566	3.0182796	classification
234.66262000000003	2.2233563999999997	classification
252.70737000000003	2.6173224	classification
257.2143	2.3552724	classification
261.72131	1.8941811000000002	classification
266.22996	2.68036	classification
270.74014	1.9204078999999998	classification
288.78086	1.6721169999999999	classification
293.29107	1.7796147	classification
297.80127000000005	2.177526	classification
302.31776	1.7570417	classification
306.82476	1.7907203	classification
324.86947999999995	1.8579598999999998	classification
329.37647000000004	2.8038791	classification
333.88344	2.5138351	classification
338.39301	2.0449041	classification
342.90317000000005	3.4543089	classification
