onset	duration	stim_onset_s_	stim_dur_s_	type	trial_type	stim_file
5.496046625	0.457637	3.041015625	2.942426	Sound	NPC	NPC_string.wav
12.525188625	0.559157	9.978515625	3.139864	Sound	NPC	NPC_cheese.wav
19.37803175	0.395222	17.12109375	2.689274	Sound	NPI	NPI_bottle(money).wav
26.030940125	0.492342	23.814453125	2.752857	Sound	NPI	NPI_solve(cloud).wav
32.631642625	0.350495	30.572265625	2.437846	Sound	NPC	NPC_goat.wav
38.966353	0.496488	37.015625	2.484626	Sound	NPI	NPI_friend(pound).wav
45.2399975	0.428123	43.5078125	2.201338	Sound	NPI	NPI_gum(coat).wav
51.312881875	0.378504	49.748046875	1.97322	Sound	NPC	NPC_bridge.wav
57.51232325	0.5053	55.72265625	2.319705	Sound	NPC	NPC_green.wav
64.156856125	0.386012	62.048828125	2.524172	Sound	NPC	NPC_chick.wav
71.35042475	0.348471	68.57421875	3.179705	Sound	NPI	NPI_guess(grape).wav
78.344476125	0.613258	75.767578125	3.213515	Sound	NPI	NPI_button(hotdog).wav
85.2237065	0.391556	82.9921875	2.66327	Sound	NPI	NPI_nine(cat).wav
92.08229375	0.602923	89.66796875	3.073061	Sound	NPI	NPI_party(sidewalk).wav
98.92762375	0.475089	96.76171875	2.664422	Sound	NPC	NPC_castle.wav
105.857438	0.369034	103.4375	2.812063	Sound	NPC	NPC_cop.wav
112.384200875	0.387174	110.263671875	2.516213	Sound	NPI	NPI_gold(fridge).wav
118.439163375	0.480931	116.787109375	2.183401	Sound	NPC	NPC_test.wav
125.58364275	0.439515	122.99609375	3.063719	Sound	NPI	NPI_grade(grill).wav
132.671666625	0.478939	130.072265625	3.108073	Sound	NPC	NPC_axe.wav
138.743753625	0.4962	137.181640625	2.085918	Sound	NPI	NPI_bridge(steak).wav
146.4902785	0.45597	143.2734375	3.70712	Sound	NPC	NPC_apple.wav
153.795044	0.316987	150.984375	3.166599	Sound	NPI	NPI_bricks(leg).wav
160.26453425	0.474813	158.16015625	2.610204	Sound	NPI	NPI_phone(snake).wav
166.37107025	0.518278	164.78515625	2.130204	Sound	NPI	NPI_grapes(man).wav
173.058594375	0.354349	170.927734375	2.488594	Sound	NPC	NPC_gold.wav
180.178726875	0.408608	177.435546875	3.206327	Sound	NPC	NPC_wind.wav
187.378583375	0.310566	184.662109375	3.086893	Sound	NPI	NPI_belt(bed).wav
194.59173125	0.503427	191.75390625	3.372857	Sound	NPC	NPC_fixed.wav
200.472954375	0.345484	199.130859375	1.715624	Sound	NPC	NPC_cold.wav
207.38176875	0.435178	204.85546875	3.007166	Sound	NPC	NPC_dream.wav
213.338085375	0.435062	211.880859375	1.921655	Sound	NPC	NPC_fast.wav
220.473265625	0.42673	217.822265625	3.113855	Sound	NPI	NPI_barn(claw).wav
226.64087875	0.323712	224.94921875	2.055147	Sound	NPC	NPC_dirt.wav
233.9932965	0.426065	231.0234375	3.470771	Sound	NPC	NPC_fork.wav
241.646276	0.402645	238.5	3.59263	Sound	NPC	NPC_bear.wav
249.128032125	0.560552	246.111328125	3.615397	Sound	NPI	NPI_study(princess).wav
256.41827225	0.363108	253.73828125	3.084422	Sound	NPC	NPC_drill.wav
263.020919125	0.393995	260.830078125	2.638143	Sound	NPC	NPC_dolls.wav
269.51878125	0.454971	267.47265625	2.518617	Sound	NPI	NPI_gel(sign).wav
276.186681875	0.420482	273.998046875	2.644127	Sound	NPI	NPI_bread(sea).wav
282.786422	0.355978	280.65625	2.514717	Sound	NPC	NPC_cap.wav
288.847941625	0.490197	287.181640625	2.198413	Sound	NPI	NPI_dirt(screw).wav
295.980909	0.42141	293.390625	3.062245	Sound	NPC	NPC_shot.wav
301.863436875	0.492626	300.466796875	1.920431	Sound	NPC	NPC_legs.wav
309.534644125	0.450333	306.408203125	3.610567	Sound	NPC	NPC_popped.wav
316.62535125	0.517715	314.03515625	3.115465	Sound	NPI	NPI_axe(grass).wav
323.65975925	0.308974	321.16015625	2.864286	Sound	NPC	NPC_bath.wav
329.59902925	0.381822	328.01953125	1.990703	Sound	NPI	NPI_nests(drill).wav
336.04106875	0.466523	334.02734375	2.494807	Sound	NPC	NPC_fruit.wav
343.141320375	0.460472	340.537109375	3.104512	Sound	NPI	NPI_foot(shout).wav
349.125539375	0.479067	347.646484375	1.989456	Sound	NPC	NPC_fur.wav
355.26732775	0.540456	353.63671875	2.206281	Sound	NPI	NPI_dancers(pirate).wav
361.616527125	0.400144	359.845703125	2.200726	Sound	NPC	NPC_earth.wav
368.2594295	0.308107	366.0703125	2.552948	Sound	NPC	NPC_bread.wav
374.902051375	0.339844	372.646484375	2.653968	Sound	NPC	NPC_deep.wav
381.5741475	0.456741	379.3046875	2.755374	Sound	NPI	NPI_game(coal).wav
388.737871125	0.431193	386.064453125	3.135351	Sound	NPC	NPC_fat.wav
395.20976525	0.451121	393.20703125	2.493152	Sound	NPI	NPI_flag(touch).wav
401.33442775	0.45031	399.71484375	2.09941	Sound	NPC	NPC_farm.wav
407.78108875	0.414115	405.82421875	2.409524	Sound	NPC	NPC_goal.wav
414.59562	0.40107	412.25	2.795828	Sound	NPC	NPC_pipe.wav
420.85506975	0.351965	419.05859375	2.219433	Sound	NPI	NPI_green(lock).wav
427.002248125	0.499446	425.283203125	2.258277	Sound	NPI	NPI_beat(sneeze).wav
433.26581075	0.390269	431.55859375	2.12458	Sound	NPC	NPC_three.wav
439.29412775	0.479704	437.68359375	2.136077	Sound	NPI	NPI_mouse(store).wav
446.84330075	0.309658	443.82421875	3.407959	Sound	NPI	NPI_lie(cup).wav
452.689859	0.485259	451.234375	1.964875	Sound	NPC	NPC_hands.wav
459.744108375	0.459053	457.208984375	3.008685	Sound	NPI	NPI_cane(fin).wav
466.005467	0.499575	464.234375	2.296508	Sound	NPI	NPI_earth(rose).wav
472.84359475	0.365026	470.54296875	2.67678	Sound	NPC	NPC_out.wav
479.788856125	0.43686	477.236328125	3.018027	Sound	NPC	NPC_round.wav
487.23924175	0.435975	484.26171875	3.466553	Sound	NPI	NPI_outside(apple).wav
493.89629025	0.412752	491.73828125	2.610635	Sound	NPI	NPI_nice(gum).wav
499.58550725	0.358354	498.36328125	1.606689	Sound	NPC	NPC_door.wav
506.628617125	0.440442	503.970703125	3.138798	Sound	NPC	NPC_cough.wav
513.690715375	0.462019	511.115234375	3.066531	Sound	NPI	NPI_round(kiss).wav
520.46125325	0.421061	518.19140625	2.721905	Sound	NPC	NPC_gray.wav
526.15970375	0.48669	524.93359375	1.749864	Sound	NPI	NPI_caves(string).wav
532.94805025	0.389545	530.69140625	2.675624	Sound	NPC	NPC_game.wav
540.6676015	0.473175	537.3828125	3.786463	Sound	NPI	NPI_tear(corn).wav
548.26875125	0.379255	545.17578125	3.490726	Sound	NPI	NPI_eats(ball).wav
554.774429	0.367286	552.6875	2.48034	Sound	NPC	NPC_hair.wav
561.7963765	0.468569	559.1953125	3.11966	Sound	NPI	NPI_coach(goose).wav
568.384408625	0.44516	566.322265625	2.549093	Sound	NPC	NPC_brakes.wav
575.092531375	0.450247	572.880859375	2.701746	Sound	NPC	NPC_solve.wav
581.25698975	0.492961	579.58984375	2.208571	Sound	NPI	NPI_dip(cage).wav
587.508664125	0.448244	585.814453125	2.188277	Sound	NPC	NPC_eyes.wav
594.194086375	0.408299	592.005859375	2.622971	Sound	NPC	NPC_fear.wav
601.6228085	0.627387	598.6484375	3.642766	Sound	NPC	NPC_outside.wav
609.26499775	0.400244	606.30859375	3.396463	Sound	NPI	NPI_gloves(car).wav
615.973043	0.441386	613.71875	2.731134	Sound	NPC	NPC_clay.wav
622.5661475	0.448219	620.4609375	2.57737	Sound	NPC	NPC_phone.wav
629.245773375	0.427596	627.052734375	2.662358	Sound	NPC	NPC_plank.wav
635.480336625	0.540359	633.728515625	2.326984	Sound	NPC	NPC_crafts.wav
641.6869825	0.415711	640.0703125	2.063515	Sound	NPC	NPC_claws.wav
648.73673725	0.444891	646.14453125	3.069819	Sound	NPC	NPC_crust.wav
654.820607125	0.364866	653.220703125	1.986417	Sound	NPI	NPI_dare(brick).wav
661.164038625	0.500785	659.212890625	2.487937	Sound	NPI	NPI_walk(class).wav
667.440605125	0.449781	665.705078125	2.230794	Sound	NPC	NPC_clothes.wav
674.123162625	0.41044	671.962890625	2.610635	Sound	NPC	NPC_nice.wav
681.701056625	0.41379	678.587890625	3.559002	Sound	NPI	NPI_bake(milk).wav
688.2850495	0.523262	686.1484375	2.705261	Sound	NPI	NPI_aisle(chicken).wav
694.643668875	0.501224	692.857421875	2.320023	Sound	NPI	NPI_bulb(farm).wav
701.749489625	0.49675	699.181640625	3.115601	Sound	NPI	NPI_inches(cookie).wav
708.36514475	0.379411	706.30859375	2.474603	Sound	NPC	NPC_cob.wav
715.45489525	0.390208	712.80078125	3.102449	Sound	NPI	NPI_bed(frog).wav
722.44389425	0.501648	719.91015625	3.078617	Sound	NPI	NPI_present(sister).wav
729.453277125	0.461078	726.986328125	2.95585	Sound	NPC	NPC_fight.wav
735.9729315	0.46517	733.9453125	2.521837	Sound	NPI	NPI_blocks(night).wav
742.64455625	0.40445	740.48828125	2.60254	Sound	NPC	NPC_down.wav
750.307543125	0.558239	747.095703125	3.803991	Sound	NPI	NPI_apple(balloon).wav
757.451432	0.448917	754.90625	3.070045	Sound	NPC	NPC_chest.wav
763.657687	0.39057	762	2.086259	Sound	NPI	NPI_farm(bird).wav
769.433524875	0.525087	768.091796875	1.914875	Sound	NPC	NPC_bird.wav
777.091998	0.535418	774.015625	3.636463	Sound	NPI	NPI_bruise(rain).wav
783.076261125	0.424811	781.658203125	1.860431	Sound	NPI	NPI_cow(axe).wav
790.333840125	0.468827	787.533203125	3.309229	Sound	NPC	NPC_bricks.wav
798.111512	0.463248	794.84375	3.763878	Sound	NPC	NPC_cone.wav
804.15667775	0.447105	802.62109375	2.003968	Sound	NPC	NPC_fall.wav
811.23495125	0.455208	808.64453125	3.070454	Sound	NPC	NPC_flip.wav
818.50444325	0.406166	815.73828125	3.191542	Sound	NPC	NPC_guess.wav
824.735932625	0.521717	822.947265625	2.348957	Sound	NPC	NPC_kitchen.wav
830.694798625	0.556822	829.306640625	1.989002	Sound	NPC	NPC_frog.wav
836.932442	0.399795	835.296875	2.076825	Sound	NPI	NPI_claws(floor).wav
843.230278875	0.476342	841.388671875	2.343356	Sound	NPI	(LD5_Eliminated)NPI_coal(chain).wav
850.450558625	0.533906	847.697265625	3.337959	Sound	NPI	NPI_wind(cheese).wav
857.922469625	0.55626	855.041015625	3.471497	Sound	NPI	NPI_fish(cry).wav
864.661885125	0.342488	862.533203125	2.498163	Sound	NPI	NPI_dice(art).wav
870.44007275	0.461787	869.04296875	1.885714	Sound	NPI	NPI_gills(doll).wav
877.02305675	0.460769	874.93359375	2.585488	Sound	NPI	NPI_chick(bruise).wav
