onset	duration	stim_onset_s_	stim_dur_s_	type	trial_type	stim_file
n/a	n/a	0.993	1.16585	Picture-Sound	intro	(Intro_01)Thanksforparticipating.wav
n/a	n/a	2.156	5.523152	Picture-Sound	intro	(Intro_02)TaskDescription.wav
n/a	n/a	5.506	18.915102	Picture-Sound	intro	(Intro_03)TaskDescription.wav
n/a	n/a	15.708	5.200385	Picture-Sound	intro	(Intro_04)TaskDescription.wav
n/a	n/a	18.896	3.464354	Picture-Sound	intro	(Intro_05)StayStill.wav
n/a	n/a	21.186	1.805374	Picture-Sound	intro	(Intro_06)Practice_Intro.wav
25.334898	0.467133	23.654	2.179048	Sound	Ex	NPI_cup(flag).wav
n/a	n/a	25.793	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	29.465	n/a	Response	left	n/a
n/a	n/a	29.977	4.13161	Picture-Sound	feedback	(Intro_09)PracticeFeedback_Correct4Incongruent.wav
n/a	n/a	33.12	1.372653	Picture-Sound	intro	(Intro_07)Practice_LetsTryAnotherOne.wav
37.471028	0.378059	35.873	2.031814	Sound	Ex	NPC_cake.wav
n/a	n/a	37.938	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	41.343	n/a	Response	right	n/a
n/a	n/a	41.855	3.618707	Picture-Sound	feedback	(Intro_08)PracticeFeedback_Correct4Congruent.wav
n/a	n/a	44.732	2.13644	Picture-Sound	intro	(Intro_12)Practice_LetsStartTheTask.wav
96.156648125	0.481174	93.611328125	3.066213	Sound	NPC	NPC_arm.wav
n/a	n/a	98.677541125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	100.234375	n/a	Response	right	n/a
104.370406375	0.355978	102.240234375	2.514717	Sound	NPC	NPC_cap.wav
n/a	n/a	106.754951375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	107.9140625	n/a	Response	right	n/a
112.53559675	0.477938	109.93359375	3.114694	Sound	NPC	NPC_fingers.wav
n/a	n/a	115.04828775	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	116.73046875	n/a	Response	right	n/a
120.35662775	0.479704	118.74609375	2.136077	Sound	NPI	NPI_mouse(store).wav
n/a	n/a	122.88217075	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	124.5703125	n/a	Response	left	n/a
129.60892575	0.309658	126.58984375	3.407959	Sound	NPI	NPI_lie(cup).wav
n/a	n/a	131.99780275	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	133.5625	n/a	Response	left	n/a
137.206555375	0.533004	135.568359375	2.208753	Sound	NPC	NPC_dancers.wav
n/a	n/a	139.777112375	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	140.857421875	n/a	Response	right	n/a
144.273593125	0.492626	142.876953125	1.920431	Sound	NPC	NPC_legs.wav
n/a	n/a	146.797384125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	148.10546875	n/a	Response	right	n/a
152.72349375	0.632507	150.12109375	3.255714	Sound	NPC	NPC_stove.wav
n/a	n/a	155.37680775	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	156.490234375	n/a	Response	right	n/a
160.150100875	0.480931	158.498046875	2.183401	Sound	NPC	NPC_test.wav
n/a	n/a	162.681447875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	163.59375	n/a	Response	right	n/a
167.207325875	0.364866	165.607421875	1.986417	Sound	NPI	NPI_dare(brick).wav
n/a	n/a	169.593838875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	170.47265625	n/a	Response	left	n/a
174.397925	0.451044	172.484375	2.406757	Sound	NPI	NPI_clues(year).wav
n/a	n/a	176.891132	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	177.9453125	n/a	Response	left	n/a
181.7317615	0.400144	179.9609375	2.200726	Sound	NPC	NPC_earth.wav
n/a	n/a	184.1616635	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	185.095703125	n/a	Response	right	n/a
188.936286625	0.413546	187.103515625	2.275737	Sound	NPI	NPI_lawn(weight).wav
n/a	n/a	191.379252625	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	192.3125	n/a	Response	left	n/a
195.976794125	0.403015	194.330078125	2.098753	Sound	NPC	NPC_job.wav
n/a	n/a	198.428831125	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	199.384765625	n/a	Response	right	n/a
204.226496875	0.503427	201.388671875	3.372857	Sound	NPC	NPC_fixed.wav
n/a	n/a	206.761528875	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	207.86328125	n/a	Response	right	n/a
211.5491135	0.490197	209.8828125	2.198413	Sound	NPI	NPI_dirt(screw).wav
n/a	n/a	214.0812255	6.546621	Picture-Sound	prompt	(Audio_01)DidThisSentenceEndCorrectly.wav
n/a	n/a	214.904296875	n/a	Response	left	n/a
218.08974925	0.385465	216.91015625	1.59381	Sound	NPC	NPC_wood.wav
