onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
23.752	n/a	11876	surroundSuppB2_start	97	n/a	n/a	n/a
25.43	n/a	12715	fixpoint_ON	4	n/a	n/a	n/a
26.054	2.4	13027	stim_ON	8	1	1	3
31.386	n/a	15693	fixpoint_ON	4	n/a	n/a	n/a
31.906	2.4	15953	stim_ON	8	1	0.6	1
37.226	n/a	18613	fixpoint_ON	4	n/a	n/a	n/a
37.744	2.4	18872	stim_ON	8	1	0.3	2
43.056	n/a	21528	fixpoint_ON	4	n/a	n/a	n/a
43.576	2.4	21788	stim_ON	8	1	0	3
48.886	n/a	24443	fixpoint_ON	4	n/a	n/a	n/a
49.404	2.4	24702	stim_ON	8	1	0	2
54.728	n/a	27364	fixpoint_ON	4	n/a	n/a	n/a
55.244	2.4	27622	stim_ON	8	1	0.3	1
60.556	n/a	30278	fixpoint_ON	4	n/a	n/a	n/a
61.076	2.4	30538	stim_ON	8	1	0.6	3
66.386	n/a	33193	fixpoint_ON	4	n/a	n/a	n/a
66.906	2.4	33453	stim_ON	8	1	1	2
72.216	n/a	36108	fixpoint_ON	4	n/a	n/a	n/a
72.736	2.4	36368	stim_ON	8	1	1	3
78.058	n/a	39029	fixpoint_ON	4	n/a	n/a	n/a
78.576	2.4	39288	stim_ON	8	1	0.6	1
83.888	n/a	41944	fixpoint_ON	4	n/a	n/a	n/a
84.404	2.4	42202	stim_ON	8	1	0.3	2
89.778	n/a	44889	fixpoint_ON	4	n/a	n/a	n/a
90.294	2.4	45147	stim_ON	8	1	0	3
95.608	n/a	47804	fixpoint_ON	4	n/a	n/a	n/a
96.126	2.4	48063	stim_ON	8	0	1	1
101.436	n/a	50718	fixpoint_ON	4	n/a	n/a	n/a
101.956	2.4	50978	stim_ON	8	0	0.6	2
107.288	n/a	53644	fixpoint_ON	4	n/a	n/a	n/a
107.806	2.4	53903	stim_ON	8	0	0.3	3
113.128	n/a	56564	fixpoint_ON	4	n/a	n/a	n/a
113.646	2.4	56823	stim_ON	8	0	0	1
118.966	n/a	59483	fixpoint_ON	4	n/a	n/a	n/a
119.484	2.4	59742	stim_ON	8	1	1	3
124.814	n/a	62407	fixpoint_ON	4	n/a	n/a	n/a
125.332	2.4	62666	stim_ON	8	1	0.6	2
130.638	n/a	65319	fixpoint_ON	4	n/a	n/a	n/a
131.156	2.4	65578	stim_ON	8	1	0.3	1
136.468	n/a	68234	fixpoint_ON	4	n/a	n/a	n/a
136.986	2.4	68493	stim_ON	8	1	0	3
142.298	n/a	71149	fixpoint_ON	4	n/a	n/a	n/a
142.816	2.4	71408	stim_ON	8	1	0	3
148.138	n/a	74069	fixpoint_ON	4	n/a	n/a	n/a
148.656	2.4	74328	stim_ON	8	1	0.3	1
153.968	n/a	76984	fixpoint_ON	4	n/a	n/a	n/a
154.486	2.4	77243	stim_ON	8	1	0.6	2
159.806	n/a	79903	fixpoint_ON	4	n/a	n/a	n/a
160.326	2.4	80163	stim_ON	8	1	1	3
165.648	n/a	82824	fixpoint_ON	4	n/a	n/a	n/a
166.166	2.4	83083	stim_ON	8	1	0	1
171.488	n/a	85744	fixpoint_ON	4	n/a	n/a	n/a
172.006	2.4	86003	stim_ON	8	0	0	2
177.328	n/a	88664	fixpoint_ON	4	n/a	n/a	n/a
177.846	2.4	88923	stim_ON	8	1	0.3	3
183.178	n/a	91589	fixpoint_ON	4	n/a	n/a	n/a
183.696	2.4	91848	stim_ON	8	0	0.3	1
189.028	n/a	94514	fixpoint_ON	4	n/a	n/a	n/a
189.546	2.4	94773	stim_ON	8	1	0.6	2
194.868	n/a	97434	fixpoint_ON	4	n/a	n/a	n/a
195.384	2.4	97692	stim_ON	8	0	0.6	3
200.728	n/a	100364	fixpoint_ON	4	n/a	n/a	n/a
201.246	2.4	100623	stim_ON	8	1	1	1
206.568	n/a	103284	fixpoint_ON	4	n/a	n/a	n/a
207.086	2.4	103543	stim_ON	8	0	1	2
212.408	n/a	106204	fixpoint_ON	4	n/a	n/a	n/a
212.926	2.4	106463	stim_ON	8	1	0	3
218.248	n/a	109124	fixpoint_ON	4	n/a	n/a	n/a
218.766	2.4	109383	stim_ON	8	1	0.3	1
224.078	n/a	112039	fixpoint_ON	4	n/a	n/a	n/a
224.596	2.4	112298	stim_ON	8	1	0.6	2
229.918	n/a	114959	fixpoint_ON	4	n/a	n/a	n/a
230.436	2.4	115218	stim_ON	8	1	1	3
235.758	n/a	117879	fixpoint_ON	4	n/a	n/a	n/a
236.276	2.4	118138	stim_ON	8	1	1	2
241.702	n/a	120851	fixpoint_ON	4	n/a	n/a	n/a
242.22	2.4	121110	stim_ON	8	1	0.6	1
247.538	n/a	123769	fixpoint_ON	4	n/a	n/a	n/a
248.064	2.4	124032	stim_ON	8	1	0.3	3
253.388	n/a	126694	fixpoint_ON	4	n/a	n/a	n/a
253.906	2.4	126953	stim_ON	8	1	0	2
259.218	n/a	129609	fixpoint_ON	4	n/a	n/a	n/a
259.734	2.4	129867	stim_ON	8	0	1	1
265.048	n/a	132524	fixpoint_ON	4	n/a	n/a	n/a
265.566	2.4	132783	stim_ON	8	0	0.6	2
270.878	n/a	135439	fixpoint_ON	4	n/a	n/a	n/a
271.396	2.4	135698	stim_ON	8	0	0.3	3
276.718	n/a	138359	fixpoint_ON	4	n/a	n/a	n/a
277.238	2.4	138619	stim_ON	8	0	0	1
282.548	n/a	141274	fixpoint_ON	4	n/a	n/a	n/a
283.066	2.4	141533	stim_ON	8	1	1	2
288.398	n/a	144199	fixpoint_ON	4	n/a	n/a	n/a
288.916	2.4	144458	stim_ON	8	1	0.6	3
294.28	n/a	147140	fixpoint_ON	4	n/a	n/a	n/a
294.796	2.4	147398	stim_ON	8	1	0.3	1
300.11	n/a	150055	fixpoint_ON	4	n/a	n/a	n/a
300.626	2.4	150313	stim_ON	8	1	0	2
305.948	n/a	152974	fixpoint_ON	4	n/a	n/a	n/a
306.466	2.4	153233	stim_ON	8	1	0	1
311.778	n/a	155889	fixpoint_ON	4	n/a	n/a	n/a
312.296	2.4	156148	stim_ON	8	1	0.3	3
317.608	n/a	158804	fixpoint_ON	4	n/a	n/a	n/a
318.126	2.4	159063	stim_ON	8	1	0.6	2
323.458	n/a	161729	fixpoint_ON	4	n/a	n/a	n/a
323.976	2.4	161988	stim_ON	8	1	1	1
329.298	n/a	164649	fixpoint_ON	4	n/a	n/a	n/a
329.816	2.4	164908	stim_ON	8	1	1	2
335.18	n/a	167590	fixpoint_ON	4	n/a	n/a	n/a
335.698	2.4	167849	stim_ON	8	1	0.6	3
341.028	n/a	170514	fixpoint_ON	4	n/a	n/a	n/a
341.546	2.4	170773	stim_ON	8	1	0.3	1
346.868	n/a	173434	fixpoint_ON	4	n/a	n/a	n/a
347.386	2.4	173693	stim_ON	8	1	0	2
352.698	n/a	176349	fixpoint_ON	4	n/a	n/a	n/a
353.216	2.4	176608	stim_ON	8	0	1	1
358.54	n/a	179270	fixpoint_ON	4	n/a	n/a	n/a
359.058	2.4	179529	stim_ON	8	1	1	2
364.378	n/a	182189	fixpoint_ON	4	n/a	n/a	n/a
364.898	2.4	182449	stim_ON	8	0	0.6	3
370.218	n/a	185109	fixpoint_ON	4	n/a	n/a	n/a
370.736	2.4	185368	stim_ON	8	1	0.6	1
376.11	n/a	188055	fixpoint_ON	4	n/a	n/a	n/a
376.626	2.4	188313	stim_ON	8	0	0.3	2
381.95	n/a	190975	fixpoint_ON	4	n/a	n/a	n/a
382.466	2.4	191233	stim_ON	8	1	0.3	3
387.788	n/a	193894	fixpoint_ON	4	n/a	n/a	n/a
388.306	2.4	194153	stim_ON	8	0	0	1
393.628	n/a	196814	fixpoint_ON	4	n/a	n/a	n/a
394.146	2.4	197073	stim_ON	8	1	0	2
402.506	n/a	201253	break cnt	break cnt	n/a	n/a	n/a
478.436	n/a	239218	9999	9999	n/a	n/a	n/a
