onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	4	1	1	5	15	5	2
12	3	4	2	1	6	15	7	2
20	3	4	3	1	8	6	5	3
28	3	4	4	1	3	3	7	1
36	3	4	5	1	1	3	19	1
44	3	4	6	1	9	6	7	3
52	3	4	7	1	4	15	19	2
60	3	4	8	1	2	3	5	1
68	3	4	9	1	7	6	19	3
76	3	4	10	1	3	3	7	1
84	3	4	11	1	1	3	19	1
92	3	4	12	1	7	6	19	3
100	3	4	13	1	9	6	7	3
108	3	4	14	1	2	3	5	1
116	3	4	15	1	4	15	19	2
124	3	4	16	1	5	15	5	2
132	3	4	17	1	8	6	5	3
140	3	4	18	1	6	15	7	2
148	3	4	19	1	8	6	5	3
156	3	4	20	1	5	15	5	2
164	3	4	21	1	3	3	7	1
172	3	4	22	1	7	6	19	3
180	3	4	23	1	9	6	7	3
188	3	4	24	1	4	15	19	2
196	3	4	25	1	6	15	7	2
204	3	4	26	1	1	3	19	1
212	3	4	27	1	2	3	5	1
