onset	duration	run_num	trial_num	trial_weight	stim_id	relevant_blend	irrelevant_blend	relevant_category
4	3	3	1	1	9	6	7	3
12	3	3	2	1	5	15	5	2
20	3	3	3	1	1	3	19	1
28	3	3	4	1	4	15	19	2
36	3	3	5	1	8	6	5	3
44	3	3	6	1	6	15	7	2
52	3	3	7	1	3	3	7	1
60	3	3	8	1	7	6	19	3
68	3	3	9	1	2	3	5	1
76	3	3	10	1	7	6	19	3
84	3	3	11	1	9	6	7	3
92	3	3	12	1	1	3	19	1
100	3	3	13	1	6	15	7	2
108	3	3	14	1	4	15	19	2
116	3	3	15	1	8	6	5	3
124	3	3	16	1	3	3	7	1
132	3	3	17	1	2	3	5	1
140	3	3	18	1	5	15	5	2
148	3	3	19	1	7	6	19	3
156	3	3	20	1	8	6	5	3
164	3	3	21	1	4	15	19	2
172	3	3	22	1	2	3	5	1
180	3	3	23	1	9	6	7	3
188	3	3	24	1	1	3	19	1
196	3	3	25	1	6	15	7	2
204	3	3	26	1	3	3	7	1
212	3	3	27	1	5	15	5	2
