onset	duration	trial_type	stimulus	accuracy	response_time
8.5	1	ICS	BlueRight	1	0.553
12	1	ICNS	BlueLeft	1	0.503
14.5	1	CS	RedLeft	1	0.672
17	1	ICS	BlueLeft	1	0.728
20.5	1	ICNS	BlueRight	1	1.234
24	1	CS	RedLeft	1	0.594
27.5	1	CNS	RedLeft	1	0.416
31	1	ICS	BlueRight	1	0.526
36.5	1	ICNS	BlueLeft	1	0.59
41	1	CS	RedRight	1	0.632
44.5	1	CNS	RedRight	1	0.423
50	1	ICS	BlueRight	1	0.622
52.5	1	CS	RedLeft	1	0.742
56	1	CNS	RedLeft	1	0.524
58.5	1	CNS	RedRight	1	0.652
62	1	ICS	BlueRight	1	0.506
67.5	1	CS	RedRight	1	0.522
71	1	CNS	RedLeft	1	0.951
75.5	1	ICS	BlueRight	1	0.498
78	1	ICNS	BlueLeft	1	0.444
80.5	1	ICNS	BlueRight	1	0.435
83	1	CS	RedRight	1	0.564
86.5	1	CNS	RedLeft	0	0.466
91	1	ICS	BlueLeft	1	0.439
96.5	1	CS	RedLeft	0	0.436
99	1	CNS	RedLeft	0	0.373
104.5	1	CNS	RedRight	0	0.461
110	1	ICS	BlueRight	1	0.483
114.5	1	ICNS	BlueRight	1	0.534
117	1	ICNS	BlueLeft	1	0.511
119.5	1	CS	RedRight	1	0.735
125	1	CNS	RedLeft	1	0.527
130.5	1	ICS	BlueRight	1	0.543
134	1	ICNS	BlueRight	1	0.476
137.5	1	CS	RedLeft	1	0.594
140	1	CNS	RedRight	1	0.683
145.5	1	ICS	BlueLeft	1	0.819
150	1	ICNS	BlueLeft	1	0.453
152.5	1	ICNS	BlueLeft	1	0.423
157	1	CS	RedLeft	1	0.616
159.5	1	CNS	RedLeft	1	0.577
164	1	ICS	BlueLeft	0	0.383
168.5	1	ICNS	BlueLeft	1	0.567
173	1	ICNS	BlueRight	1	0.505
176.5	1	CS	RedLeft	1	0.767
180	1	CNS	RedLeft	0	0.589
182.5	1	ICS	BlueLeft	1	0.573
187	1	ICNS	BlueRight	1	0.608
189.5	1	CS	RedRight	1	0.696
195	1	ICS	BlueLeft	1	0.471
197.5	1	ICNS	BlueRight	1	0.464
200	1	CS	RedRight	1	0.545
204.5	1	CNS	RedRight	0	0.715
210	1	ICS	BlueRight	1	0.507
213.5	1	CS	RedLeft	1	0.592
219	1	CNS	RedRight	1	0.784
223.5	1	ICS	BlueLeft	1	0.595
229	1	ICNS	BlueLeft	0	0
233.5	1	ICNS	BlueLeft	1	0.621
238	1	CS	RedLeft	1	0.672
242.5	1	CNS	RedRight	0	0.643
245	1	ICS	BlueLeft	1	0.443
250.5	1	ICNS	BlueRight	1	0.683
256	1	CS	RedRight	1	0.515
258.5	1	CNS	RedLeft	1	0.659
262	1	CNS	RedRight	1	0.465
267.5	1	ICS	BlueRight	1	0.553
272	1	ICNS	BlueRight	1	0.548
275.5	1	CS	RedRight	1	0.513
280	1	CNS	RedLeft	1	0.644
284.5	1	ICS	BlueLeft	1	0.598
287	1	CS	RedRight	1	1.155
292.5	1	CNS	RedRight	1	0.486
298	1	ICS	BlueRight	1	0.622
303.5	1	ICNS	BlueLeft	1	0.502
307	1	ICNS	BlueRight	1	0.667
311.5	1	CS	RedLeft	0	0.518
317	1	CNS	RedRight	1	0.646
320.5	1	ICS	BlueLeft	1	0.564
324	1	CS	RedRight	0	0.609
