onset	duration	trial	trial_type	event_type	response_time	value_stimulus	value_reference	response_decision	response_estimation
0.0	1.5	1	early	stimulus	n/a	82.5	n/a	n/a	n/a
5.5	0.5	1	early	dm_task_pre	n/a	n/a	n/a	n/a	n/a
6.0	0.715289097002824	1	early	dm_task	0.715289097002824	n/a	-21.0	1.0	n/a
6.715289097002824	0.75	1	early	dm_task_post	n/a	n/a	n/a	n/a	n/a
17.5	0.5	1	early	em_task_pre	n/a	n/a	n/a	n/a	n/a
18.0	2.2440145510045006	1	early	em_task	n/a	n/a	n/a	n/a	76.5496948431551
20.2440145510045	0.75	1	early	em_task_post	n/a	n/a	n/a	n/a	n/a
28.0	1.5	2	late	stimulus	n/a	67.5	n/a	n/a	n/a
39.5	0.5	2	late	dm_task_pre	n/a	n/a	n/a	n/a	n/a
40.0	0.753511385992169	2	late	dm_task	0.753511385992169	n/a	-21.0	1.0	n/a
40.75351138599217	0.75	2	late	dm_task_post	n/a	n/a	n/a	n/a	n/a
45.5	0.5	2	late	em_task_pre	n/a	n/a	n/a	n/a	n/a
46.0	3.0508096459961997	2	late	em_task	n/a	n/a	n/a	n/a	64.900809741612
49.050809645996196	0.75	2	late	em_task_post	n/a	n/a	n/a	n/a	n/a
56.0	1.5	3	late	stimulus	n/a	15.0	n/a	n/a	n/a
67.5	0.5	3	late	dm_task_pre	n/a	n/a	n/a	n/a	n/a
68.0	0.560090530998423	3	late	dm_task	0.560090530998423	n/a	-4.0	1.0	n/a
68.56009053099842	0.75	3	late	dm_task_post	n/a	n/a	n/a	n/a	n/a
73.5	0.5	3	late	em_task_pre	n/a	n/a	n/a	n/a	n/a
74.0	3.0574036449980007	3	late	em_task	n/a	n/a	n/a	n/a	27.8557442755464
77.057403644998	0.75	3	late	em_task_post	n/a	n/a	n/a	n/a	n/a
84.0	1.5	4	late	stimulus	n/a	22.5	n/a	n/a	n/a
95.5	0.5	4	late	dm_task_pre	n/a	n/a	n/a	n/a	n/a
96.0	0.966643952997401	4	late	dm_task	0.966643952997401	n/a	4.0	1.0	n/a
96.9666439529974	0.75	4	late	dm_task_post	n/a	n/a	n/a	n/a	n/a
101.5	0.5	4	late	em_task_pre	n/a	n/a	n/a	n/a	n/a
102.0	3.4803104739985002	4	late	em_task	n/a	n/a	n/a	n/a	31.7774379598189
105.4803104739985	0.75	4	late	em_task_post	n/a	n/a	n/a	n/a	n/a
112.0	1.5	5	late	stimulus	n/a	172.5	n/a	n/a	n/a
123.5	0.5	5	late	dm_task_pre	n/a	n/a	n/a	n/a	n/a
124.0	0.756765095997253	5	late	dm_task	0.756765095997253	n/a	21.0	-1.0	n/a
124.75676509599725	0.75	5	late	dm_task_post	n/a	n/a	n/a	n/a	n/a
129.5	0.5	5	late	em_task_pre	n/a	n/a	n/a	n/a	n/a
130.0	3.9873970549961015	5	late	em_task	n/a	n/a	n/a	n/a	172.147804398625
133.9873970549961	0.75	5	late	em_task_post	n/a	n/a	n/a	n/a	n/a
140.0	1.5	6	early	stimulus	n/a	105.0	n/a	n/a	n/a
145.5	0.5	6	early	dm_task_pre	n/a	n/a	n/a	n/a	n/a
146.0	0.515055682000821	6	early	dm_task	0.515055682000821	n/a	21.0	-1.0	n/a
146.51505568200082	0.75	6	early	dm_task_post	n/a	n/a	n/a	n/a	n/a
157.5	0.5	6	early	em_task_pre	n/a	n/a	n/a	n/a	n/a
158.0	3.8267177840025006	6	early	em_task	n/a	n/a	n/a	n/a	121.977289751727
