onset	duration	Tears	PleasantOther	Predictable	Stop	Anxiety	trial
15	9	0.0	58.5	69.0	25.0	5.5	clip_1
35	5	10.0	64.0	50.5	17.0	0.0	clip_2
63	6	8.0	8.0	14.5	47.0	2.0	clip_3
116	7	12.5	47.5	47.5	32.0	14.0	clip_4
162	8	10.0	52.0	17.5	40.5	20.5	clip_5
185	7	18.0	18.0	34.0	53.5	49.5	clip_6
203	5	25.5	12.5	12.5	67.5	60.5	clip_7
248	7	19.0	6.5	69.5	69.5	56.5	clip_8
286	8	18.0	2.0	56.0	67.5	53.0	clip_9
333	7	28.0	0.5	24.0	70.5	70.5	clip_10
360	7	24.5	10.0	10.0	63.0	53.5	clip_11
383	7	13.5	27.0	39.5	57.5	57.5	clip_12
412	6	13.5	13.5	13.5	56.0	60.0	clip_13
470	9	16.0	2.0	60.0	47.5	47.5	clip_14
517	6	22.5	0.0	27.0	27.0	12.5	clip_15
543	7	6.0	0.0	65.0	65.0	46.5	clip_16
584	8	4.5	4.5	4.5	55.5	16.5	clip_17
